Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,637134080000.000000,-275656371000.000000,361477709000.000000,-221324139000.000000,-176010778000.000000,-45313361000.000000,-221324139000.000000,140153570000.000000,2848936000.000000,449739000.000000,-2741878000.000000,5654357000.000000,-289632000.000000,-223650000.000000,2848936000.000000,143002506000.000000,-44391358000.000000,-43981878000.000000,-409480000.000000,-44391358000.000000,98611148000.000000,8922000.000000,,98620070000.000000,,,,,98620070000.000000,98611148000.000000,8922000.000000,98620070000.000000,,,,
12M 2009,751403033000.000000,-313771046000.000000,437631987000.000000,-236179221000.000000,-186021227000.000000,-50157994000.000000,-236179221000.000000,201452766000.000000,6472464000.000000,2200956000.000000,-1189099000.000000,5445278000.000000,-899794000.000000,915123000.000000,6472464000.000000,207925230000.000000,-61225052000.000000,-61724594000.000000,499542000.000000,-61225052000.000000,146700178000.000000,,,146700178000.000000,,,,146700178000.000000,146700178000.000000,146700178000.000000,,146700178000.000000,146700178000.000000,146700178000.000000,,146700178000.000000
12M 2010,795688800000.000000,-353716514000.000000,441972286000.000000,-288231987000.000000,-222876534000.000000,-65355453000.000000,-288231987000.000000,153740299000.000000,3577794000.000000,1335245000.000000,-1720600000.000000,3565181000.000000,-792978000.000000,1190946000.000000,3577794000.000000,157318093000.000000,-38523815000.000000,-40328148000.000000,1804333000.000000,-38523815000.000000,118794278000.000000,,,118794278000.000000,,,,118794278000.000000,118794278000.000000,118794278000.000000,,118794278000.000000,118794278000.000000,118794278000.000000,,118794278000.000000
12M 2011,918532462000.000000,-436394128000.000000,482138334000.000000,-283556359000.000000,-236555285000.000000,-47001074000.000000,-283556359000.000000,198581975000.000000,84644841000.000000,14817314000.000000,422986000.000000,5021241000.000000,-422810000.000000,64806110000.000000,84644841000.000000,283226816000.000000,-52068169000.000000,-54108541000.000000,2040372000.000000,-52068169000.000000,231158647000.000000,,,231158647000.000000,,,,231158647000.000000,231158647000.000000,231158647000.000000,,231158647000.000000,231158647000.000000,231158647000.000000,,231158647000.000000
12M 2012,929876824000.000000,-505434526000.000000,424442298000.000000,-282602249000.000000,-234344551000.000000,-48257698000.000000,-282602249000.000000,141840049000.000000,4074828000.000000,1483973000.000000,-273943000.000000,5049914000.000000,-382781000.000000,-1802335000.000000,4074828000.000000,145914877000.000000,-38106722000.000000,-39171904000.000000,1065182000.000000,-38106722000.000000,107808155000.000000,,,107808155000.000000,,,,107808155000.000000,107808155000.000000,107808155000.000000,,107808155000.000000,107808155000.000000,107808155000.000000,,107808155000.000000
12M 2013,1193952302000.000000,-648472675000.000000,545479627000.000000,-317257164000.000000,-254078835000.000000,-63178329000.000000,-317257164000.000000,228222463000.000000,6485276000.000000,1804436000.000000,-581305000.000000,5100226000.000000,-417998000.000000,579917000.000000,6485276000.000000,234707739000.000000,-59262982000.000000,-62946030000.000000,3683048000.000000,-59262982000.000000,175444757000.000000,,,175444757000.000000,,,,175444757000.000000,175444757000.000000,175444757000.000000,,175444757000.000000,175444757000.000000,175444757000.000000,,175444757000.000000
12M 2014,863207535000.000000,-404752388000.000000,458455147000.000000,-265102983000.000000,-218210219000.000000,-46892764000.000000,-265102983000.000000,193352164000.000000,11706267000.000000,792443000.000000,-919113000.000000,4925926000.000000,-303087000.000000,7210098000.000000,11706267000.000000,205058431000.000000,-54682938000.000000,-50665173000.000000,-4017765000.000000,-54682938000.000000,150375493000.000000,,31096741000.000000,181472234000.000000,,,,181472234000.000000,181472234000.000000,181472234000.000000,,181472234000.000000,181472234000.000000,181472234000.000000,,181472234000.000000
12M 2015,983446471000.000000,-487190159000.000000,496256312000.000000,-311514437000.000000,-254087074000.000000,-57427363000.000000,-311514437000.000000,184741875000.000000,9198966000.000000,1535960000.000000,-1183322000.000000,7444035000.000000,-17173000.000000,1419466000.000000,9198966000.000000,193940841000.000000,-51395379000.000000,-55746695000.000000,4351316000.000000,-51395379000.000000,142545462000.000000,,,142545462000.000000,6273501000.000000,6273501000.000000,6273501000.000000,148818963000.000000,142545462000.000000,142545462000.000000,,142545462000.000000,148818963000.000000,148818963000.000000,,148818963000.000000
12M 2016,1034806890000.000000,-492613670000.000000,542193220000.000000,-327604119000.000000,-272947995000.000000,-54656124000.000000,-327604119000.000000,214589101000.000000,327060000.000000,-100509000.000000,-1236559000.000000,1942205000.000000,-323344000.000000,45267000.000000,327060000.000000,214916161000.000000,-61073314000.000000,-67536323000.000000,6463009000.000000,-61073314000.000000,153842847000.000000,,,153842847000.000000,86340000.000000,86340000.000000,86340000.000000,153929187000.000000,153842847000.000000,153842847000.000000,,153842847000.000000,153929187000.000000,153929187000.000000,,153929187000.000000
12M 2017,1156648155000.000000,-568653431000.000000,587994724000.000000,-384866400000.000000,-292716263000.000000,-92150137000.000000,-384866400000.000000,203128324000.000000,2656318000.000000,542848000.000000,1604599000.000000,646696000.000000,-3356096000.000000,3218271000.000000,2656318000.000000,205784642000.000000,-61107348000.000000,-66868220000.000000,5760872000.000000,-61107348000.000000,144677294000.000000,,,144677294000.000000,11287678000.000000,11287678000.000000,11287678000.000000,155964972000.000000,144677294000.000000,144677294000.000000,,144677294000.000000,155964972000.000000,155964972000.000000,,155964972000.000000
12M 2018,611958076000.000000,-400270367000.000000,211687709000.000000,-168143986000.000000,-127981747000.000000,-40162239000.000000,-168143986000.000000,43543723000.000000,6664673000.000000,-63378000.000000,1064321000.000000,3801863000.000000,-722442000.000000,2584309000.000000,6664673000.000000,50208396000.000000,-12830660000.000000,-13134989000.000000,304329000.000000,-12830660000.000000,37377736000.000000,,1125946429000.000000,1163324165000.000000,5118795000.000000,5118795000.000000,5118795000.000000,1168442960000.000000,1163324165000.000000,1163324165000.000000,,1163324165000.000000,1168442960000.000000,1168442960000.000000,,1168442960000.000000
12M 2019,744634530000.000000,-421320853000.000000,323313677000.000000,-198814436000.000000,-131072560000.000000,-67741876000.000000,-198814436000.000000,124499241000.000000,1399941000.000000,37809000.000000,-1458397000.000000,2548911000.000000,-2244418000.000000,2516036000.000000,1399941000.000000,125899182000.000000,-47642385000.000000,-37470764000.000000,-10171621000.000000,-47642385000.000000,78256797000.000000,,,78256797000.000000,-2525540000.000000,-2525540000.000000,-2525540000.000000,75731257000.000000,78256797000.000000,78256797000.000000,,78256797000.000000,75731257000.000000,75731257000.000000,,75731257000.000000
12M 2020,655847125000.000000,-361641158000.000000,294205967000.000000,-185489235000.000000,-111116036000.000000,-74373199000.000000,-185489235000.000000,108716732000.000000,-2716872000.000000,-78448000.000000,-2063149000.000000,1438443000.000000,-3972159000.000000,1958441000.000000,-2716872000.000000,105999860000.000000,-34097597000.000000,-32210436000.000000,-1887161000.000000,-34097597000.000000,71902263000.000000,,,71902263000.000000,5009104000.000000,5009104000.000000,5009104000.000000,76911367000.000000,71902263000.000000,71902263000.000000,,71902263000.000000,76911367000.000000,76911367000.000000,,76911367000.000000
12M 2021,1064394815000.000000,-665711070000.000000,398683745000.000000,-208265189000.000000,-112424475000.000000,-95840714000.000000,-208265189000.000000,190418556000.000000,81020000.000000,732000.000000,79393000.000000,1608898000.000000,-2635771000.000000,1027768000.000000,81020000.000000,190499576000.000000,-58838742000.000000,-61626313000.000000,2787571000.000000,-58838742000.000000,131660834000.000000,,,131660834000.000000,-5644071000.000000,-5644071000.000000,-5644071000.000000,126016763000.000000,131660834000.000000,131660834000.000000,,131660834000.000000,126016763000.000000,126016763000.000000,,126016763000.000000
12M 2022,1124599738000.000000,-697007762000.000000,427591976000.000000,-190287812000.000000,-121904394000.000000,-68383418000.000000,-190287812000.000000,237304164000.000000,474205000.000000,-845379000.000000,2902627000.000000,2100053000.000000,-3395773000.000000,-287323000.000000,474205000.000000,237778369000.000000,-57940610000.000000,-54352669000.000000,-3587941000.000000,-57940610000.000000,179837759000.000000,,,179837759000.000000,880102000.000000,880102000.000000,880102000.000000,180717861000.000000,179837759000.000000,179837759000.000000,,179837759000.000000,180717861000.000000,180717861000.000000,,180717861000.000000
12M 2023,961433965000.000000,-560961595000.000000,400472370000.000000,-200987929000.000000,-121944196000.000000,-79043733000.000000,-200987929000.000000,199484441000.000000,3648545000.000000,,91671000.000000,7444531000.000000,-4041059000.000000,153402000.000000,3648545000.000000,203132986000.000000,-24892983000.000000,-27481054000.000000,2588071000.000000,-24892983000.000000,178240003000.000000,,,178240003000.000000,3757141000.000000,3757141000.000000,3757141000.000000,181997144000.000000,178240003000.000000,178240003000.000000,,178240003000.000000,181997144000.000000,181997144000.000000,,181997144000.000000
12M 2024,1036747709000.000000,-634081223000.000000,402666486000.000000,-209191485000.000000,-128505822000.000000,-80685663000.000000,-209191485000.000000,193475001000.000000,1589746000.000000,159288000.000000,-1103770000.000000,6636351000.000000,-4535767000.000000,433644000.000000,1589746000.000000,195064747000.000000,-41601331000.000000,-44179237000.000000,2577906000.000000,-41601331000.000000,153463416000.000000,,,153463416000.000000,1291347000.000000,1291347000.000000,1291347000.000000,154754763000.000000,153463416000.000000,153463416000.000000,,153463416000.000000,154754763000.000000,154754763000.000000,,154754763000.000000
