Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Pihak Ketiga,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Pihak Ketiga,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan Badan,Penerimaan Bunga,Penerimaan Bunga Deposito,Pembayaran Bunga Dan Beban Keuangan,Pendapatan Bagi Hasil Bank Syariah,Pembayaran Deviden,Pembayaran Beban‐Beban,Pembayaran Uang Muka Dok Kering,Pembayaran Surat Ketetapan Pajak Kurang Bayar,Pembayaran Uang Muka Pembangunan Gedung,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,(Penempatan) Penurunan Deposito Syariah,(Penempatan) Penurunan Deposito Berjangka,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Beban Ditangguhkan,Proyek Dalam Pelaksanaan,Pencairan (Penempatan) Investasi Jangka Pendek,Penjualan Entitas Anak,Investasi Di Perusahaan Anak,Akuisisi Anak Perusahaan,Bank Garansi,Penurunan Pada Biaya Ditangguhkan,Pembayaran Dividen Kepentingan Non Pengendali,Setoran Modal Minoritas,Pembagian Dividen Minoritas,Rugi Likuiditas Entitas Anak,Pelepasan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan (Penurunan) Utang Pinjaman,Pembayaran Utang Jangka Pendek,Penambahan Kepentingan Non Pengendali,Penambahan Beban Ditangguhkan,Peningkatan Utang Lain‐Lain - Pihak Berelasi,Penurunan Utang Lain‐Lain - Pihak Berelasi,Peningkatan Utang Lain-Lain Pihak Tidak Berelasi,Pembayaran Dividen Kepentingan Non Pengendali,Peningkatan (Penurunan) Utang Pembelian Kapal,Pembayaran Angsuran Utang Sewa Pembiayaan,Pembayaran Pinjaman Investasi,Penerimaan Dari Penawaran Umum Terbatas I (Put I),Pembayaran Penawaran Umum Terbatas I (Put I),Pembayaran Utang Bunga,Hasil Pelaksanaan Penawaran Umum Terbatas Ii,Pencairan Pinjaman Untuk Investasi / Modal Kerja,Penerimaan (Pembayaran) Pinjaman Pemegang Saham,Peningkatan Modal Disetor,Peningkatan Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penyesuaian Atas Klasifikasi Investasi Sebagai Operasi Yang Dihentikan,Penyesuaian Atas Pelepasan Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-2531837283.000000,16467201609.000000,,,-18095141278.000000,-260690700.000000,-722624507.000000,79417593.000000,,,,,,,,,,-2531837283.000000,,,,,,,,,,,,,,,,,,,,907150000.000000,,,,,,,,,,,,,,,,,907150000.000000,,,907150000.000000,-1624687283.000000,2185361728.000000,,,195090286.000000,755764731.000000
12M 2009,631485595.000000,17320578218.000000,,-13449848343.000000,-2672474481.000000,-658063744.000000,-779071429.000000,870365374.000000,,,,,,,,,,631485595.000000,-8040250400.000000,-40250400.000000,,,,,,,,,-8000000000.000000,,,,,,,,-8040250400.000000,37620201066.000000,,-265775000.000000,,,,,,,,,,36799500000.000000,-773290122.000000,,,,1859766188.000000,,,37620201066.000000,30211436261.000000,755764731.000000,,,-332428960.000000,30634772032.000000
12M 2010,386387707.000000,5288569386.000000,,-4186041188.000000,,,-112547156.000000,253119471.000000,,,,,-856712806.000000,,,,,386387707.000000,-4961600.000000,-4961600.000000,,,,,,,,,,,,,,,,,-4961600.000000,-9673195041.000000,,,,,,,,,,,-115246022.000000,,,,,,-9557949019.000000,,,-9673195041.000000,-9291768934.000000,30634772032.000000,,,125431391.000000,21468434489.000000
12M 2011,198336838.000000,21939566825.000000,,-16940817806.000000,,,-441125042.000000,504088173.000000,,,,,-4863375312.000000,,,,,198336838.000000,-8367678359.000000,-8218304030.000000,,,,-150607400.000000,,,1233071.000000,,,,,,,,,,-8367678359.000000,-2517798166.000000,,,,,,-191789835.000000,,,,,,,,,,,-4469526481.000000,2143518150.000000,,-2517798166.000000,-10687139687.000000,21468434489.000000,,,-163432094.000000,10617862708.000000
12M 2012,-38965108007.000000,37959327563.000000,,-56866872073.000000,,,-958254254.000000,77586459.000000,,,,,-19176895702.000000,,,,,-38965108007.000000,-2134915734.000000,-2134915734.000000,,,,,,,,,,,,,,,,,-2134915734.000000,32597642692.000000,,,,,30910808730.000000,,,,1683731112.000000,,,,,,,,,3102850.000000,,32597642692.000000,-8502381049.000000,10617862708.000000,,,189716616.000000,2305198275.000000
12M 2013,31217567025.000000,145579626232.000000,,-104409744096.000000,,,-1826186124.000000,276955133.000000,,,328174183.000000,,-8731258303.000000,,,,,31217567025.000000,1527246419.000000,-772753581.000000,,,,,,,,,,,,,,,,2300000000.000000,1527246419.000000,-20840815476.000000,,,,,-21151675334.000000,,,,-67494393717.000000,,,,,,6255908400.000000,,61549345175.000000,,,-20840815476.000000,11903997968.000000,2305198275.000000,,,437553764.000000,14646750007.000000
12M 2014,50485937034.000000,177139150733.000000,,-123606326671.000000,,,-2125223252.000000,467290997.000000,,,2090004375.000000,,-3478959148.000000,,,,,50485937034.000000,5135396728.000000,-5045334120.000000,,,,,,,,,,10025400000.000000,150607400.000000,,5000000.000000,-276552.000000,,,5135396728.000000,-9988031302.000000,,,,,-9988031302.000000,,,,,,,,,,,,,,,-9988031302.000000,45633302460.000000,14646750007.000000,,,-97266052.000000,60182786415.000000
12M 2015,42092732254.000000,109101309606.000000,,-72051265742.000000,,,-1595548543.000000,60623346.000000,,,4139880998.000000,,2437732589.000000,,,,,42092732254.000000,-84830792346.000000,-38779392346.000000,-46050000000.000000,,,,,,,,,,,,,-1400000.000000,,,-84830792346.000000,159531302.000000,,,,,159531302.000000,,,,,,,,,,,,,,,159531302.000000,-42578528790.000000,60182786415.000000,,,-426640123.000000,17177617502.000000
12M 2016,-10361821068.000000,,,-12452439376.000000,,,-1440496795.000000,2146160.000000,,,3396927090.000000,,132041853.000000,,,,,-10361821068.000000,-480932700.000000,-2480932700.000000,2000000000.000000,,,,,,,,,,,,,,,,-480932700.000000,-171500000.000000,,,,,-171500000.000000,,,,,,,,,,,,,,,-171500000.000000,-11014253768.000000,17177617502.000000,-2128595298.000000,,,4034768436.000000
12M 2017,-8765519894.000000,,,-11421773683.000000,,,-83810007.000000,2068439.000000,,,1967547211.000000,,770448146.000000,,,,,-8765519894.000000,33703749508.000000,-1258439263.000000,35050000000.000000,,,,,,1913488771.000000,-2000000000.000000,,,,-1300000.000000,,,,,33703749508.000000,,,,,,,,,,,,,,,,,,,,,,24938229614.000000,4034768436.000000,,,,28972998050.000000
12M 2018,-37900190096.000000,2340000000.000000,,-5417849001.000000,,-610000000.000000,-89890918.000000,7743794.000000,,,1449726833.000000,,-35579920804.000000,,,,,-37900190096.000000,256606728.000000,-393393272.000000,650000000.000000,,,,,,,,,,,,,,,,256606728.000000,,,,,,,,,,,,,,,,,,,,,,-37643583368.000000,28972998050.000000,,27265147069.000000,,18594561751.000000
12M 2019,-158410991.000000,2360000000.000000,,-3803358720.000000,,,-22750000.000000,58263438.000000,390741574.000000,,815591099.000000,,43101618.000000,,,,,-158410991.000000,-21132412877.000000,,-8000000000.000000,,-1240059700.000000,,-11892353177.000000,,,,,,,,,,,,-21132412877.000000,5859454830.000000,,,,,5859454830.000000,,,,,,,,,,,,,,,5859454830.000000,-15431369038.000000,18594561750.000000,,,,3163192712.000000
12M 2020,-1233755308.000000,4420000000.000000,,-5388953277.000000,,,-871193699.000000,,85988577.000000,,342335020.000000,,178068071.000000,,,,,-1233755308.000000,823202168.000000,,13150000000.000000,,,,-12326797832.000000,,,,,,,,,,,,823202168.000000,,,,,,,,,,,,,,,,,,,,,,-410553140.000000,3163192712.000000,,,,2752639572.000000
12M 2021,526611598.000000,2112354004.000000,,-1706229386.000000,,,-254094023.000000,,41291383.000000,,88066739.000000,,245222881.000000,,,,,526611598.000000,-1923514576.000000,-2923514576.000000,1000000000.000000,,,,,,,,,,,,,,,,-1923514576.000000,3374163317.000000,,,,,3374163317.000000,,,,,,,,,,,,,,,3374163317.000000,1977260339.000000,2752639572.000000,,,,4729899911.000000
12M 2022,1742968209.000000,4393644001.000000,,-2801277209.000000,,,,,114336774.000000,,36264643.000000,,,,,,,1742968209.000000,-628191438.000000,-965877692.000000,,,,,337686254.000000,,,,,,,,,,,,-628191438.000000,2930314431.000000,,,,,2930314431.000000,,,,,,,,,,,,,,,2930314431.000000,4045091202.000000,4729899911.000000,,,,8774991113.000000
12M 2023,-4820007457.000000,119815803.000000,,-5050690103.000000,,,-36153905.000000,,92263794.000000,,54756954.000000,,,,,,,-4820007457.000000,-11750000.000000,-11750000.000000,,,,,,,,,,,,,,,,,-11750000.000000,-83222043.000000,,,,,-83222043.000000,,,,,,,,,,,,,,,-83222043.000000,-4914979500.000000,8774991113.000000,,,,3860011613.000000
12M 2024,-7388483403.000000,312127628.000000,,-7737716878.000000,,,-20425518.000000,,34456878.000000,,23074487.000000,,,,,,,-7388483403.000000,-6737760.000000,-6737760.000000,,,,,,,,,,,,,,,,,-6737760.000000,4954196506.000000,,,,,4954196506.000000,,,,,,,,,,,,,,,4954196506.000000,-2441024657.000000,3860011613.000000,,,,1418986956.000000
