Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Final,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,17261243867.000000,-13863174015.000000,3398069852.000000,-4005599120.000000,-4005599120.000000,-4005599120.000000,-607529268.000000,-6514871.000000,-2112495.000000,79378460.000000,,-83780836.000000,-6514871.000000,-614044139.000000,-282487776.000000,-282487776.000000,,,-282487776.000000,,,-282487776.000000,-896531915.000000,-1116742850.000000,,-2013274765.000000,,,-2013274765.000000,-896531915.000000,,-1116742850.000000,-2013274765.000000,,,,
12M 2009,16291813189.000000,-13281737486.000000,3010075703.000000,-2781314502.000000,-2781314502.000000,-2781314502.000000,228761201.000000,372530680.000000,-20766669.000000,870365374.000000,-462277136.000000,-14790889.000000,372530680.000000,601291881.000000,-471583312.000000,-471583312.000000,,,-471583312.000000,,,-471583312.000000,129708569.000000,-71401734.000000,,58306835.000000,,,58306835.000000,129708569.000000,,-71401734.000000,58306835.000000,,,,
12M 2010,17358265410.000000,-13764715167.000000,3593550243.000000,-2671969096.000000,-2671969096.000000,-2671969096.000000,921581147.000000,956744795.000000,,,,,956744795.000000,1878325942.000000,-720455135.000000,-720455135.000000,,,-720455135.000000,,,-720455135.000000,1157870807.000000,-109499694.000000,,1048371113.000000,,,1048371113.000000,1157870807.000000,,-109499694.000000,1048371113.000000,,,,
12M 2011,20055640994.000000,-16878946005.000000,3176694989.000000,-2844063012.000000,,-2844063012.000000,332631977.000000,295390644.000000,,,,,295390644.000000,628022621.000000,-423046261.000000,-428626064.000000,,,-428626064.000000,,5579803.000000,-423046261.000000,204976360.000000,,,204976360.000000,-150916415.000000,54059945.000000,204976360.000000,205104202.000000,-127842.000000,,204976360.000000,54059945.000000,54187787.000000,-127842.000000,54059945.000000
12M 2012,81244191781.000000,-57907515051.000000,23336676730.000000,-3965979968.000000,,-3965979968.000000,19370696762.000000,-6210611715.000000,,,,,-6210611715.000000,13160085047.000000,-998291798.000000,-1003802522.000000,,,-1003802522.000000,,5510724.000000,-998291798.000000,12161793249.000000,,,12161793249.000000,2874977441.000000,15036770690.000000,12161793249.000000,12158550974.000000,3242275.000000,,12161793249.000000,15036770690.000000,15033528415.000000,3242275.000000,15036770690.000000
12M 2013,135359026966.000000,-106078512068.000000,29280514898.000000,-5891910956.000000,,-5891910956.000000,23388603942.000000,-5986874235.000000,,,,,-5986874235.000000,17401729707.000000,-1306637641.000000,,-1389173189.000000,-65472316.000000,-1454645505.000000,,148007864.000000,-1306637641.000000,16095092066.000000,,,16095092066.000000,437553764.000000,16532645830.000000,16095092066.000000,16094341595.000000,750471.000000,,16095092066.000000,16532645830.000000,16531895359.000000,750471.000000,16532645830.000000
12M 2014,175540689561.000000,-121484211102.000000,54056478459.000000,-6138244065.000000,,-6138244065.000000,47918234394.000000,2177111714.000000,,,,,2177111714.000000,50095346108.000000,-2232720231.000000,,-1852760928.000000,-220860912.000000,-2073621840.000000,,-159098391.000000,-2232720231.000000,47862625877.000000,,,47862625877.000000,-97266052.000000,47765359825.000000,47862625877.000000,47862625877.000000,,,47862625877.000000,47765359825.000000,47762785544.000000,2574281.000000,47765359825.000000
12M 2015,75105740350.000000,-68110534520.000000,6995205830.000000,-7701141860.000000,,-7701141860.000000,-705936030.000000,3385427902.000000,,,,,3385427902.000000,2679491872.000000,-843482795.000000,-96153750.000000,,,-96153750.000000,-747329045.000000,,-843482795.000000,1836009077.000000,,,1836009077.000000,-374173123.000000,1461835954.000000,1836009077.000000,1835599300.000000,409777.000000,,1836009077.000000,1461835954.000000,1461425303.000000,410651.000000,1461835954.000000
12M 2016,,-13256014217.000000,-13256014217.000000,-6522566125.000000,,-6522566125.000000,-19778580342.000000,2163500833.000000,,,,,2163500833.000000,-17615079509.000000,-98210017.000000,-80210017.000000,,,-80210017.000000,-18000000.000000,,-98210017.000000,-17713289526.000000,,-168876809.000000,-17882166335.000000,-69633430.000000,-17951799765.000000,-17882166335.000000,-17881525746.000000,-640589.000000,,-17882166335.000000,-17951799765.000000,-17951152117.000000,-647648.000000,-17951799765.000000
12M 2017,,-11199685159.000000,-11199685159.000000,-6958209002.000000,,-6958209002.000000,-18157894161.000000,-39579438771.000000,,,,,-39579438771.000000,-57737332932.000000,-18000000.000000,,,,,-18000000.000000,,-18000000.000000,-57755332932.000000,,,-57755332932.000000,-118541253.000000,-57873874185.000000,-57755332932.000000,-57752626850.000000,-2706082.000000,,-57755332932.000000,-57873874185.000000,-57871167197.000000,-2706988.000000,-57873874185.000000
