Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pihak Berelasi,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pemegang Saham,Utang Pembelian Kapal,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pemegang Saham,Utang Dari Pihak Ketiga,Utang Pihak Berelasi,Utang Lain-Lain,Utang Pembelian Kapal,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,755764731.000000,,3077691973.000000,,3077691973.000000,3077691973.000000,,,,,,,872189550.000000,4705646254.000000,,27933889.000000,,,8566039590.000000,8593973479.000000,13299619733.000000,,,1716081259.000000,,1300130328.000000,,1300130328.000000,,19619892.000000,,,,,396331039.000000,,,,1716081259.000000,12433484312.000000,12433484312.000000,,,,,,12433484312.000000,14149565571.000000,,30666250000.000000,8802562068.000000,-43185404956.000000,,-43185404956.000000,-43185404956.000000,,2866647050.000000,-849945838.000000,13299619733.000000,122665000.000000
12M 2009,,,30634772032.000000,,1868926944.000000,,1868926944.000000,1868926944.000000,,173115555.000000,173115555.000000,,173115555.000000,,716909419.000000,33393723950.000000,,52459213.000000,,,9440369541.000000,9492828754.000000,42886552704.000000,,,15967044462.000000,,1132019471.000000,,1132019471.000000,,109965102.000000,,,,,697584389.000000,14027475500.000000,,,15967044462.000000,,,,,,,,,15967044462.000000,,67465750000.000000,8029271946.000000,-43127098121.000000,,-43127098121.000000,-43127098121.000000,,-5448415583.000000,26919508242.000000,42886552704.000000,269863000.000000
12M 2010,,,21468434489.000000,,3904448532.000000,,3904448532.000000,3904448532.000000,,68533334.000000,,,68533334.000000,,1538784154.000000,26980200509.000000,,7317064105.000000,,,75393891.000000,7392457996.000000,34372658505.000000,,,1608086803.000000,,1200604153.000000,,1200604153.000000,,72981448.000000,77443069.000000,,,77443069.000000,257058133.000000,,,,1608086803.000000,4469526481.000000,4469526481.000000,,,,,,4469526481.000000,6077613284.000000,,13493150000.000000,18984273519.000000,1048371113.000000,,1048371113.000000,1048371113.000000,6000000.000000,-5236749411.000000,28295045221.000000,34372658505.000000,269863000.000000
12M 2011,,,10617862708.000000,,2231725547.000000,2231725547.000000,,2231725547.000000,,279112756.000000,279112756.000000,,279112756.000000,96460181.000000,1626797245.000000,14851958437.000000,,84923303192.000000,5579803.000000,,227937645.000000,85156820640.000000,100008779077.000000,,,3750113117.000000,,1291236118.000000,,1291236118.000000,,104341055.000000,,1388626700.000000,240866604.000000,1629493304.000000,255687801.000000,,,469354839.000000,3750113117.000000,65810662605.000000,,65810662605.000000,,,,,65810662605.000000,69560775722.000000,,15636668150.000000,18984273519.000000,1070454618.000000,,1070454618.000000,1070454618.000000,5872158.000000,-5249265090.000000,30448003355.000000,100008779077.000000,312733363.000000
12M 2012,,,2305198275.000000,,45826265959.000000,,,45826265959.000000,,287646601.000000,286476468.000000,1170133.000000,287646601.000000,3458963710.000000,17590266938.000000,69468341483.000000,,80801534450.000000,11090527.000000,,228437645.000000,81041062622.000000,150509404105.000000,,,42251741053.000000,,4744502314.000000,,4744502314.000000,,209826281.000000,,362831635.000000,31151675334.000000,31514506969.000000,308297929.000000,,4724607560.000000,750000000.000000,42251741053.000000,62769786157.000000,,,,,62769786157.000000,,62769786157.000000,105021527210.000000,,15639771000.000000,18984273519.000000,16103983033.000000,,16103983033.000000,16103983033.000000,9114432.000000,-5249265090.000000,45487876894.000000,150509404104.000000,312795420.000000
12M 2013,,,14646750007.000000,,35663117729.000000,35663117729.000000,,35663117729.000000,,229025432.000000,229025432.000000,,229025432.000000,3200148833.000000,18638345153.000000,72377387154.000000,,74576930636.000000,159098391.000000,,304297328.000000,75040326355.000000,147417713509.000000,,,17232581209.000000,,5439567166.000000,,5439567166.000000,,373001655.000000,,1077719878.000000,10000000000.000000,11077719878.000000,342292510.000000,,,,17232581209.000000,769475000.000000,,,,,,769475000.000000,769475000.000000,18002056209.000000,,21895679400.000000,75284353604.000000,32225759392.000000,,32225759392.000000,32225759392.000000,9864904.000000,,129415657300.000000,147417713509.000000,437913588.000000
12M 2014,,,60182786415.000000,,33986887382.000000,33986887382.000000,,33986887382.000000,,306794607.000000,306794607.000000,,306794607.000000,3334913425.000000,12339007141.000000,110150388970.000000,,72869274031.000000,,,153189928.000000,73022463959.000000,183172852929.000000,,,5003337356.000000,,3859926448.000000,,3859926448.000000,,268333458.000000,,670009619.000000,11968698.000000,681978317.000000,193099133.000000,,,,5003337356.000000,983775000.000000,,,,,,983775000.000000,983775000.000000,5987112356.000000,,21895679400.000000,75284353604.000000,79988544936.000000,,79988544936.000000,79988544936.000000,17162633.000000,,177185740573.000000,183172852929.000000,437913588.000000
12M 2015,,,17177617502.000000,,,,,,,211947314.000000,211947314.000000,,211947314.000000,3011920415.000000,56978745925.000000,77380231156.000000,,103485530589.000000,,,159189928.000000,103644720517.000000,181024951673.000000,,,1229034146.000000,,71878950.000000,,71878950.000000,,189516146.000000,,72678796.000000,171500000.000000,244178796.000000,723460254.000000,,,,1229034146.000000,800048000.000000,,,,,,800048000.000000,800048000.000000,2029082146.000000,,21895679400.000000,75284353604.000000,81847208258.000000,,81847208258.000000,81847208258.000000,16180477.000000,-47552212.000000,178995869527.000000,181024951673.000000,437913588.000000
12M 2016,,,4034768436.000000,,,,,,,127123477.000000,127123477.000000,,127123477.000000,2499600333.000000,55783973677.000000,62445465923.000000,,97764777138.000000,,,2202463489.000000,99967240627.000000,162412706550.000000,,,562345297.000000,,435214400.000000,,435214400.000000,,20220357.000000,,1170118.000000,,1170118.000000,105740422.000000,,,,562345297.000000,806291491.000000,,,,,,806291491.000000,806291491.000000,1368636788.000000,,21895679400.000000,75284353604.000000,63848503929.000000,,63848503929.000000,63848503929.000000,15532829.000000,,161044069762.000000,162412706550.000000,437913588.000000
12M 2017,,,28972998050.000000,,,,,,,78939208.000000,78939208.000000,,78939208.000000,2264890358.000000,21885471349.000000,53202298965.000000,,54478459638.000000,,2000000000.000000,242745000.000000,56721204638.000000,109923503603.000000,,,345263343.000000,,,,,,56047912.000000,,29860653.000000,,29860653.000000,259354778.000000,,,,345263343.000000,1160079593.000000,,,,,,1160079593.000000,1160079593.000000,1505342936.000000,,21895679400.000000,80533618694.000000,5977336732.000000,,5977336732.000000,5977336732.000000,11525841.000000,,108418160667.000000,109923503603.000000,437913588.000000
