Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan Badan,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Pinjaman Kepada Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Investasi Jangka Panjang,Uang Muka Untuk Perolehan Aset Tetap,Akuisisi Hak Minoritas Pada Anak Perusahaan,Investasi Pada Perusahaan Asosiasi,Penjualan Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Dari Pinjaman Jangka Pendek,Penerimaan Dari Pinjaman Jangka Pendek,Pembayaran Dari Pinjaman Jangka Pendek,Total Penerimaan (Pembayaran) Dari Pinjaman Jangka Pendek,Penerimaan (Pembayaran) Dari Pinjaman Jangka Panjang,Penerimaan Dari Pinjaman Jangka Panjang,Pembayaran Dari Pinjaman Jangka Panjang,Total Penerimaan (Pembayaran) Dari Pinjaman Jangka Panjang,Pembayaran Dividen,Pemilik Entitas Induk,Kepentingan Nonpengendali,Total Pembayaran Dividen,Penyetoran Modal Saham Entitas Anak Oleh Pemegang Saham Nonpengendali,Pembelian Saham Entitas Anak Dari Pemegang Saham Nonpengendali,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,2260895000000.000000,30942984000000.000000,-27342922000000.000000,,,,14233000000.000000,-517286000000.000000,-836114000000.000000,,2260895000000.000000,-1054794000000.000000,-411738000000.000000,19169000000.000000,,,,,-640375000000.000000,-11850000000.000000,-10000000000.000000,,-1054794000000.000000,-576564000000.000000,-87642000000.000000,,,-87642000000.000000,,,,,-481022000000.000000,,,-481022000000.000000,,-7900000000.000000,-576564000000.000000,18703000000.000000,648240000000.000000,486586000000.000000,1134826000000.000000
12M 2009,3265201000000.000000,34040270000000.000000,-29040514000000.000000,,,,96253000000.000000,-466622000000.000000,-1364186000000.000000,,3265201000000.000000,-1387254000000.000000,-874569000000.000000,17488000000.000000,,,,,-530173000000.000000,,,,-1387254000000.000000,-1771792000000.000000,-1149161000000.000000,,,-1149161000000.000000,,,,,-673431000000.000000,,,-673431000000.000000,50800000000.000000,,-1771792000000.000000,-18084000000.000000,88071000000.000000,1134826000000.000000,1222897000000.000000
12M 2010,2872598000000.000000,37800119000000.000000,-33211596000000.000000,,,,32089000000.000000,-261091000000.000000,-1486923000000.000000,,2872598000000.000000,-1094197000000.000000,-1097169000000.000000,2972000000.000000,,,,,,,,,-1094197000000.000000,-1745964000000.000000,-499108000000.000000,,,-499108000000.000000,,,,,-1250657000000.000000,,,-1250657000000.000000,3801000000.000000,,-1745964000000.000000,-6085000000.000000,26352000000.000000,1222897000000.000000,1249249000000.000000
12M 2011,-90307000000.000000,41863730000000.000000,-39931690000000.000000,,,,40227000000.000000,-226063000000.000000,-1836511000000.000000,,-90307000000.000000,-1813859000000.000000,-1828462000000.000000,4603000000.000000,,,,,,,,10000000000.000000,-1813859000000.000000,1752874000000.000000,3480324000000.000000,,,3480324000000.000000,,,,,-1727450000000.000000,,,-1727450000000.000000,,,1752874000000.000000,-3062000000.000000,-154354000000.000000,1249249000000.000000,1094895000000.000000
12M 2012,3953574000000.000000,48572805000000.000000,,-38576802000000.000000,-1879019000000.000000,-2103420000000.000000,36210000000.000000,-480566000000.000000,-1538834000000.000000,-76800000000.000000,3953574000000.000000,-3754694000000.000000,-3892321000000.000000,137627000000.000000,,,,,,,,,-3754694000000.000000,236074000000.000000,2250000000000.000000,,,2250000000000.000000,,,,,,-1924088000000.000000,-57539000000.000000,-1981627000000.000000,,-32299000000.000000,236074000000.000000,5578000000.000000,440532000000.000000,130917000000.000000,571449000000.000000
12M 2013,2472971000000.000000,54632104000000.000000,,-44869750000000.000000,-2052657000000.000000,-3104345000000.000000,35788000000.000000,-665656000000.000000,-1522688000000.000000,20175000000.000000,2472971000000.000000,-5635456000000.000000,-5678122000000.000000,42666000000.000000,,,,,,,,,-5635456000000.000000,3726626000000.000000,5300000000000.000000,,,5300000000000.000000,,,,,,-1539270000000.000000,-32705000000.000000,-1571975000000.000000,,-1399000000.000000,3726626000000.000000,39727000000.000000,603868000000.000000,571449000000.000000,1175317000000.000000
12M 2014,1657776000000.000000,65854132000000.000000,,-55964250000000.000000,-2739021000000.000000,-2637265000000.000000,42644000000.000000,-1287691000000.000000,-1651205000000.000000,40432000000.000000,1657776000000.000000,-5069199000000.000000,-5116093000000.000000,46894000000.000000,,,,,,,,,-5069199000000.000000,3466656000000.000000,5049500000000.000000,,,5049500000000.000000,,,,,,-1539270000000.000000,-43599000000.000000,-1582869000000.000000,25000000.000000,,3466656000000.000000,9762000000.000000,64995000000.000000,1175317000000.000000,1240312000000.000000
12M 2015,3200820000000.000000,70331169000000.000000,,-58015980000000.000000,-2407036000000.000000,-3482970000000.000000,50058000000.000000,-1524309000000.000000,-1830188000000.000000,80076000000.000000,3200820000000.000000,-2900394000000.000000,-2923422000000.000000,23028000000.000000,,,,,,,,,-2900394000000.000000,-284510000000.000000,,11800000000000.000000,-10499500000000.000000,1300500000000.000000,,,,,,-1539270000000.000000,-28697000000.000000,-1567967000000.000000,1000000.000000,-17044000000.000000,-284510000000.000000,8474000000.000000,24390000000.000000,1240312000000.000000,1264702000000.000000
12M 2016,6937650000000.000000,75745184000000.000000,,-58271179000000.000000,-2833313000000.000000,-4197322000000.000000,40818000000.000000,-1233286000000.000000,-2405902000000.000000,92650000000.000000,6937650000000.000000,-2226043000000.000000,-2335396000000.000000,109353000000.000000,,,,,,,,,-2226043000000.000000,-5129762000000.000000,,14700000000000.000000,-14800000000000.000000,-100000000000.000000,,,,,,-5002629000000.000000,-21737000000.000000,-5024366000000.000000,2000000.000000,-5398000000.000000,-5129762000000.000000,-4672000000.000000,-422827000000.000000,1264702000000.000000,841875000000.000000
12M 2017,8204579000000.000000,83165934000000.000000,,-62794910000000.000000,-3153439000000.000000,-5586056000000.000000,72660000000.000000,-792426000000.000000,-2638900000000.000000,-68284000000.000000,8204579000000.000000,-3239589000000.000000,-3395744000000.000000,156155000000.000000,,,,,,,,,-3239589000000.000000,-3480186000000.000000,,17000000000000.000000,-15400000000000.000000,1600000000000.000000,,,,,,-5002629000000.000000,-46072000000.000000,-5048701000000.000000,2000000.000000,-31487000000.000000,-3480186000000.000000,2500000000.000000,1487304000000.000000,841875000000.000000,2329179000000.000000
