Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,30251643000000.000000,-25095136000000.000000,5156507000000.000000,-1966141000000.000000,,-1014096000000.000000,-976776000000.000000,-1990872000000.000000,24731000000.000000,,-1966141000000.000000,3190366000000.000000,-534022000000.000000,-553073000000.000000,-189000000.000000,6358000000.000000,14233000000.000000,-1351000000.000000,-534022000000.000000,2656344000000.000000,-775852000000.000000,-849466000000.000000,73614000000.000000,-775852000000.000000,1880492000000.000000,,1880492000000.000000,,,,,1880492000000.000000,1880492000000.000000,,1880492000000.000000,,,,
12M 2009,32973080000000.000000,-25807564000000.000000,7165516000000.000000,-1999356000000.000000,,-1030558000000.000000,-928121000000.000000,-1958679000000.000000,-40677000000.000000,,-1999356000000.000000,5166160000000.000000,-337947000000.000000,-445230000000.000000,-540000000.000000,15387000000.000000,96253000000.000000,-3817000000.000000,-337947000000.000000,4828213000000.000000,-1342312000000.000000,-1421241000000.000000,78929000000.000000,-1342312000000.000000,3485901000000.000000,-30199000000.000000,3455702000000.000000,,,,,3455702000000.000000,3485901000000.000000,-30199000000.000000,3455702000000.000000,,,,
12M 2010,37691997000000.000000,-28826410000000.000000,8865587000000.000000,-3017883000000.000000,,-1833402000000.000000,-1174324000000.000000,-3007726000000.000000,-10157000000.000000,,-3017883000000.000000,5847704000000.000000,-216408000000.000000,-238285000000.000000,,-1627000000.000000,32089000000.000000,-8585000000.000000,-216408000000.000000,5631296000000.000000,-1416507000000.000000,-1444945000000.000000,28438000000.000000,-1416507000000.000000,4214789000000.000000,-68507000000.000000,4146282000000.000000,,,,,4146282000000.000000,4214789000000.000000,-68507000000.000000,4146282000000.000000,,,,
12M 2011,41884352000000.000000,-31754984000000.000000,10129368000000.000000,-3261395000000.000000,,-2028709000000.000000,-1262017000000.000000,-3290726000000.000000,-12480000000.000000,41811000000.000000,-3261395000000.000000,6867973000000.000000,-253002000000.000000,-253002000000.000000,,,,,-253002000000.000000,6614971000000.000000,-1656869000000.000000,,,-1656869000000.000000,4958102000000.000000,,4958102000000.000000,,,,4958102000000.000000,4958102000000.000000,4894057000000.000000,64045000000.000000,4958102000000.000000,4958102000000.000000,4894057000000.000000,64045000000.000000,4958102000000.000000
12M 2012,49028696000000.000000,-39843974000000.000000,9184722000000.000000,-3159041000000.000000,-3177516000000.000000,,,-3177516000000.000000,-17658000000.000000,36133000000.000000,-3159041000000.000000,6025681000000.000000,-495035000000.000000,-495035000000.000000,,,,,-495035000000.000000,5530646000000.000000,-1461935000000.000000,,,-1461935000000.000000,4068711000000.000000,,4068711000000.000000,,,,4068711000000.000000,4068711000000.000000,4013758000000.000000,54953000000.000000,4068711000000.000000,4068711000000.000000,4013758000000.000000,54953000000.000000,4068711000000.000000
12M 2013,55436954000000.000000,-44563096000000.000000,10873858000000.000000,-4182136000000.000000,-4224052000000.000000,,,-4224052000000.000000,-12965000000.000000,54881000000.000000,-4182136000000.000000,6691722000000.000000,-755518000000.000000,-755518000000.000000,,,,,-755518000000.000000,5936204000000.000000,-1552272000000.000000,,,-1552272000000.000000,4383932000000.000000,,4383932000000.000000,,,,4383932000000.000000,4383932000000.000000,4328736000000.000000,55196000000.000000,4383932000000.000000,4383932000000.000000,4328736000000.000000,55196000000.000000,4383932000000.000000
12M 2014,65185850000000.000000,-51806284000000.000000,13379566000000.000000,-4801910000000.000000,-4854713000000.000000,,,-4854713000000.000000,16700000000.000000,36103000000.000000,-4801910000000.000000,8577656000000.000000,-1371811000000.000000,-1371811000000.000000,,,,,-1371811000000.000000,7205845000000.000000,-1810552000000.000000,,,-1810552000000.000000,5395293000000.000000,,5395293000000.000000,,,,5395293000000.000000,5395293000000.000000,5368568000000.000000,26725000000.000000,5395293000000.000000,5395293000000.000000,5368568000000.000000,26725000000.000000,5395293000000.000000
12M 2015,70365573000000.000000,-54879962000000.000000,15485611000000.000000,-5420744000000.000000,-5579370000000.000000,,,-5579370000000.000000,72063000000.000000,86563000000.000000,-5420744000000.000000,10064867000000.000000,-1429592000000.000000,-1429592000000.000000,,,,,-1429592000000.000000,8635275000000.000000,-2182441000000.000000,,,-2182441000000.000000,6452834000000.000000,,6452834000000.000000,5682000000.000000,5682000000.000000,5682000000.000000,6458516000000.000000,6452834000000.000000,6435654000000.000000,17180000000.000000,6452834000000.000000,6458516000000.000000,6441336000000.000000,17180000000.000000,6458516000000.000000
12M 2016,76274147000000.000000,-59657431000000.000000,16616716000000.000000,-6494678000000.000000,-6644400000000.000000,,,-6644400000000.000000,1951000000.000000,147771000000.000000,-6494678000000.000000,10122038000000.000000,-1190902000000.000000,-1190902000000.000000,,,,,-1190902000000.000000,8931136000000.000000,-2258454000000.000000,,,-2258454000000.000000,6672682000000.000000,,6672682000000.000000,-86601000000.000000,-86601000000.000000,-86601000000.000000,6586081000000.000000,6672682000000.000000,6677083000000.000000,-4401000000.000000,6672682000000.000000,6586081000000.000000,6590482000000.000000,-4401000000.000000,6586081000000.000000
12M 2017,83305925000000.000000,-65084263000000.000000,18221662000000.000000,-6984409000000.000000,-7103026000000.000000,,,-7103026000000.000000,-14696000000.000000,133313000000.000000,-6984409000000.000000,11237253000000.000000,-800741000000.000000,-800741000000.000000,,,,,-800741000000.000000,10436512000000.000000,-2681165000000.000000,,,-2681165000000.000000,7755347000000.000000,,7755347000000.000000,-51725000000.000000,-51725000000.000000,-51725000000.000000,7703622000000.000000,7755347000000.000000,7753648000000.000000,1699000000.000000,7755347000000.000000,7703622000000.000000,7701923000000.000000,1699000000.000000,7703622000000.000000
