Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.53,8065.78,0.53,8064.98,"4,332 B",,"4,332 B","3,197 B","9,338 B"
12M 2009,2.27,9511.80,2.27,9511.16,"3,183 B",,"3,183 B","1,960 B","11,623 B"
12M 2010,3.63,11016.73,3.63,11016.73,"2,684 B",,"2,684 B","1,434 B","14,426 B"
12M 2011,4.89,12680.30,4.89,12680.30,"6,164 B",,"6,164 B","5,069 B","16,847 B"
12M 2012,4.09,13759.55,4.09,13759.55,"8,164 B",,"8,164 B","6,879 B","16,152 B"
12M 2013,2.76,15209.31,2.76,15209.31,"12,979 B",,"12,979 B","11,575 B","14,510 B"
12M 2014,3.53,17199.50,3.53,17199.50,"18,147 B",,"18,147 B","16,559 B","14,794 B"
12M 2015,2.79,19697.69,2.79,19697.69,"20,561 B",,"20,561 B","17,835 B","18,523 B"
12M 2016,3.11,20522.46,3.11,20522.46,"19,753 B",,"19,753 B","18,158 B","20,295 B"
12M 2017,3.82,21917.44,3.82,21917.44,"20,600 B",,"20,600 B","18,271 B","21,153 B"
12M 2018,3.57,23456.95,3.57,23456.95,"17,322 B",,"17,322 B","15,288 B","23,281 B"
12M 2019,2.00,26470.05,2.00,26470.05,"17,236 B",177 B,"17,413 B","13,841 B","26,822 B"
12M 2020,1.35,30415.66,1.35,30415.66,"6,029 B",157 B,"6,186 B","1,412 B","32,528 B"
12M 2021,0.99,30813.67,0.99,30813.67,"9,980 B",123 B,"10,103 B","5,933 B","30,943 B"
12M 2022,0.60,30069.26,0.60,30069.26,"10,071 B",65 B,"10,136 B","5,729 B","26,320 B"
12M 2023,0.64,31632.01,0.64,31632.01,"13,396 B",,"13,396 B","9,140 B","24,579 B"
12M 2024,0.41,32179.67,0.41,32179.67,"9,375 B",,"9,375 B","5,670 B","26,767 B"
