Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Utang Cukai,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1134826000000.000000,2087440000000.000000,186553000000.000000,1900887000000.000000,2087440000000.000000,11158000000.000000,13528987000000.000000,246165000000.000000,17008576000000.000000,,,9811000000.000000,6608094000000.000000,1544000000.000000,444000000.000000,444490000000.000000,7064383000000.000000,24072959000000.000000,,,7670532000000.000000,4331923000000.000000,,,,,161207000000.000000,13978000000.000000,175185000000.000000,144023000000.000000,,144023000000.000000,2777932000000.000000,87640000000.000000,153829000000.000000,7670532000000.000000,883156000000.000000,,,,397190000000.000000,485966000000.000000,883156000000.000000,8553688000000.000000,,962044000000.000000,53700000000.000000,14503522000000.000000,200000000000.000000,14303522000000.000000,14503522000000.000000,5000000.000000,,15519271000000.000000,24072959000000.000000,1924088000.000000
12M 2009,,,1222897000000.000000,1013373000000.000000,977092000000.000000,36281000000.000000,1013373000000.000000,25585000000.000000,16853310000000.000000,469368000000.000000,19584533000000.000000,,,9271000000.000000,7019464000000.000000,1235000000.000000,3118000000.000000,613344000000.000000,7646432000000.000000,27230965000000.000000,,,7961279000000.000000,3182762000000.000000,,,,,290517000000.000000,32264000000.000000,322781000000.000000,187952000000.000000,,187952000000.000000,4028717000000.000000,114034000000.000000,125033000000.000000,7961279000000.000000,887145000000.000000,,,,320935000000.000000,566210000000.000000,887145000000.000000,8848424000000.000000,,962044000000.000000,53700000000.000000,17285793000000.000000,200000000000.000000,17085793000000.000000,17285793000000.000000,81004000000.000000,,18382541000000.000000,27230965000000.000000,1924088000.000000
12M 2010,,,1249249000000.000000,903739000000.000000,882546000000.000000,21193000000.000000,903739000000.000000,11265000000.000000,20174168000000.000000,569872000000.000000,22908293000000.000000,,,9271000000.000000,7406632000000.000000,,6083000000.000000,411400000000.000000,7833386000000.000000,30741679000000.000000,,,8481933000000.000000,2683654000000.000000,,,,,343062000000.000000,31986000000.000000,375048000000.000000,161323000000.000000,,161323000000.000000,4962877000000.000000,51678000000.000000,247353000000.000000,8481933000000.000000,939470000000.000000,,,,295462000000.000000,644008000000.000000,939470000000.000000,9421403000000.000000,,962044000000.000000,53700000000.000000,20181418000000.000000,200000000000.000000,19981418000000.000000,20181418000000.000000,123114000000.000000,,21320276000000.000000,30741679000000.000000,1924088000.000000
12M 2011,,,1094895000000.000000,923522000000.000000,919730000000.000000,3792000000.000000,923522000000.000000,14465000000.000000,28020017000000.000000,328855000000.000000,30381754000000.000000,,,,8189881000000.000000,,37597000000.000000,479473000000.000000,8706951000000.000000,39088705000000.000000,,,13534319000000.000000,6163978000000.000000,,,,,1474715000000.000000,41096000000.000000,1515811000000.000000,101094000000.000000,,101094000000.000000,5453491000000.000000,83592000000.000000,216353000000.000000,13534319000000.000000,1003458000000.000000,,,,244252000000.000000,759206000000.000000,1003458000000.000000,14537777000000.000000,,962044000000.000000,53700000000.000000,23382278000000.000000,200000000000.000000,23182278000000.000000,23382278000000.000000,152906000000.000000,,24550928000000.000000,39088705000000.000000,1924088000.000000
12M 2012,,,1285799000000.000000,1382539000000.000000,1382539000000.000000,,1382539000000.000000,,26649777000000.000000,635906000000.000000,29954021000000.000000,,,,10389326000000.000000,,43901000000.000000,1122077000000.000000,11555304000000.000000,41509325000000.000000,,,13802317000000.000000,8164350000000.000000,,,,,437719000000.000000,19914000000.000000,457633000000.000000,30644000000.000000,,30644000000.000000,4765268000000.000000,100987000000.000000,283435000000.000000,13802317000000.000000,1101295000000.000000,,,,220095000000.000000,881200000000.000000,1101295000000.000000,14903612000000.000000,,962044000000.000000,53700000000.000000,25471948000000.000000,200000000000.000000,25271948000000.000000,25471948000000.000000,131130000000.000000,-13109000000.000000,26605713000000.000000,41509325000000.000000,1924088000.000000
12M 2013,,,1404108000000.000000,2196086000000.000000,2196086000000.000000,,2196086000000.000000,,30241368000000.000000,762899000000.000000,34604461000000.000000,,,,14788915000000.000000,,58145000000.000000,1318730000000.000000,16165790000000.000000,50770251000000.000000,,,20094580000000.000000,12978791000000.000000,,,,,788611000000.000000,9823000000.000000,798434000000.000000,48816000000.000000,,48816000000.000000,5716498000000.000000,189163000000.000000,362878000000.000000,20094580000000.000000,1259400000000.000000,,,,236496000000.000000,1022904000000.000000,1259400000000.000000,21353980000000.000000,,962044000000.000000,53700000000.000000,28261414000000.000000,200000000000.000000,28061414000000.000000,28261414000000.000000,152222000000.000000,-13109000000.000000,29416271000000.000000,50770251000000.000000,1924088000.000000
12M 2014,,,1588110000000.000000,1532275000000.000000,1532275000000.000000,,1532275000000.000000,,34739327000000.000000,717479000000.000000,38577191000000.000000,,,,18973272000000.000000,,65733000000.000000,604404000000.000000,19643409000000.000000,58220600000000.000000,,,23783134000000.000000,18147298000000.000000,,,,,966508000000.000000,22661000000.000000,989169000000.000000,166475000000.000000,,166475000000.000000,3882071000000.000000,294763000000.000000,303358000000.000000,23783134000000.000000,1208746000000.000000,,,,322445000000.000000,886301000000.000000,1208746000000.000000,24991880000000.000000,,962044000000.000000,53700000000.000000,32090712000000.000000,200000000000.000000,31890712000000.000000,32090712000000.000000,135373000000.000000,-13109000000.000000,33228720000000.000000,58220600000000.000000,1924088000.000000
12M 2015,,,2725891000000.000000,1568098000000.000000,1568098000000.000000,,1568098000000.000000,,37255928000000.000000,1018514000000.000000,42568431000000.000000,,,,20106488000000.000000,,88210000000.000000,742284000000.000000,20936982000000.000000,63505413000000.000000,,,24045086000000.000000,20561189000000.000000,,,,,2349264000000.000000,21075000000.000000,2370339000000.000000,556163000000.000000,,556163000000.000000,,211745000000.000000,345650000000.000000,24045086000000.000000,1452418000000.000000,,,,338011000000.000000,1114407000000.000000,1452418000000.000000,25497504000000.000000,,962044000000.000000,53700000000.000000,36899588000000.000000,200000000000.000000,36699588000000.000000,36899588000000.000000,107827000000.000000,-15250000000.000000,38007909000000.000000,63505413000000.000000,1924088000.000000
12M 2016,,,1595120000000.000000,2089949000000.000000,2089949000000.000000,,2089949000000.000000,,37545222000000.000000,702882000000.000000,41933173000000.000000,,,,20498950000000.000000,,128507000000.000000,391004000000.000000,21018461000000.000000,62951634000000.000000,,,21638565000000.000000,19753245000000.000000,,,,,1091412000000.000000,26545000000.000000,1117957000000.000000,308852000000.000000,,308852000000.000000,,160811000000.000000,297700000000.000000,21638565000000.000000,1748841000000.000000,,,,371451000000.000000,1377390000000.000000,1748841000000.000000,23387406000000.000000,,962044000000.000000,53700000000.000000,38487441000000.000000,200000000000.000000,38287441000000.000000,38487441000000.000000,77211000000.000000,-16168000000.000000,39564228000000.000000,62951634000000.000000,1924088000.000000
12M 2017,,,2329179000000.000000,2229097000000.000000,2229097000000.000000,,2229097000000.000000,,37920289000000.000000,1285925000000.000000,43764490000000.000000,,814687000000.000000,,21408575000000.000000,,119118000000.000000,653060000000.000000,22995440000000.000000,66759930000000.000000,,,22611042000000.000000,20600000000000.000000,,,,,1189089000000.000000,24545000000.000000,1213634000000.000000,307592000000.000000,,307592000000.000000,,171449000000.000000,318367000000.000000,22611042000000.000000,1961224000000.000000,,,,383687000000.000000,1577537000000.000000,1961224000000.000000,24572266000000.000000,,962044000000.000000,53700000000.000000,41186735000000.000000,200000000000.000000,40986735000000.000000,41186735000000.000000,16584000000.000000,-31399000000.000000,42187664000000.000000,66759930000000.000000,1924088000.000000
