Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Final,Keuntungan Atas Penjualan Entitas Anak,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,173839712960.000000,-88820259150.000000,85019453810.000000,-38215336582.000000,-5771776442.000000,-32443560140.000000,,-38215336582.000000,46804117228.000000,-13587072359.000000,1397674911.000000,,-8929446373.000000,-8929446373.000000,,,-3837939845.000000,86500000.000000,-2303861052.000000,-13587072359.000000,33217044869.000000,-10259934996.000000,-10259934996.000000,,-10259934996.000000,22957109873.000000,877211262.000000,23834321135.000000,,,23834321135.000000,22957109873.000000,877211262.000000,23834321135.000000,,,,
12M 2010,162370634513.000000,-68222371530.000000,94148262983.000000,-42511050516.000000,-6992102479.000000,-35518948037.000000,,-42511050516.000000,51637212467.000000,-17520114806.000000,637516381.000000,,-12931437399.000000,-12931437399.000000,,,-3870309396.000000,829352505.000000,-2185236897.000000,-17520114806.000000,34117097661.000000,-9863673355.000000,-9863673355.000000,,-9863673355.000000,24253424306.000000,251606806.000000,24505031112.000000,,,24505031112.000000,24253424306.000000,251606806.000000,24505031112.000000,,,,
12M 2011,99585429829.000000,-40919221417.000000,58666208412.000000,-40878642600.000000,-2735314858.000000,-38744361873.000000,601034131.000000,-40878642600.000000,17787565812.000000,-10288390693.000000,9523131068.000000,,-16423046701.000000,-16423046701.000000,,,-495432587.000000,,-2893042473.000000,-10288390693.000000,7499175119.000000,-4979271491.000000,-4979271491.000000,,-4979271491.000000,2519903628.000000,,2519903628.000000,,2519903628.000000,2519903628.000000,2763007056.000000,-243103428.000000,2519903628.000000,2519903628.000000,2763007056.000000,-243103428.000000,2519903628.000000
12M 2012,109022049506.000000,-45465364039.000000,63556685467.000000,-44573890750.000000,-5644866052.000000,-39718717026.000000,789692328.000000,-44573890750.000000,18982794717.000000,-7229745466.000000,5338925243.000000,,-11166374075.000000,-11166374075.000000,,,6480918696.000000,,-7883215330.000000,-7229745466.000000,11753049251.000000,-7580257300.000000,-7580257300.000000,,-7580257300.000000,4172791951.000000,,4172791951.000000,,4172791951.000000,4172791951.000000,3317790458.000000,855001493.000000,4172791951.000000,4172791951.000000,3317790458.000000,855001493.000000,4172791951.000000
12M 2013,225134645500.000000,-109878606334.000000,115256039166.000000,-53008967867.000000,-13153235535.000000,-40435226889.000000,579494557.000000,-53008967867.000000,62247071299.000000,-14695258716.000000,5880697625.000000,,-15440862613.000000,-15440862613.000000,,,664657435.000000,,-5799751163.000000,-14695258716.000000,47551812583.000000,-13549336201.000000,-13549336201.000000,,-13549336201.000000,34002476382.000000,,34002476382.000000,,34002476382.000000,34002476382.000000,33685773805.000000,316702577.000000,34002476382.000000,34002476382.000000,33685773805.000000,316702577.000000,34002476382.000000
12M 2014,311279776496.000000,-141026653014.000000,170253123482.000000,-91999497631.000000,-24457793459.000000,-70996792781.000000,3455088609.000000,-91999497631.000000,78253625851.000000,-15549899549.000000,5095081228.000000,,-13677239905.000000,-13677239905.000000,,,,,-6967740872.000000,-15549899549.000000,62703726302.000000,-17680212416.000000,-17680212416.000000,,-17680212416.000000,45023513886.000000,,45023513886.000000,,45023513886.000000,45023513886.000000,44801911611.000000,221602275.000000,45023513886.000000,45023513886.000000,44801911611.000000,221602275.000000,45023513886.000000
12M 2015,325313686454.000000,-126343960586.000000,198969725868.000000,-84855951899.000000,-20786352211.000000,-66915553829.000000,2845954141.000000,-84855951899.000000,114113773969.000000,-52845495035.000000,3840295797.000000,,-29700388312.000000,-29700388312.000000,-20211367450.000000,,,,-6774035070.000000,-52845495035.000000,61268278934.000000,,,,,61268278934.000000,,61268278934.000000,25174600.000000,61293453534.000000,61268278934.000000,59860788070.000000,1407490864.000000,61268278934.000000,61293453534.000000,59885865308.000000,1407588226.000000,61293453534.000000
12M 2016,330444925707.000000,-137709146845.000000,192735778862.000000,-78374313518.000000,-16059695283.000000,-69648777148.000000,7334158913.000000,-78374313518.000000,114361465344.000000,-47081471143.000000,4972276086.000000,,-37085279333.000000,-37085279333.000000,-14455777264.000000,19725345904.000000,-45174859.000000,,-20192861677.000000,-47081471143.000000,67279994201.000000,-1809815633.000000,-1809815633.000000,,-1809815633.000000,65470178568.000000,,65470178568.000000,285939629.000000,65756118197.000000,65470178568.000000,65377610761.000000,92567807.000000,65470178568.000000,65756118197.000000,65666586685.000000,89531512.000000,65756118197.000000
12M 2017,396684909930.000000,-126525502873.000000,270159407057.000000,-82187076605.000000,-20437319733.000000,-74768453503.000000,13018696631.000000,-82187076605.000000,187972330452.000000,-81760447940.000000,5389635028.000000,,-27282783449.000000,-27282783449.000000,-15082279126.000000,,-131968143.000000,,-44653052250.000000,-81760447940.000000,106211882512.000000,,,,,106211882512.000000,,106211882512.000000,-573318090.000000,105638564422.000000,106211882512.000000,105283741930.000000,928140582.000000,106211882512.000000,105638564422.000000,104710711771.000000,927852651.000000,105638564422.000000
12M 2018,227645690310.000000,-125717387744.000000,101928302566.000000,-38651587853.000000,-17202361567.000000,-76238283437.000000,54789057151.000000,-38651587853.000000,63276714713.000000,-47181705093.000000,1018607695.000000,,-23333179484.000000,-23333179484.000000,-10379779967.000000,,-131189747.000000,,-14356163590.000000,-47181705093.000000,16095009620.000000,,,,,16095009620.000000,,16095009620.000000,1565975595.000000,17660985215.000000,16095009620.000000,15943111996.000000,151897624.000000,16095009620.000000,17660985215.000000,17507541031.000000,153444184.000000,17660985215.000000
