Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,119.15,0.00,117.99,148 B,26 B,174 B,158 B,19 B
12M 2010,0.00,128.95,0.00,128.11,179 B,34 B,213 B,183 B,12 B
12M 2011,1.02,157.47,1.02,156.84,247 B,21 B,269 B,84 B,174 B
12M 2012,0.93,151.31,0.93,150.68,158 B,62 B,220 B,104 B,198 B
12M 2013,0.69,161.36,0.69,160.73,61 B,85 B,145 B,66 B,244 B
12M 2014,0.78,174.74,0.79,174.11,83 B,176 B,259 B,110 B,243 B
12M 2015,0.75,191.32,0.76,190.69,95 B,152 B,246 B,119 B,185 B
12M 2016,0.68,204.54,0.69,202.34,106 B,305 B,410 B,255 B,380 B
12M 2017,1.11,233.80,1.12,231.63,178 B,657 B,835 B,650 B,828 B
12M 2018,1.06,239.02,1.07,236.90,127 B,792 B,919 B,860 B,985 B
12M 2019,0.98,229.41,0.99,227.31,29 B,976 B,"1,005 B",940 B,"1,133 B"
12M 2020,1.18,162.85,1.19,160.79,36 B,"1,000 B","1,036 B",986 B,964 B
12M 2021,0.33,503.00,0.33,500.97,28 B,995 B,"1,023 B",953 B,487 B
12M 2022,0.25,482.54,0.25,480.55,46 B,985 B,"1,031 B",966 B,407 B
12M 2023,0.29,402.81,0.29,400.83,15 B,"1,022 B","1,036 B",982 B,382 B
12M 2024,0.21,558.87,0.24,494.79,2 B,991 B,993 B,827 B,771 B
