Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Goodwill,Tanah Untuk Dikembangkan,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,16073439838.000000,71328172350.000000,70698172350.000000,630000000.000000,71328172350.000000,10427802598.000000,161764185063.000000,15239951724.000000,274833551573.000000,,31400387429.000000,2900633499.000000,181254056856.000000,28638641708.000000,9863527032.000000,,70959904422.000000,325017150946.000000,599850702519.000000,,,255402679207.000000,,147988675618.000000,,147988675618.000000,,14889771702.000000,,,14889771702.000000,8020071285.000000,26307137176.000000,5741617728.000000,52455405698.000000,255402679207.000000,29602430968.000000,26240061898.000000,,,,,,3362369070.000000,29602430968.000000,285005110175.000000,,250000000000.000000,,24518028719.000000,,,24518028719.000000,16969448179.000000,23358115446.000000,314845592344.000000,599850702519.000000,2500000000.000000
12M 2010,,,30280024157.000000,121999551686.000000,121489551686.000000,510000000.000000,121999551686.000000,401653817.000000,147187525803.000000,18149298492.000000,318018053955.000000,,50437828276.000000,2109551639.000000,191786225800.000000,33637615685.000000,14902948427.000000,,70314474800.000000,363188644627.000000,681206698582.000000,,,305736144672.000000,,178973528863.000000,,178973528863.000000,,31535826881.000000,,,31535826881.000000,6190306365.000000,43529296022.000000,5388987176.000000,40118199365.000000,305736144672.000000,36528282630.000000,33809137153.000000,,,,,,2719145477.000000,36528282630.000000,342264427302.000000,,250000000000.000000,,49023059831.000000,,,49023059831.000000,16561096002.000000,23358115446.000000,338942271279.000000,681206698581.000000,2500000000.000000
12M 2011,,,184748958187.000000,105106237000.000000,104716237000.000000,390000000.000000,105106237000.000000,245876411.000000,224806082461.000000,10940560177.000000,525847714236.000000,,55324868130.000000,2109551639.000000,220994856159.000000,34957153055.000000,13288287856.000000,,68105130478.000000,394779847317.000000,920627561553.000000,,,351708398912.000000,,247443496791.000000,,247443496791.000000,,17420684817.000000,,,17420684817.000000,10182603547.000000,43053558097.000000,3674913610.000000,29933142050.000000,351708398912.000000,25091083017.000000,21061821210.000000,,,,,,4029261807.000000,25091083017.000000,376799481929.000000,,335000000000.000000,117365904715.000000,51786066888.000000,,,51786066888.000000,16317992575.000000,23358115446.000000,543828079624.000000,920627561553.000000,3350000000.000000
12M 2012,,,116406948414.000000,124564723662.000000,122416261462.000000,2148462200.000000,124564723662.000000,204352243.000000,224789075673.000000,27248055766.000000,493213155758.000000,,58740516980.000000,2109551639.000000,214094086055.000000,32032829298.000000,11602567974.000000,,74586049174.000000,393165601120.000000,886378756878.000000,,,294856340269.000000,,157910948470.000000,,157910948470.000000,,,14897739540.000000,5435251827.000000,20332991367.000000,11711754382.000000,39866985943.000000,5172805086.000000,59860855021.000000,294856340269.000000,67583713306.000000,35648925259.000000,,,26666666667.000000,,26666666667.000000,5268121380.000000,67583713306.000000,362440053575.000000,,335000000000.000000,117365904715.000000,31152771035.000000,,,31152771035.000000,17061912107.000000,23358115446.000000,523938703303.000000,886378756878.000000,3350000000.000000
12M 2013,,,79393200081.000000,154497163795.000000,152516134644.000000,1981029151.000000,154497163795.000000,211924749.000000,259225715256.000000,39522333171.000000,532850337052.000000,,64598605765.000000,2109551639.000000,220932061415.000000,32898344344.000000,9897343263.000000,,75250706611.000000,405686613037.000000,938536950089.000000,,,289122314813.000000,,60651222223.000000,,60651222223.000000,,,26444006232.000000,4020864742.000000,30464870974.000000,17962478010.000000,44585362370.000000,4193408355.000000,131264972881.000000,289122314813.000000,91473455591.000000,38785448642.000000,,,45961971000.000000,,45961971000.000000,6726035949.000000,91473455591.000000,380595770404.000000,,335000000000.000000,140724020161.000000,64838544840.000000,,,64838544840.000000,17378614684.000000,,557941179685.000000,938536950089.000000,3350000000.000000
12M 2014,,,148761440369.000000,161827389771.000000,161687389771.000000,140000000.000000,161827389771.000000,1347050906.000000,303689037067.000000,19762426935.000000,635387345048.000000,,56625068329.000000,2109551639.000000,237292974535.000000,32824410261.000000,140477025607.000000,,74302315253.000000,543631345624.000000,1179018690672.000000,,,392140844427.000000,,82283453405.000000,675721585.000000,82959174990.000000,,,49904469472.000000,3689388120.000000,53593857592.000000,18350868480.000000,29094403571.000000,5352081340.000000,202790458454.000000,392140844427.000000,183913152674.000000,10225300460.000000,,,163744635358.000000,1601778415.000000,165346413773.000000,8341438441.000000,183913152674.000000,576053997101.000000,,335000000000.000000,140724020161.000000,109640456451.000000,,,109640456451.000000,17600216959.000000,,602964693571.000000,1179018690672.000000,3350000000.000000
12M 2015,,,127054477065.000000,107962730713.000000,107499823968.000000,462906745.000000,107962730713.000000,741518995.000000,313170959674.000000,9399386361.000000,558329072808.000000,,71470134718.000000,2109551639.000000,252513908650.000000,31473909924.000000,202417470879.000000,,77726921163.000000,637711896973.000000,1196040969781.000000,,,373768632656.000000,,93196197516.000000,1305600276.000000,94501797792.000000,,,48972263807.000000,10012401737.000000,58984665544.000000,17860570832.000000,30043397476.000000,6344372244.000000,166033828768.000000,373768632656.000000,162338220709.000000,41108210.000000,,,150207046913.000000,1509007760.000000,151716054673.000000,10581057826.000000,162338220709.000000,536106853365.000000,,335000000000.000000,140724020161.000000,165185529891.000000,,165185529891.000000,165185529891.000000,19024566365.000000,,659934116417.000000,1196040969782.000000,3350000000.000000
12M 2016,,,155448589979.000000,150518526313.000000,146196411271.000000,4322115042.000000,150518526313.000000,1120811842.000000,400078634161.000000,31918988805.000000,739085551100.000000,,319691475461.000000,7383119594.000000,2109551639.000000,28901931808.000000,190844268970.000000,,75625763085.000000,624556110557.000000,1363641661657.000000,,,358671663722.000000,,62487139775.000000,1360659811.000000,63847799586.000000,41745000000.000000,,77404061408.000000,1206996738.000000,78611058146.000000,21506888092.000000,21211525799.000000,6361621757.000000,125387770342.000000,358671663722.000000,316977995199.000000,,,,304563170983.000000,147913232.000000,304711084215.000000,12266910984.000000,316977995199.000000,675649658921.000000,,335000000000.000000,126054412723.000000,224152116576.000000,,,224152116576.000000,2785473437.000000,,687992002736.000000,1363641661657.000000,3350000000.000000
12M 2017,,,184744378109.000000,165957342084.000000,162903133787.000000,3054208297.000000,165957342084.000000,12621721812.000000,815841437508.000000,60124611337.000000,1239289490850.000000,,351255171100.000000,7251151451.000000,2109551639.000000,32494541874.000000,157231605945.000000,,78992210947.000000,629334232956.000000,1868623723806.000000,,,410834297149.000000,,178038707721.000000,148348185.000000,178187055906.000000,,,68966520994.000000,3559317537.000000,72525838531.000000,32240501448.000000,20146069811.000000,5192859011.000000,102541972442.000000,410834297149.000000,670858859499.000000,,,,656851943262.000000,,656851943262.000000,14006916237.000000,670858859499.000000,1081693156648.000000,,335000000000.000000,126054412723.000000,322162828347.000000,,322162828347.000000,322162828347.000000,3713326088.000000,,786930567158.000000,1868623723806.000000,3350000000.000000
12M 2018,,,59060202817.000000,151782586850.000000,149199692593.000000,2582894257.000000,151782586850.000000,48715326315.000000,1148525164132.000000,60922904161.000000,1469006184275.000000,,358806197744.000000,7119961704.000000,2109551639.000000,25454811279.000000,188069000363.000000,,46048553148.000000,627608075877.000000,2096614260152.000000,,,484290316125.000000,,127001950346.000000,,127001950346.000000,,,188898195051.000000,2637446534.000000,191535641585.000000,24358105275.000000,19704322019.000000,7170639684.000000,114519657216.000000,484290316125.000000,807732391654.000000,36077749574.000000,,,756409156807.000000,,756409156807.000000,15245485273.000000,807732391654.000000,1292022707779.000000,,335000000000.000000,126054412723.000000,339670369378.000000,,339670369378.000000,339670369378.000000,3866770272.000000,,804591552373.000000,2096614260152.000000,3350000000.000000
