Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,136605548898.000000,-113059294080.000000,23546254818.000000,-13098157816.000000,-13098157816.000000,-13098157816.000000,10448097002.000000,-1095008246.000000,,-5764540448.000000,-1095008246.000000,3588548308.000000,-747625951.000000,-1493369750.000000,745743799.000000,-747625951.000000,2840922357.000000,208044750.000000,3048967107.000000,2840922357.000000,2840922357.000000,,2840922357.000000,3048967107.000000,3048967107.000000,,3048967107.000000
12M 2019,130073783822.000000,-107210265510.000000,22863518312.000000,-12745130367.000000,-12745130367.000000,-12745130367.000000,10118387945.000000,-468711902.000000,,-5353178230.000000,-468711902.000000,4296497813.000000,-704500506.000000,-1360061429.000000,655560923.000000,-704500506.000000,3591997307.000000,-476332500.000000,3115664807.000000,3591997307.000000,3591997307.000000,,3591997307.000000,3115664807.000000,3115664807.000000,,3115664807.000000
12M 2020,131083725843.000000,-103548857333.000000,27534868510.000000,-14412678637.000000,-14412678637.000000,-14412678637.000000,13122189873.000000,-889794016.000000,,-5170350378.000000,-889794016.000000,7062045479.000000,-1311291112.000000,-1721330586.000000,410039474.000000,-1311291112.000000,5750754367.000000,-140789250.000000,5609965117.000000,5750754367.000000,5750754367.000000,,5750754367.000000,5609965117.000000,5609965117.000000,,5609965117.000000
12M 2021,139351624614.000000,-106474629556.000000,32876995058.000000,-18236048671.000000,-18236048671.000000,-18236048671.000000,14640946387.000000,-2763587701.000000,,-4085952802.000000,-2763587701.000000,7791405884.000000,-1612765149.000000,-1723015810.000000,110250661.000000,-1612765149.000000,6178640735.000000,10271080581.000000,16449721316.000000,6178640735.000000,6178640735.000000,,6178640735.000000,16449721316.000000,16449721316.000000,,16449721316.000000
12M 2022,153828140683.000000,-111971574933.000000,41856565750.000000,-26349298302.000000,-26349298302.000000,-26349298302.000000,15507267448.000000,-4601446268.000000,-4578757966.000000,-22688302.000000,-4601446268.000000,10905821180.000000,-3040883413.000000,-3219548640.000000,178665227.000000,-3040883413.000000,7864937767.000000,2507451884.000000,10372389651.000000,7864937767.000000,7864937767.000000,,7864937767.000000,10372389651.000000,10372389651.000000,,10372389651.000000
12M 2023,161660709008.000000,-114659778544.000000,47000930464.000000,-28477329416.000000,-28477329416.000000,-28477329416.000000,18523601048.000000,-5978354737.000000,-5952415619.000000,-25939118.000000,-5978354737.000000,12545246311.000000,-3039322964.000000,-3258678980.000000,219356016.000000,-3039322964.000000,9505923347.000000,-134411690.000000,9371511657.000000,9505923347.000000,9505923347.000000,,9505923347.000000,9371511657.000000,9371511657.000000,,9371511657.000000
12M 2024,184692659345.000000,-130468011161.000000,54224648184.000000,-34083731609.000000,-34083731609.000000,-34083731609.000000,20140916575.000000,-5966700158.000000,-6593816036.000000,627115878.000000,-5966700158.000000,14174216417.000000,-2873468582.000000,-3271176990.000000,397708408.000000,-2873468582.000000,11300747835.000000,292024016.000000,11592771851.000000,11300747835.000000,11300747835.000000,,11300747835.000000,11592771851.000000,11592771851.000000,,11592771851.000000
