Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2018,0.01 B,225.47,0.00,0.00,12.73 B,1.40%,6.71%,16.41%,
12M 2019,0.01 B,285.08,0.00,0.00,12.44 B,1.80%,7.91%,7.95%,
12M 2020,0.01 B,456.41,0.00,0.00,15.66 B,2.79%,11.27%,10.24%,
12M 2021,1.29 B,4.78,15.06,0.67,18.52 B,2.35%,4.41%,9.68%,
12M 2022,1.29 B,6.08,9.05,0.46,20.12 B,2.92%,5.27%,8.77%,3.39
12M 2023,1.29 B,7.35,6.80,0.40,23.33 B,3.60%,6.08%,10.18%,3.11
12M 2024,1.29 B,8.74,5.95,0.36,25.22 B,4.06%,6.94%,10.74%,3.05
