Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Bersih Ventura Bersama,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan (Rugi) Atas Transaksi Derivatif,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1171594487534.000000,-879518393587.000000,292076093947.000000,-60649403090.000000,-60649403090.000000,,,,-60649403090.000000,231426690857.000000,-65989046292.000000,-4614922195.000000,566873546.000000,-47241518348.000000,364889424.000000,-3291649189.000000,,,-11772719530.000000,-65989046292.000000,165437644565.000000,-10229693523.000000,155207951042.000000,-17287155.000000,155190663887.000000,,155190663887.000000,155190663887.000000,155207951042.000000,-17287155.000000,155190663887.000000,155190663887.000000,155190663887.000000,,155190663887.000000
12M 2009,988305539726.000000,-966650974948.000000,21654564778.000000,-58405695199.000000,-58405695199.000000,,,,-58405695199.000000,-36751130421.000000,-134127448208.000000,24160741410.000000,358087536.000000,-90159096214.000000,-22325943950.000000,-30489295839.000000,,,-15671941151.000000,-134127448208.000000,-170878578629.000000,-8098703191.000000,-178977281820.000000,27179132.000000,-178950102688.000000,,-178950102688.000000,-178950102688.000000,-178977281820.000000,27179132.000000,-178950102688.000000,-178950102688.000000,-178950102688.000000,,-178950102688.000000
12M 2010,967639922790.000000,-944643499230.000000,22996423560.000000,-60721014125.000000,-60721014125.000000,,,,-60721014125.000000,-37724590565.000000,-56981479624.000000,,,,,,,,-56981479624.000000,-56981479624.000000,-94706070189.000000,-19788428409.000000,-114494498598.000000,37090090.000000,-114457408508.000000,,-114457408508.000000,-114457408508.000000,-114494498598.000000,37090090.000000,-114457408508.000000,-114457408508.000000,-114457408508.000000,,-114457408508.000000
12M 2011,958477218198.000000,-749371576751.000000,209105641447.000000,-57766375660.000000,-67679448558.000000,,,9913072898.000000,-57766375660.000000,151339265787.000000,-112216418470.000000,6274686859.000000,1616614452.000000,-75932265243.000000,-44175454538.000000,,,,,-112216418470.000000,39122847317.000000,-12505709263.000000,26617138054.000000,,26617138054.000000,7367767241.000000,33984905295.000000,26617138054.000000,26598468101.000000,18669953.000000,26617138054.000000,33984905295.000000,33966235342.000000,18669953.000000,33984905295.000000
12M 2012,1086245875616.000000,-890028158886.000000,196217716730.000000,-72049298073.000000,-73824040454.000000,,,1774742381.000000,-72049298073.000000,124168418657.000000,16531146419.000000,14918894991.000000,308777579.000000,-64084359134.000000,65387832983.000000,,,,,16531146419.000000,140699565076.000000,-20712459083.000000,119987105993.000000,,119987105993.000000,-14210803695.000000,105776302298.000000,119987105993.000000,119713517541.000000,273588452.000000,119987105993.000000,105776302298.000000,105502713846.000000,273588452.000000,105776302298.000000
12M 2013,1383575094686.000000,-1183162884839.000000,200412209847.000000,-64758578109.000000,-74618523500.000000,,,9859945391.000000,-64758578109.000000,135653631738.000000,-43731641616.000000,31550348550.000000,478406585.000000,-89408917103.000000,13648520352.000000,,,,,-43731641616.000000,91921990122.000000,-21102461372.000000,70819528750.000000,,70819528750.000000,-71476961336.000000,-657432586.000000,70819528750.000000,70447255406.000000,372273344.000000,70819528750.000000,-657432586.000000,-1029705930.000000,372273344.000000,-657432586.000000
12M 2014,1687392837593.000000,-1299539089112.000000,387853748481.000000,-63655373663.000000,-72282770244.000000,,,8627396581.000000,-63655373663.000000,324198374818.000000,-87895150191.000000,2218431247.000000,425097882.000000,-89338640854.000000,-1200038466.000000,,,,,-87895150191.000000,236303224627.000000,-33061395697.000000,203241828930.000000,,203241828930.000000,-7605722669.000000,195636106261.000000,203241828930.000000,202695815364.000000,546013566.000000,203241828930.000000,195636106261.000000,195090092695.000000,546013566.000000,195636106261.000000
12M 2015,1621364339240.000000,-1167670831130.000000,453693508110.000000,-58723902459.000000,-96626647995.000000,,,37902745536.000000,-58723902459.000000,394969605651.000000,-77328984797.000000,-20635915370.000000,1187825640.000000,-70672637820.000000,24009312881.000000,,-10980005000.000000,,-237565128.000000,-77328984797.000000,317640620854.000000,-466485613.000000,317174135241.000000,,317174135241.000000,-15750265241.000000,301423870000.000000,317174135241.000000,316970250888.000000,203884353.000000,317174135241.000000,301423870000.000000,301219985647.000000,203884353.000000,301423870000.000000
12M 2016,1671905016010.000000,-1227850405646.000000,444054610364.000000,-142879799585.000000,-110080441402.000000,,,-32799358183.000000,-142879799585.000000,301174810779.000000,-69078174731.000000,9057492012.000000,1132880343.000000,-91100348680.000000,2672501813.000000,,,,9159299781.000000,-69078174731.000000,232096636048.000000,-575487360.000000,231521148688.000000,,231521148688.000000,-3863575586.000000,227657573102.000000,231521148688.000000,231308338708.000000,212809980.000000,231521148688.000000,227657573102.000000,227447860430.000000,209712672.000000,227657573102.000000
12M 2017,2000911017962.000000,-1729129837657.000000,271781180305.000000,-119290786604.000000,-117577910444.000000,,,-1712876160.000000,-119290786604.000000,152490393701.000000,-149577508008.000000,415691976.000000,614258490.000000,-145568282324.000000,2185078602.000000,,,-16395400047.000000,9171145295.000000,-149577508008.000000,2912885693.000000,50445401665.000000,53358287358.000000,,53358287358.000000,-1706184574.000000,51652102784.000000,53358287358.000000,53048927769.000000,309359589.000000,53358287358.000000,51652102784.000000,51355592345.000000,296510439.000000,51652102784.000000
