Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Utang Transaksi Syariah,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Utang Transaksi Syariah,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,57660488724.000000,115360981434.000000,114981299024.000000,379682410.000000,115360981434.000000,12454780384.000000,,,12454780384.000000,,15056263056.000000,200532513598.000000,,10995926786.000000,887270092267.000000,193220648944.000000,1091486667997.000000,1292019181595.000000,,,374827230399.000000,91170407885.000000,,67932941330.000000,14388007181.000000,82320948511.000000,,973940.000000,,973940.000000,1827063911.000000,3741169088.000000,9825051259.000000,,,101895383264.000000,,48979635853.000000,33533117633.000000,,,184408136750.000000,1533479055.000000,374827230399.000000,422639657724.000000,,,,271511724580.000000,,136243830945.000000,4791988550.000000,,,412547544075.000000,,10092113649.000000,422639657724.000000,797466888123.000000,,142628750000.000000,140187465785.000000,214261482438.000000,5000000000.000000,209261482438.000000,214261482438.000000,121368633.000000,-2646773384.000000,494552293472.000000,1292019181595.000000,1141030000.000000
12M 2009,,,13444982084.000000,140512457416.000000,140475395963.000000,37061453.000000,140512457416.000000,2543743918.000000,,,2543743918.000000,27690871051.000000,12721297399.000000,196913351868.000000,,12645851422.000000,1297418698436.000000,101998016409.000000,1412062566267.000000,1608975918135.000000,,,574327174700.000000,95208694301.000000,,155461187001.000000,59138353939.000000,214599540940.000000,,31310697000.000000,,31310697000.000000,14562586031.000000,7453184024.000000,26050837298.000000,,,93635577749.000000,,65506721566.000000,19544316802.000000,598472301.000000,,179285088418.000000,5856546688.000000,574327174700.000000,705647865205.000000,2500000000.000000,,,540383675607.000000,,124228425351.000000,26691864524.000000,783450583.000000,,692087416065.000000,,11060449140.000000,705647865205.000000,1279975039905.000000,,142628750000.000000,140187465785.000000,35311379750.000000,6000000000.000000,29311379750.000000,35311379750.000000,94189501.000000,10779093194.000000,329000878230.000000,1608975918135.000000,1141030000.000000
12M 2010,,,7019313499.000000,132098210477.000000,131968025177.000000,130185300.000000,132098210477.000000,2031809120.000000,,,2031809120.000000,18687018800.000000,42185484793.000000,202021836689.000000,,3077569542.000000,1062427687738.000000,20186926354.000000,1085692183634.000000,1287714020323.000000,,,420647145431.000000,75896905475.000000,,88877633859.000000,78099981217.000000,166977615076.000000,52826041385.000000,,,52826041385.000000,6825952594.000000,1562841805.000000,24917348739.000000,,,37978830671.000000,,43632803793.000000,,1099347572.000000,,82710982036.000000,8929458321.000000,420647145431.000000,647722254240.000000,,,,485509002194.000000,,150335392320.000000,,466949979.000000,,636311344493.000000,,11410909747.000000,647722254240.000000,1068369399671.000000,,142628750000.000000,140187465785.000000,-79146028758.000000,6000000000.000000,-85146028758.000000,-79146028758.000000,57099411.000000,15617334214.000000,219344620652.000000,1287714020323.000000,1141030000.000000
12M 2011,,,33538421925.000000,100204558643.000000,100203801143.000000,757500.000000,100204558643.000000,14732044316.000000,,,14732044316.000000,25269370785.000000,11388841458.000000,185133237127.000000,,3193166356.000000,807273023627.000000,4199592429.000000,814665782412.000000,999799019539.000000,,,333875123242.000000,60471147319.000000,,53211422545.000000,42170043113.000000,95381465658.000000,196148436.000000,,,196148436.000000,6878172331.000000,4922694519.000000,25130743896.000000,,,88320026506.000000,,44029400431.000000,5582127641.000000,466949924.000000,,138398504502.000000,2496246581.000000,333875123242.000000,422796121035.000000,,,,317459016446.000000,,64266927280.000000,27721375981.000000,,,409447319707.000000,,13348801328.000000,422796121035.000000,756671244277.000000,,142628750000.000000,140187465785.000000,-52547560657.000000,6000000000.000000,-58547560657.000000,-52547560657.000000,75769364.000000,12783350770.000000,243127775262.000000,999799019539.000000,1141030000.000000
12M 2012,,,43333108689.000000,121644698242.000000,121644698242.000000,,121644698242.000000,11997565462.000000,,,11997565462.000000,31563184223.000000,14216726052.000000,222755282668.000000,,213663001.000000,1303842974827.000000,7044998051.000000,1311101635879.000000,1533856918547.000000,,,438384167795.000000,50375096552.000000,,113743393650.000000,778319999.000000,114521713649.000000,,121379000.000000,,121379000.000000,5605580294.000000,13303270334.000000,26799106029.000000,,36000000000.000000,114792241981.000000,8843866374.000000,39907462294.000000,11506393964.000000,581788173.000000,,211631752786.000000,16026269151.000000,438384167795.000000,746568673192.000000,,,87485664091.000000,452520209062.000000,32568729801.000000,37263198668.000000,120149056702.000000,971643666.000000,,730958501990.000000,,15610171202.000000,746568673192.000000,1184952840987.000000,,142628750000.000000,145603049314.000000,67165956884.000000,6000000000.000000,61165956884.000000,67165956884.000000,349357816.000000,-6843036454.000000,348904077560.000000,1533856918547.000000,1141030000.000000
12M 2013,,,53217306877.000000,167211119675.000000,167211119675.000000,,167211119675.000000,8755424941.000000,,,8755424941.000000,27757718323.000000,37167142201.000000,294108712017.000000,,173648468.000000,1353433891725.000000,22798299221.000000,1376405839414.000000,1670514551431.000000,,,567334563633.000000,81629017380.000000,,143574112568.000000,,143574112568.000000,,4416885930.000000,,4416885930.000000,6190251165.000000,2778906397.000000,33780176152.000000,,,190992276901.000000,12182333226.000000,63637984823.000000,18989472340.000000,633801021.000000,,286435868311.000000,8529345730.000000,567334563633.000000,766925568124.000000,,,151067044934.000000,358603228100.000000,28870433056.000000,109923950447.000000,101309561381.000000,337842645.000000,,750112060563.000000,133767680.000000,16679739881.000000,766925568124.000000,1334260131757.000000,,142628750000.000000,145603049314.000000,125620986990.000000,6000000000.000000,119620986990.000000,125620986990.000000,721631160.000000,-78319997790.000000,336254419674.000000,1670514551431.000000,1141030000.000000
12M 2014,,,42880582983.000000,184332946854.000000,178668766521.000000,5664180333.000000,184332946854.000000,13645087392.000000,,,13645087392.000000,26727640249.000000,37083019216.000000,304669276694.000000,,529619342.000000,1295364220988.000000,26331405549.000000,1322225245879.000000,1626894522573.000000,,,615621554666.000000,129295823910.000000,,95923310424.000000,699975754.000000,96623286178.000000,,37388748738.000000,,37388748738.000000,6277215111.000000,9161427822.000000,34475788935.000000,,35409979280.000000,187866007530.000000,16991032608.000000,34231494278.000000,22883968465.000000,958560269.000000,,298341042430.000000,4058221542.000000,615621554666.000000,479382441972.000000,,,55889074852.000000,208664702904.000000,32683818702.000000,78570325896.000000,78588068021.000000,1034832033.000000,,455430822408.000000,4271441311.000000,19680178253.000000,479382441972.000000,1095003996638.000000,,142628750000.000000,145603049314.000000,328316802354.000000,34823179931.000000,293493622423.000000,328316802354.000000,1267644726.000000,-85925720459.000000,531890525935.000000,1626894522573.000000,1141030000.000000
12M 2015,,,24430338156.000000,175166835210.000000,172707435021.000000,2459400189.000000,175166835210.000000,6648655466.000000,,,6648655466.000000,22908822963.000000,41997610530.000000,271152262325.000000,,25162538201.000000,1458799630538.000000,26946444125.000000,1510908612864.000000,1782060875189.000000,,,463425983891.000000,85800000000.000000,,92529990088.000000,2775754.000000,92532765842.000000,,535819094.000000,,535819094.000000,10270705550.000000,5146554379.000000,,,59318500000.000000,96691360000.000000,40104345778.000000,29478963609.000000,41577064994.000000,634716849.000000,,267804951230.000000,1335187796.000000,463425983891.000000,503969130496.000000,,,,225251417537.000000,89889965431.000000,56754721961.000000,105486009783.000000,481598738.000000,,477863713450.000000,4908909117.000000,21196507929.000000,503969130496.000000,967395114387.000000,,142628750000.000000,145603049314.000000,624756370530.000000,34823179931.000000,589933190599.000000,624756370530.000000,1166475743.000000,-99488884785.000000,814665760802.000000,1782060875189.000000,1141030000.000000
12M 2016,,,32967646232.000000,136554197727.000000,134699876942.000000,1854320785.000000,136554197727.000000,3446847962.000000,,,3446847962.000000,47074615432.000000,55605019255.000000,275648326608.000000,,60576695129.000000,2166137439420.000000,23299878632.000000,2250014013181.000000,2525662339789.000000,,,652010180636.000000,156500000000.000000,,106706790609.000000,1500700727.000000,108207491336.000000,,161574813.000000,,161574813.000000,10204874599.000000,7683968483.000000,,,44000000000.000000,183798741082.000000,47391160528.000000,30616151773.000000,55114084724.000000,455424156.000000,,361375562263.000000,7876709142.000000,652010180636.000000,878976442916.000000,,,,508771617719.000000,127739101322.000000,25639434326.000000,186740521508.000000,,,848890674875.000000,4991977635.000000,25093790406.000000,878976442916.000000,1530986623552.000000,,142628750000.000000,145603049314.000000,808483758238.000000,34823179931.000000,773660578307.000000,808483758238.000000,1309521748.000000,-103349363063.000000,994675716237.000000,2525662339789.000000,1141030000.000000
12M 2017,,,16769071483.000000,218024614740.000000,213550625771.000000,4473988969.000000,218024614740.000000,6885835047.000000,3442360425.000000,3443474622.000000,6885835047.000000,86024578148.000000,87042041580.000000,414746140998.000000,,136919112540.000000,2342071193507.000000,24641767412.000000,2503632073459.000000,2918378214457.000000,,,818827483785.000000,159445865116.000000,,160988100303.000000,2388953978.000000,163377054281.000000,,44030958.000000,26620000.000000,70650958.000000,11633063966.000000,9789800825.000000,,,74250000000.000000,229843007871.000000,69299098205.000000,57089245627.000000,28310015646.000000,,,458791367349.000000,15719681290.000000,818827483785.000000,1076606410352.000000,,,,684856333669.000000,167492617322.000000,64999665702.000000,123652653902.000000,,,1041001270595.000000,4476847928.000000,31128291829.000000,1076606410352.000000,1895433894137.000000,,142628750000.000000,145603049314.000000,838381187307.000000,34823179931.000000,803558007376.000000,838381187307.000000,1085578417.000000,-104754244718.000000,1022944320320.000000,2918378214457.000000,1141030000.000000
