Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.51,433.32,0.51,433.32,285 B,413 B,698 B,640 B,(174 B)
12M 2009,0.73,288.25,0.73,288.25,301 B,692 B,993 B,979 B,(377 B)
12M 2010,0.96,192.18,0.96,192.18,184 B,636 B,820 B,813 B,(219 B)
12M 2011,0.94,213.01,0.94,213.01,224 B,409 B,633 B,600 B,(149 B)
12M 2012,1.21,305.47,1.21,305.47,289 B,731 B,"1,020 B",976 B,(216 B)
12M 2013,0.71,294.06,0.71,294.06,402 B,750 B,"1,152 B","1,099 B",(273 B)
12M 2014,4.76,465.04,4.76,465.04,462 B,455 B,918 B,875 B,(311 B)
12M 2015,2.74,712.95,2.74,712.95,354 B,478 B,831 B,807 B,(192 B)
12M 2016,2.01,870.59,2.01,870.59,518 B,849 B,"1,367 B","1,334 B",(376 B)
12M 2017,1.28,895.56,1.28,895.56,618 B,"1,041 B","1,659 B","1,642 B",(404 B)
12M 2018,0.85,935.98,0.85,935.98,649 B,779 B,"1,428 B","1,388 B",(545 B)
12M 2019,0.50,204.74,0.50,204.74,585 B,768 B,"1,354 B","1,314 B",(463 B)
12M 2020,0.65,211.48,0.65,211.48,394 B,943 B,"1,337 B","1,216 B",(493 B)
12M 2021,5.09,269.18,5.09,269.18,268 B,965 B,"1,233 B",551 B,141 B
12M 2022,5.08,382.65,5.08,382.65,279 B,783 B,"1,062 B",(228 B),770 B
12M 2023,3.54,44.01,3.54,44.01,257 B,584 B,841 B,(42 B),773 B
12M 2024,2.87,48.08,2.87,48.08,232 B,756 B,988 B,317 B,548 B
