Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2288143121000.000000,-1512477229000.000000,775665892000.000000,-161258073000.000000,-164209981000.000000,,,-164209981000.000000,-7630477000.000000,10582385000.000000,-161258073000.000000,614407819000.000000,17353986000.000000,42002249000.000000,-24465833000.000000,1671141000.000000,-1853571000.000000,17353986000.000000,631761805000.000000,-185793379000.000000,-182862039000.000000,-2931340000.000000,-185793379000.000000,445968426000.000000,-6452170000.000000,439516256000.000000,,,,,439516256000.000000,445968426000.000000,-6452170000.000000,439516256000.000000,,,,
12M 2009,1815557167000.000000,-1216130626000.000000,599426541000.000000,-182762241000.000000,-139389407000.000000,,,-139389407000.000000,-20277486000.000000,-23095348000.000000,-182762241000.000000,416664300000.000000,-7305926000.000000,23476461000.000000,-27899226000.000000,-1029590000.000000,-1853571000.000000,-7305926000.000000,409358374000.000000,-123134555000.000000,-121053273000.000000,-2081282000.000000,-123134555000.000000,286223819000.000000,-4457611000.000000,281766208000.000000,,,,,281766208000.000000,286223819000.000000,-4457611000.000000,281766208000.000000,,,,
12M 2010,2311748791000.000000,-1469117944000.000000,842630847000.000000,-194857456000.000000,-186845745000.000000,,,-186845745000.000000,1141069000.000000,-9152780000.000000,-194857456000.000000,647773391000.000000,-17295324000.000000,12539820000.000000,-28293970000.000000,484664000.000000,-2025838000.000000,-17295324000.000000,630478067000.000000,-173158867000.000000,-171602129000.000000,-1556738000.000000,-173158867000.000000,457319200000.000000,-5602389000.000000,451716811000.000000,,,,,451716811000.000000,457319200000.000000,-5602389000.000000,451716811000.000000,,,,
12M 2011,3142378850000.000000,-2081566055000.000000,1060812795000.000000,-312060865000.000000,,-146298074000.000000,-199512972000.000000,-345811046000.000000,,33750181000.000000,-312060865000.000000,748751930000.000000,-6276487000.000000,19797371000.000000,-26073858000.000000,,,-6276487000.000000,742475443000.000000,-192952836000.000000,,,-192952836000.000000,,,549522607000.000000,,,,549522607000.000000,549522607000.000000,540943434000.000000,8579173000.000000,549522607000.000000,549522607000.000000,540943434000.000000,8579173000.000000,549522607000.000000
12M 2012,2986236974000.000000,-2193271486000.000000,792965488000.000000,-306367764000.000000,-320618671000.000000,,,-320618671000.000000,,14250907000.000000,-306367764000.000000,486597724000.000000,-29354601000.000000,7376164000.000000,-36730765000.000000,,,-29354601000.000000,457243123000.000000,-120954151000.000000,,,-120954151000.000000,,,336288972000.000000,,,,336288972000.000000,336288972000.000000,329201089000.000000,7087883000.000000,336288972000.000000,336288972000.000000,329201089000.000000,7087883000.000000,336288972000.000000
12M 2013,2560705943000.000000,-2062598256000.000000,498107687000.000000,-261823548000.000000,,-91658373000.000000,-205702282000.000000,-297360655000.000000,,35537107000.000000,-261823548000.000000,236284139000.000000,-62468665000.000000,2038503000.000000,-64507168000.000000,,,-62468665000.000000,173815474000.000000,-53434994000.000000,,,-53434994000.000000,,,120380480000.000000,,,,120380480000.000000,120380480000.000000,119124354000.000000,1256126000.000000,120380480000.000000,120380480000.000000,119124354000.000000,1256126000.000000,120380480000.000000
12M 2014,3242381541000.000000,-2373804791000.000000,868576750000.000000,-295805851000.000000,,-91842089000.000000,-234494900000.000000,-326336989000.000000,,30531138000.000000,-295805851000.000000,572770899000.000000,-62409944000.000000,2547034000.000000,-64956978000.000000,,,-62409944000.000000,510360955000.000000,-160258888000.000000,,,-160258888000.000000,,,350102067000.000000,,,,350102067000.000000,350102067000.000000,340322732000.000000,9779335000.000000,350102067000.000000,350102067000.000000,340322732000.000000,9779335000.000000,350102067000.000000
12M 2015,2999448452000.000000,-2165884281000.000000,833564171000.000000,-325001688000.000000,,-102131726000.000000,-264266395000.000000,-366398121000.000000,,41396433000.000000,-325001688000.000000,508562483000.000000,-112408042000.000000,-132135980000.000000,19727938000.000000,,,-112408042000.000000,396154441000.000000,-140262318000.000000,,,-140262318000.000000,,,255892123000.000000,33144048000.000000,33144048000.000000,33144048000.000000,289036171000.000000,255892123000.000000,247569071000.000000,8323052000.000000,255892123000.000000,289036171000.000000,279880024000.000000,9156147000.000000,289036171000.000000
12M 2016,2915224840000.000000,-2274535127000.000000,640689713000.000000,-193526343000.000000,,-90462228000.000000,-270215761000.000000,-360677989000.000000,,167151646000.000000,-193526343000.000000,447163370000.000000,-180339731000.000000,-227298679000.000000,46958948000.000000,,,-180339731000.000000,266823639000.000000,192532480000.000000,,,192532480000.000000,,,459356119000.000000,-10007371000.000000,-10007371000.000000,-10007371000.000000,449348748000.000000,459356119000.000000,441876744000.000000,17479375000.000000,459356119000.000000,449348748000.000000,431622175000.000000,17726573000.000000,449348748000.000000
12M 2017,3616482911000.000000,-2654369117000.000000,962113794000.000000,-310526518000.000000,,-78853308000.000000,-252669766000.000000,-331523074000.000000,,20996556000.000000,-310526518000.000000,651587276000.000000,-170256333000.000000,-193986519000.000000,23730186000.000000,,,-170256333000.000000,481330943000.000000,-178304153000.000000,,,-178304153000.000000,,,303026790000.000000,5747364000.000000,5747364000.000000,5747364000.000000,308774154000.000000,303026790000.000000,287660825000.000000,15365965000.000000,303026790000.000000,308774154000.000000,293161299000.000000,15612855000.000000,308774154000.000000
