Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Aset Tak Berwujud,Goodwill,Pembibitan,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Sukuk Ijarah,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Sukuk Ijarah,Liabilitas Keuangan Lainnya,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,642678093000.000000,,,642678093000.000000,3169453000.000000,27465021000.000000,20780912000.000000,6684109000.000000,27465021000.000000,120305891000.000000,10010239000.000000,803628697000.000000,,734368709000.000000,477704536000.000000,256664173000.000000,734368709000.000000,485896360000.000000,,5560715000.000000,28202152000.000000,6434043000.000000,92073337000.000000,1352535316000.000000,2156164013000.000000,,,354044207000.000000,,202137810000.000000,,6187600000.000000,,6187600000.000000,107260520000.000000,16527433000.000000,,,,2108333000.000000,,,2108333000.000000,19822511000.000000,354044207000.000000,223944244000.000000,214891667000.000000,,,,,1043329000.000000,8009248000.000000,223944244000.000000,577988451000.000000,,378000000000.000000,931582638000.000000,594279702000.000000,13994710000.000000,580284992000.000000,594279702000.000000,25211910000.000000,-350898688000.000000,1578175562000.000000,2156164013000.000000,1814432500.000000
12M 2009,,,387316222000.000000,,,387316222000.000000,16202785000.000000,68127701000.000000,13943546000.000000,54184155000.000000,68127701000.000000,135859266000.000000,8035765000.000000,615541739000.000000,,806462269000.000000,450611542000.000000,355850727000.000000,806462269000.000000,590903118000.000000,,3707240000.000000,18934880000.000000,9292220000.000000,216956773000.000000,1646256500000.000000,2261798239000.000000,,,235648479000.000000,,109923475000.000000,,10635843000.000000,,10635843000.000000,38820273000.000000,18449518000.000000,,,,25000000000.000000,,,25000000000.000000,32819370000.000000,235648479000.000000,239318606000.000000,219000000000.000000,,,,,5982788000.000000,14335818000.000000,239318606000.000000,474967085000.000000,,378000000000.000000,952757463000.000000,705945910000.000000,19994710000.000000,685951200000.000000,705945910000.000000,21250563000.000000,-271122782000.000000,1786831154000.000000,2261798239000.000000,1890000000.000000
12M 2010,,,529549815000.000000,,,529549815000.000000,62883745000.000000,33683391000.000000,13336854000.000000,20346537000.000000,33683391000.000000,226434069000.000000,15659421000.000000,868210441000.000000,,1005793701000.000000,478597960000.000000,527195741000.000000,1005793701000.000000,653245950000.000000,,2830165000.000000,8275036000.000000,12287533000.000000,325204280000.000000,2007636665000.000000,2875847106000.000000,,,458868755000.000000,107500000000.000000,186197993000.000000,,11735000000.000000,,11735000000.000000,70316508000.000000,25212433000.000000,,,,34214587000.000000,,,34214587000.000000,23692234000.000000,458868755000.000000,257712765000.000000,219782630000.000000,,,,,10534839000.000000,27395296000.000000,257712765000.000000,716581520000.000000,,378000000000.000000,952757463000.000000,1072612721000.000000,23994710000.000000,1048618011000.000000,1072612721000.000000,27018184000.000000,-271122782000.000000,2159265586000.000000,2875847106000.000000,1890000000.000000
12M 2011,,,348687990000.000000,,,348687990000.000000,4048265000.000000,48615691000.000000,13451072000.000000,35164619000.000000,48615691000.000000,333910510000.000000,47367093000.000000,782629549000.000000,,1169899326000.000000,505441033000.000000,664458293000.000000,1169899326000.000000,983776805000.000000,,2830165000.000000,42689696000.000000,18668549000.000000,410532159000.000000,2628396700000.000000,3411026249000.000000,,,492375212000.000000,22000000000.000000,243734128000.000000,,15100000000.000000,112105000.000000,15212105000.000000,51605567000.000000,32958298000.000000,,,,46658337000.000000,,,46658337000.000000,80206777000.000000,492375212000.000000,419140308000.000000,363321158000.000000,,,,,13129070000.000000,42690080000.000000,419140308000.000000,911515520000.000000,,378000000000.000000,952757463000.000000,1409436155000.000000,33994710000.000000,1375441445000.000000,1409436155000.000000,30439893000.000000,-271122782000.000000,2499510729000.000000,3411026249000.000000,1890000000.000000
12M 2012,,,228071484000.000000,,,228071484000.000000,112484849000.000000,68041323000.000000,14344053000.000000,53697270000.000000,68041323000.000000,364499917000.000000,45969214000.000000,819066787000.000000,,1407559370000.000000,771893173000.000000,635666197000.000000,1407559370000.000000,1338674946000.000000,103256627000.000000,,39180728000.000000,43430366000.000000,386531562000.000000,3318633599000.000000,4137700386000.000000,,,738873117000.000000,248000000000.000000,253221909000.000000,,16910000000.000000,3142515000.000000,20052515000.000000,52545339000.000000,13414314000.000000,,,,66427087000.000000,,,66427087000.000000,85211953000.000000,738873117000.000000,731918147000.000000,627076049000.000000,,,,,35277803000.000000,69564295000.000000,731918147000.000000,1470791264000.000000,,378000000000.000000,681230929000.000000,1573640244000.000000,43994710000.000000,1529645534000.000000,1573640244000.000000,33634197000.000000,403752000.000000,2666909122000.000000,4137700386000.000000,1890000000.000000
12M 2013,,,162758831000.000000,,,162758831000.000000,139129579000.000000,83575521000.000000,18080626000.000000,65494895000.000000,83575521000.000000,271784119000.000000,71087929000.000000,728335979000.000000,,1595790803000.000000,853040085000.000000,742750718000.000000,1595790803000.000000,1400910592000.000000,102104737000.000000,,64611393000.000000,75195771000.000000,545706250000.000000,3784319546000.000000,4512655525000.000000,,,693201890000.000000,204310829000.000000,257330369000.000000,,12400000000.000000,7716978000.000000,20116978000.000000,29360335000.000000,17004204000.000000,,,,101565797000.000000,,,101565797000.000000,63513378000.000000,693201890000.000000,1120816681000.000000,991476416000.000000,,,,,32093054000.000000,97247211000.000000,1120816681000.000000,1814018571000.000000,,378000000000.000000,681230929000.000000,1607714598000.000000,48994710000.000000,1558719888000.000000,1607714598000.000000,33082752000.000000,-1391325000.000000,2698636954000.000000,4512655525000.000000,1890000000.000000
12M 2014,,,194635118000.000000,22596349000.000000,172038769000.000000,194635118000.000000,90372701000.000000,117164464000.000000,18452949000.000000,98711515000.000000,117164464000.000000,297599665000.000000,84742755000.000000,784514703000.000000,,1968467546000.000000,1061464674000.000000,907002872000.000000,1968467546000.000000,1706165605000.000000,99407712000.000000,,68610816000.000000,98121096000.000000,741586887000.000000,4682359662000.000000,5466874365000.000000,,,978762779000.000000,322546279000.000000,331849555000.000000,,8500000000.000000,4327171000.000000,12827171000.000000,129587675000.000000,18681586000.000000,,,,60716679000.000000,,,60716679000.000000,102553834000.000000,978762779000.000000,1470770269000.000000,1307157075000.000000,,,,,30240784000.000000,133372410000.000000,1470770269000.000000,2449533048000.000000,,378000000000.000000,681230929000.000000,1919687330000.000000,53994710000.000000,1865692620000.000000,1919687330000.000000,39814383000.000000,-1391325000.000000,3017341317000.000000,5466874365000.000000,1890000000.000000
12M 2015,,,759564750000.000000,302977589000.000000,456587161000.000000,759564750000.000000,143011171000.000000,171718597000.000000,20462896000.000000,151255701000.000000,171718597000.000000,469442065000.000000,62290244000.000000,1606026827000.000000,,2369439170000.000000,1048630986000.000000,1320808184000.000000,2369439170000.000000,1909328520000.000000,98001896000.000000,,103882463000.000000,107118241000.000000,1100875504000.000000,5688645794000.000000,7294672621000.000000,,,1264557641000.000000,475924771000.000000,404815504000.000000,,9500000000.000000,10748538000.000000,20248538000.000000,78471171000.000000,25018153000.000000,,,,174462025000.000000,,,174462025000.000000,85617479000.000000,1264557641000.000000,2613329763000.000000,2122788472000.000000,,,,,32512037000.000000,458029254000.000000,2613329763000.000000,3877887404000.000000,,378000000000.000000,681230929000.000000,2124514643000.000000,63994710000.000000,2060519933000.000000,2124514643000.000000,298902802000.000000,-65863157000.000000,3416785217000.000000,7294672621000.000000,1890000000.000000
12M 2016,,,897018175000.000000,251802555000.000000,645215620000.000000,897018175000.000000,146130165000.000000,194637549000.000000,19930371000.000000,174707178000.000000,194637549000.000000,516667549000.000000,77022512000.000000,1831475950000.000000,,2385096058000.000000,1250283865000.000000,1134812193000.000000,2385096058000.000000,1867799941000.000000,96891148000.000000,,110610398000.000000,478985718000.000000,1557621124000.000000,6497004387000.000000,8328480337000.000000,,,1434698060000.000000,367522667000.000000,544756910000.000000,,11100000000.000000,7330197000.000000,18430197000.000000,71864723000.000000,21594523000.000000,,,,294784278000.000000,,,294784278000.000000,115744762000.000000,1434698060000.000000,3135058457000.000000,2577125546000.000000,,,,,355494901000.000000,202438010000.000000,3135058457000.000000,4569756517000.000000,,378000000000.000000,681230929000.000000,2510664187000.000000,68994710000.000000,2441669477000.000000,2510664187000.000000,309838451000.000000,-121009747000.000000,3758723820000.000000,8328480337000.000000,1890000000.000000
12M 2017,,,504481851000.000000,89853481000.000000,414628370000.000000,504481851000.000000,136111831000.000000,359579676000.000000,20096507000.000000,339483169000.000000,359579676000.000000,273059143000.000000,120821557000.000000,1394054058000.000000,,2555278577000.000000,1329629617000.000000,1225648960000.000000,2555278577000.000000,1948594873000.000000,95039544000.000000,,127785957000.000000,486512107000.000000,1677434251000.000000,6890645309000.000000,8284699367000.000000,,,1247463556000.000000,274947018000.000000,341740453000.000000,,,3823702000.000000,3823702000.000000,143591035000.000000,27899441000.000000,,,,382178946000.000000,,,382178946000.000000,73282961000.000000,1247463556000.000000,3032193077000.000000,2387727319000.000000,,,,,422924480000.000000,221541278000.000000,3032193077000.000000,4279656633000.000000,,378000000000.000000,681230929000.000000,2758343821000.000000,73994710000.000000,2684349111000.000000,2758343821000.000000,145321345000.000000,42146639000.000000,4005042734000.000000,8284699367000.000000,1890000000.000000
12M 2018,,,304116373000.000000,81746025000.000000,222370348000.000000,304116373000.000000,120383295000.000000,515601426000.000000,21480478000.000000,494120948000.000000,515601426000.000000,438143117000.000000,213442338000.000000,1591686549000.000000,,4455355625000.000000,1514450580000.000000,2940905045000.000000,4455355625000.000000,2121688781000.000000,93472860000.000000,,147950283000.000000,498843006000.000000,109847848000.000000,7427158403000.000000,9018844952000.000000,,,1732828695000.000000,600000000000.000000,399409559000.000000,,,4642558000.000000,4642558000.000000,67404356000.000000,28277569000.000000,,,,513935678000.000000,,,513935678000.000000,119158975000.000000,1732828695000.000000,3257166599000.000000,2548710505000.000000,,,,,482747298000.000000,225708796000.000000,3257166599000.000000,4989995294000.000000,,378000000000.000000,681230929000.000000,2782809224000.000000,78994710000.000000,2703814514000.000000,2782809224000.000000,126244324000.000000,60565181000.000000,4028849658000.000000,9018844952000.000000,1890000000.000000
12M 2019,,,167577293000.000000,1164775000.000000,166412518000.000000,167577293000.000000,130280763000.000000,525897961000.000000,20620132000.000000,505277829000.000000,525897961000.000000,338817741000.000000,297139418000.000000,1459713176000.000000,,4992680271000.000000,1690711093000.000000,3301969178000.000000,4992680271000.000000,2172057481000.000000,91579105000.000000,,166974855000.000000,478594460000.000000,105343425000.000000,8007229597000.000000,9466942773000.000000,,,2510980704000.000000,1115362633000.000000,538918289000.000000,,,56374458000.000000,56374458000.000000,45453765000.000000,25995375000.000000,,,,537229766000.000000,16199405000.000000,,553429171000.000000,175447013000.000000,2510980704000.000000,2803263816000.000000,2099425838000.000000,31321026000.000000,,,,431015475000.000000,241501477000.000000,2803263816000.000000,5314244520000.000000,,378000000000.000000,681230929000.000000,2834647900000.000000,83994710000.000000,2750653190000.000000,2834647900000.000000,188677884000.000000,70141540000.000000,4152698253000.000000,9466942773000.000000,1890000000.000000
12M 2020,,,249647000000.000000,641000000.000000,249006000000.000000,249647000000.000000,333216000000.000000,97710000000.000000,20923000000.000000,76787000000.000000,97710000000.000000,419284000000.000000,277857000000.000000,1377714000000.000000,,5314738000000.000000,2149499000000.000000,3165239000000.000000,5314738000000.000000,2007528000000.000000,90248000000.000000,,165806000000.000000,369597000000.000000,419049000000.000000,8366966000000.000000,9744680000000.000000,,,1887060000000.000000,532049000000.000000,480402000000.000000,,,59534000000.000000,59534000000.000000,106264000000.000000,26253000000.000000,,,,427716000000.000000,25942000000.000000,,453658000000.000000,228900000000.000000,1887060000000.000000,4061564000000.000000,2391113000000.000000,37385000000.000000,297924000000.000000,296541000000.000000,,15781000000.000000,1022820000000.000000,4061564000000.000000,5948624000000.000000,,378000000000.000000,681231000000.000000,2485425000000.000000,83995000000.000000,2401430000000.000000,2485425000000.000000,173777000000.000000,77623000000.000000,3796056000000.000000,9744680000000.000000,1890000000.000000
12M 2021,,,496313000000.000000,132808000000.000000,363505000000.000000,496313000000.000000,74838000000.000000,122964000000.000000,,122964000000.000000,122964000000.000000,456434000000.000000,246987000000.000000,1397536000000.000000,,5499779000000.000000,2187715000000.000000,3312064000000.000000,5499779000000.000000,1893959000000.000000,89052000000.000000,,169237000000.000000,264687000000.000000,437115000000.000000,8353829000000.000000,9751365000000.000000,,,1279741000000.000000,28538000000.000000,516886000000.000000,,,52382000000.000000,52382000000.000000,189889000000.000000,19036000000.000000,,,,279527000000.000000,26065000000.000000,,305592000000.000000,167418000000.000000,1279741000000.000000,3874925000000.000000,1684581000000.000000,23686000000.000000,469955000000.000000,692677000000.000000,,16875000000.000000,987151000000.000000,3874925000000.000000,5154666000000.000000,,378000000000.000000,681231000000.000000,3298307000000.000000,83995000000.000000,3214312000000.000000,3298307000000.000000,143930000000.000000,95231000000.000000,4596699000000.000000,9751365000000.000000,1890000000.000000
