Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan Beban Operasi Dan Lain-Lain,Pembayaran Pajak Penghasilan - Neto,Tagihan Pajak Penghasilan-Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dana Konversi Plasma Dari Bank,Penerimaan Pendapatan Bunga,Penambahan Tanaman Perkebunan Belum Menghasilkan,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Dari Penjualan Aset Tetap,Kenaikan Beban Tangguhan Hak Atas Tanah,Penurunan Uang Muka Aset Tetap,Pelepasan Entitas Anak Dikurangi Kas Bersih Yang Dilepas,Penambahan Hutan Tanaman Industri,Pembayaran Untuk Akuisisi Entitas Anak - Neto,Hasil Pelepasan Tanaman Perkebunan,Perolehan Pembibitan,Pembiayaan Pengembangan Kebun Plasma Dan Piutang Plasma,Uang Muka Penambahan Plasma,Penerimaan Pembayaran Uang Muka Plasma,Penerimaan Kredit Investasi Plasma Dari Bank,Pinjaman Kepada Pihak Ketiga Dan Uang Muka Investasi,Penambahan Uang Muka Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Utang Bank,Hasil Penjualan (Pembayaran Untuk) Modal Saham Yang Dibeli Kembali,Pencairan Simpanan Jaminan,Pembayaran Utang Bank,Perolehan Utang Obligasi Dan Sukuk Ijarah,Pembayaran Biaya Emisi Utang Obligasi Dan Sukuk Ijarah,Pembayaran Dividen Tunai,Pembayaran Dividen Tunai Entitas Anak Kepada Pemegang Saham Non-Pengendali,Pembayaran Dividen Tunai Oleh Entitas Anak Kepada Pemegang Saham Nonpengendali,Penambahan Simpanan Jaminan,Penerimaan Modal Saham Entitas Anak Dari Kepentingan Non-Pengendali,Pembayaran Beban Keuangan,Penerimaan Dana Dari Sewa Pembiayaan,Pembayaran Uang Muka Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Penurunan Saldo Utang Lain-Lain Dengan Pihak Berelasi,Penurunan Liabilitas Jangka Panjang,Pembayaran Utang Lain-Lain,Pembayaran Untuk Saham Treasury,Pemberian Pinjaman Ke Pihak Ketiga,Penurunan Saldo Antar Perusahaan,Penerimaan Pembayaran Pinjaman Dari Pihak Hubungan Istimewa,Penerimaan Atas Transaksi Jual Dan Sewa Kembali,Pengembalian Pinjaman Petani Plasma,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,634622388000.000000,2301235736000.000000,-1507164690000.000000,-159448658000.000000,,634622388000.000000,-240488839000.000000,27322101000.000000,41307634000.000000,-198099233000.000000,-108024938000.000000,,2541260000.000000,-2664412000.000000,,,,,,,,-3748131000.000000,876880000.000000,,,,-240488839000.000000,-210143689000.000000,,-78574275000.000000,5700000000.000000,,,,-277830000000.000000,-2968515000.000000,,,,-24092500000.000000,,,,,,,,,167621601000.000000,,,,-210143689000.000000,183989860000.000000,,458688233000.000000,642678093000.000000
12M 2009,184050588000.000000,2288106648000.000000,-1871889046000.000000,-232167014000.000000,,184050588000.000000,-379903668000.000000,1771791000.000000,25198501000.000000,-104280994000.000000,-158233304000.000000,,527627000.000000,-3015540000.000000,,,,,,,,-31168149000.000000,,,-110703600000.000000,,-379903668000.000000,-59508791000.000000,570000000000.000000,99749100000.000000,5262500000.000000,-543000000000.000000,,,-170100000000.000000,-3500000000.000000,,,11788000.000000,-29217788000.000000,,,,,,,,,11285609000.000000,,,,-59508791000.000000,-255361871000.000000,,642678093000.000000,387316222000.000000
12M 2010,531985195000.000000,2255940695000.000000,-1597322342000.000000,-126633158000.000000,,531985195000.000000,-396779429000.000000,21800000000.000000,11806188000.000000,-232353138000.000000,-127286507000.000000,,1108731000.000000,-5466416000.000000,,,-6111674000.000000,-11677000000.000000,,,,-48599613000.000000,,,,,-396779429000.000000,7027827000.000000,147000000000.000000,,-2180000000.000000,-25000000000.000000,,,-85050000000.000000,-4734767000.000000,,,4875500000.000000,-27882906000.000000,,,,,,,,,,,,,7027827000.000000,142233593000.000000,,387316222000.000000,529549815000.000000
12M 2011,718872330000.000000,3257728876000.000000,-2345547619000.000000,-193308927000.000000,,718872330000.000000,-724607124000.000000,11000000000.000000,20459959000.000000,-287593195000.000000,-401804425000.000000,,1064749000.000000,-2289662000.000000,,,-22154657000.000000,,,,,-15467845000.000000,,,,-27822048000.000000,-724607124000.000000,-175305460000.000000,212457975000.000000,,,-144000000000.000000,,,-204120000000.000000,-5157464000.000000,,-1100000000.000000,,-33385971000.000000,,,,,,,,,,,,,-175305460000.000000,-181040254000.000000,178429000.000000,529549815000.000000,348687990000.000000
12M 2012,355513832000.000000,2849923920000.000000,-2288362108000.000000,-206047980000.000000,,355513832000.000000,-760540327000.000000,56388812000.000000,5974646000.000000,-286967242000.000000,-434901937000.000000,,1527518000.000000,,,,-34914307000.000000,-51238498000.000000,,,,-15409319000.000000,,,,-1000000000.000000,-760540327000.000000,283014995000.000000,891504961000.000000,,,-382585482000.000000,,,-164997000000.000000,-3893579000.000000,,,,-57013905000.000000,,,,,,,,,,,,,283014995000.000000,-122011500000.000000,1394994000.000000,348687990000.000000,228071484000.000000
12M 2013,380927241000.000000,2505931445000.000000,-1990758822000.000000,-134245382000.000000,,380927241000.000000,-612044921000.000000,76318233000.000000,2129692000.000000,-250928362000.000000,-192077260000.000000,,583509000.000000,,,,-126126275000.000000,-6501446000.000000,,,,-115443012000.000000,,,,,-612044921000.000000,165466872000.000000,1566440326000.000000,,5285000000.000000,-1205952428000.000000,,,-85050000000.000000,-3602648000.000000,,,,-111653378000.000000,,,,,,,,,,,,,165466872000.000000,-65650808000.000000,338155000.000000,228071484000.000000,162758831000.000000
12M 2014,881548671000.000000,3327978008000.000000,-2378155493000.000000,-68273844000.000000,,881548671000.000000,-1055400127000.000000,21588571000.000000,2547034000.000000,-377256688000.000000,-448180888000.000000,-1876559000.000000,2437273000.000000,,,,-176137669000.000000,,,,,-78521201000.000000,,,,,-1055400127000.000000,205694048000.000000,2010143491000.000000,,,-1615029459000.000000,,,-28350000000.000000,-3047704000.000000,,,,-158022280000.000000,,,,,,,,,,,,,205694048000.000000,31842592000.000000,33695000.000000,162758831000.000000,194635118000.000000
12M 2015,382580828000.000000,2926254489000.000000,-2322819884000.000000,-220853777000.000000,,382580828000.000000,-1102991153000.000000,11387149000.000000,2721676000.000000,-404827862000.000000,-364117277000.000000,-2063735000.000000,119091000.000000,,1399606000.000000,,-213282208000.000000,-3500000000.000000,,,,-130827593000.000000,,,,,-1102991153000.000000,1285225274000.000000,3407401804000.000000,,,-2320493993000.000000,,,-68040000000.000000,-17152161000.000000,,,263307675000.000000,-249092179000.000000,,,,325109700000.000000,,,-55815572000.000000,,,,,,1285225274000.000000,564814949000.000000,114683000.000000,194635118000.000000,759564750000.000000
12M 2016,548338094000.000000,2939809428000.000000,-2197021418000.000000,-194449916000.000000,,548338094000.000000,-694633422000.000000,29682464000.000000,31671477000.000000,-303963921000.000000,-159387861000.000000,-2310055000.000000,2146000000.000000,,220876000.000000,136489840000.000000,-254310263000.000000,-36897634000.000000,4329000000.000000,,,-142303345000.000000,,,,,-694633422000.000000,283816208000.000000,2709717523000.000000,,,-2244555581000.000000,,,-45465550000.000000,-6798231000.000000,,,,-351994421000.000000,,,,,286128832000.000000,-7300000000.000000,-55916364000.000000,,,,,,283816208000.000000,137520880000.000000,-67455000.000000,759564750000.000000,897018175000.000000
12M 2017,810464371000.000000,3587151615000.000000,-2655548828000.000000,-121138416000.000000,,810464371000.000000,-617525847000.000000,168192321000.000000,19178168000.000000,-174178224000.000000,-283193912000.000000,-2132698000.000000,649791000.000000,,-2653562000.000000,,-236507341000.000000,,,,,-106880390000.000000,,,,,-617525847000.000000,-585495488000.000000,1385328643000.000000,,,-1582877902000.000000,,,-45465550000.000000,-17109690000.000000,,,,-325370989000.000000,,,,,,,,,,,,,-585495488000.000000,-392556964000.000000,20640000.000000,897018175000.000000,504481851000.000000
