Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Beban Lainnya,Pembayaran Kepada Karyawan,Adjustment,Penerimaan (Pembayaran) Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Pendapatan Bunga,Uang Muka Perolehan Aset Tetap,Penerimaan Dari (Pembayaran Untuk) Aset Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Obligasi,Biaya Penerbitan Obligasi,Pembayaran Bunga Obligasi,Penerimaan Penambahan Modal Melalui Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi Saham,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Pembayaran Bunga Pinjaman Dari Pihak Berelasi,Penerimaan Pinjaman Berjangka,Pembayaran Pinjaman Berjangka,Pembayaran Bunga Pinjaman Berjangka,Penerimaan Hutang Bank,Pembayaran Utang Bank,Pembayaran Beban Keuangan Atas Utang Bank,Akuisisi Entitas Sepengendali,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,10927191881.000000,63595738855.000000,-39671542348.000000,-11986554855.000000,,-1010449771.000000,10927191881.000000,-9751613814.000000,-951678000.000000,489737956.000000,-10000000000.000000,710326230.000000,-9751613814.000000,10221126461.000000,,,,,,,,,238500000000.000000,-5526750000.000000,-17734286580.000000,,-198893395804.000000,-4523221455.000000,,-1601219700.000000,10221126461.000000,11396704528.000000,13918783595.000000,,25315488123.000000
12M 2021,25773152902.000000,82113819067.000000,-42377980693.000000,-13561387725.000000,,-401297747.000000,25773152902.000000,-3873611623.000000,-3005135271.000000,164009380.000000,,-1032485732.000000,-3873611623.000000,-31046534882.000000,,,,,,7000000000.000000,,,,-15511078617.000000,-20386223632.000000,,,,,-2149232633.000000,-31046534882.000000,-9146993603.000000,25315488123.000000,,16168494520.000000
12M 2022,-41121599478.000000,111230832661.000000,-125180460039.000000,-26426164129.000000,,-745807971.000000,-41121599478.000000,-14761143673.000000,-2097488885.000000,581097959.000000,-5581458400.000000,-7663294347.000000,-14761143673.000000,132430965241.000000,,,,182668500000.000000,-6422918641.000000,-66920000000.000000,-55783609081.000000,,122380512463.000000,-16784999972.000000,-26706519528.000000,,,,,,132430965241.000000,76548222090.000000,16168494520.000000,,92716716610.000000
12M 2023,-14281550509.000000,94360491332.000000,-86886500830.000000,-18701469751.000000,,-3054071260.000000,-14281550509.000000,-76542022267.000000,-39537151049.000000,2086860592.000000,-31223153025.000000,-7868578785.000000,-76542022267.000000,65841286362.000000,339895000000.000000,-11839701436.000000,-9958956727.000000,,,160000000000.000000,-217526810502.000000,-5893712913.000000,35340493195.000000,-206684415751.000000,-26826350368.000000,11300000000.000000,-1345238100.000000,-619021036.000000,,,65841286362.000000,-24982286414.000000,92716716610.000000,,67734430196.000000
12M 2024,-94789594634.000000,155346648062.000000,-216658200175.000000,-30611603146.000000,,-2866439375.000000,-94789594634.000000,-29182626855.000000,-3326704668.000000,1049444216.000000,-2675750818.000000,-24229615585.000000,-29182626855.000000,78049393295.000000,,,-23553056625.000000,,,25000000000.000000,-3328584320.000000,-7177210037.000000,144132117174.000000,-11702233678.000000,-11397739788.000000,,-1614285717.000000,-709613714.000000,-31600000000.000000,,78049393295.000000,-45922828194.000000,67734430196.000000,,21811602002.000000
