Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,52094112325.000000,-22944234006.000000,29149878319.000000,-32774728124.000000,-32774728124.000000,-32774728124.000000,-3624849805.000000,-22209660981.000000,-38954596430.000000,24985404804.000000,-8235527910.000000,-4941445.000000,-22209660981.000000,-25834510786.000000,2872939129.000000,,,,2872939129.000000,-22961571657.000000,,-22961571657.000000,,-21020822486.000000,-22961571657.000000,-22628491437.000000,-333080220.000000,-22961571657.000000,-21020822486.000000,-20764792768.000000,-256029718.000000,-21020822486.000000
12M 2021,198393420289.000000,-89276246598.000000,109117173691.000000,-18009770736.000000,-18009770736.000000,-18009770736.000000,91107402955.000000,-15636440061.000000,-52055281926.000000,33937739289.000000,-1306948557.000000,3788051133.000000,-15636440061.000000,75470962894.000000,-25740619586.000000,,,,-25740619586.000000,49730343308.000000,,49730343308.000000,,50310798090.000000,49730343309.000000,48959115032.000000,771228277.000000,49730343309.000000,50310798091.000000,49488546872.000000,822251219.000000,50310798091.000000
12M 2022,247884492874.000000,-120765052891.000000,127119439983.000000,-31074666856.000000,-31074666856.000000,-31074666856.000000,96044773127.000000,-16249510392.000000,-50865591979.000000,48232478243.000000,-15474670354.000000,1858273698.000000,-16249510392.000000,79795262735.000000,-27088417070.000000,,,,-27088417070.000000,52706845665.000000,,52706845665.000000,,52739990328.000000,52706845665.000000,52660421379.000000,46424286.000000,52706845665.000000,52739990328.000000,52712221666.000000,27768662.000000,52739990328.000000
12M 2023,182229102022.000000,-89637730449.000000,92591371573.000000,-32009033532.000000,-32009033532.000000,-32009033532.000000,60582338041.000000,12871573204.000000,-47752974076.000000,61694117488.000000,-977124424.000000,-92445784.000000,12871573204.000000,73453911245.000000,-18163360389.000000,,,,-18163360389.000000,55290550856.000000,,55290550856.000000,,54087457823.000000,55290550856.000000,55256716323.000000,33834533.000000,55290550856.000000,54087457823.000000,54055978604.000000,31479219.000000,54087457823.000000
12M 2024,238914421879.000000,-180343009777.000000,58571412102.000000,-57297289789.000000,-57297289789.000000,-57297289789.000000,1274122313.000000,19850178413.000000,-64022275785.000000,83415953971.000000,150706178.000000,305794049.000000,19850178413.000000,21124300726.000000,20676370493.000000,,,,20676370493.000000,41800671219.000000,,41800671219.000000,,41517946467.000000,41800671219.000000,41799739448.000000,931771.000000,41800671219.000000,41517946467.000000,41517025840.000000,920627.000000,41517946467.000000
