Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,44932029262.000000,16472501171.000000,856223351.000000,,856223351.000000,856223351.000000,37051645774.000000,8143425056.000000,107455824614.000000,,,,,2203676250.000000,10915692913.000000,22713062288.000000,8800051174.000000,,32548037320.000000,77180519945.000000,184636344559.000000,,,12506012328.000000,7915877697.000000,336819175.000000,,336819175.000000,384802747.000000,2451817019.000000,,1416695690.000000,12506012328.000000,16433810159.000000,,,,,16433810159.000000,16433810159.000000,28939822487.000000,,82782488000.000000,,63063099622.000000,4200000000.000000,58863099622.000000,63063099622.000000,9344600891.000000,506333559.000000,155696522072.000000,184636344559.000000,331129952.000000
12M 2013,,,67041602624.000000,15090426809.000000,1155068716.000000,,1155068716.000000,1155068716.000000,43312845339.000000,40503059638.000000,167103003126.000000,,,,,2206176250.000000,11734067653.000000,8371661003.000000,,,66957761018.000000,89269665924.000000,256372669050.000000,,,16424251535.000000,10200943412.000000,339781575.000000,,339781575.000000,108648269.000000,4407021774.000000,,1367856505.000000,16424251535.000000,16520452726.000000,,,,,16520452726.000000,16520452726.000000,32944704261.000000,,82782488000.000000,,117109566169.000000,4550000000.000000,112559566169.000000,117109566169.000000,23071292021.000000,464618599.000000,223427964789.000000,256372669050.000000,331129952.000000
12M 2014,,,69675743234.000000,13123911989.000000,5210364146.000000,1400000000.000000,3810364146.000000,5210364146.000000,44095625492.000000,43795347521.000000,175900992382.000000,,,,,2205676250.000000,12712559053.000000,9430531962.000000,,,68627563297.000000,92976330562.000000,268877322944.000000,,,14384941579.000000,9502282511.000000,281789900.000000,,281789900.000000,17259600.000000,3157001281.000000,,1426608287.000000,14384941579.000000,18409859093.000000,,,,,18409859093.000000,18409859093.000000,32794800672.000000,,82782488000.000000,,126017336180.000000,4900000000.000000,121117336180.000000,126017336180.000000,26160748838.000000,1121949254.000000,236082522272.000000,268877322944.000000,331129952.000000
12M 2015,,,101814991509.000000,13617649620.000000,2592885644.000000,1400000000.000000,1192885644.000000,2592885644.000000,36630468186.000000,30443471220.000000,185099466179.000000,,,,,2269476133.000000,12324438849.000000,9842885364.000000,,,64946843846.000000,89383644192.000000,274483110371.000000,,,13865122841.000000,9667682334.000000,251425300.000000,,251425300.000000,132537992.000000,2246640777.000000,,1566836438.000000,13865122841.000000,19321908486.000000,,,,,19321908486.000000,19321908486.000000,33187031327.000000,,82782488000.000000,-2001838246.000000,130161840170.000000,5250000000.000000,124911840170.000000,130161840170.000000,27171414955.000000,3182174165.000000,241296079044.000000,274483110371.000000,331129952.000000
12M 2016,,,115865761398.000000,10276286000.000000,2376837918.000000,1400000000.000000,976837918.000000,2376837918.000000,31771219374.000000,14617272764.000000,174907377454.000000,,,,,2268176133.000000,11927709719.000000,10501356310.000000,,,96524946168.000000,121222188330.000000,296129565784.000000,,,11533925524.000000,8347674977.000000,251425300.000000,,251425300.000000,60732555.000000,1292819389.000000,,1581273303.000000,11533925524.000000,21331236675.000000,,,,,21331236675.000000,21331236675.000000,32865162199.000000,,82782488000.000000,-2001838246.000000,139791947577.000000,5600000000.000000,134191947577.000000,139791947577.000000,39089423170.000000,3602383084.000000,263264403585.000000,296129565784.000000,331129952.000000
12M 2017,,,88478807279.000000,15854405910.000000,2683038634.000000,1400000000.000000,1283038634.000000,2683038634.000000,41165365600.000000,33017156784.000000,181198774207.000000,,,,,2266876133.000000,11011716195.000000,10779099842.000000,,,103234707583.000000,127292399753.000000,308491173960.000000,,,18832789797.000000,15521044730.000000,251425300.000000,,251425300.000000,59026160.000000,1403113449.000000,,1598180158.000000,18832789797.000000,21822996796.000000,,,,,21822996796.000000,21822996796.000000,40655786593.000000,,82782488000.000000,-1884225133.000000,144862609548.000000,5950000000.000000,138912609548.000000,144862609548.000000,37865946651.000000,4208568301.000000,267835387367.000000,308491173960.000000,331129952.000000
12M 2018,,,56308078549.000000,16721351470.000000,2531059654.000000,1400000000.000000,1131059654.000000,2531059654.000000,60837997585.000000,55898510923.000000,192296998181.000000,,,,,2265576133.000000,10910763194.000000,10138265434.000000,,,106573409319.000000,129888014080.000000,322185012261.000000,,,24857084132.000000,21147053988.000000,,,,180105401.000000,2143018940.000000,,1386905803.000000,24857084132.000000,19619329128.000000,470000000.000000,,,470000000.000000,19149329128.000000,19619329128.000000,44476413260.000000,,82782488000.000000,-1884225133.000000,154285720868.000000,6300000000.000000,147985720868.000000,154285720868.000000,36888250351.000000,5636364915.000000,277708599001.000000,322185012261.000000,331129952.000000
12M 2019,,,75107462900.000000,12759536460.000000,2247449600.000000,1400000000.000000,847449600.000000,2247449600.000000,50336448378.000000,44823322390.000000,185274219728.000000,,,,,2264776133.000000,10075298217.000000,9749409391.000000,,,110777684431.000000,132867168172.000000,318141387900.000000,,,8536205993.000000,7938541212.000000,,,,48265268.000000,449631050.000000,,99768463.000000,8536205993.000000,27503546031.000000,8242273800.000000,,,8242273800.000000,19261272231.000000,27503546031.000000,36039752024.000000,,82782488000.000000,-1884225133.000000,157461529729.000000,6650000000.000000,150811529729.000000,157461529729.000000,35651194062.000000,8090649218.000000,282101635876.000000,318141387900.000000,331129952.000000
12M 2020,,,82017544108.000000,19160405693.000000,619192276.000000,,619192276.000000,619192276.000000,29306739414.000000,52149131047.000000,183253012538.000000,,1400000000.000000,1400000000.000000,1400000000.000000,2263976133.000000,8801944541.000000,7728961980.000000,,,113862823587.000000,134057706241.000000,317310718779.000000,,,885861221.000000,245475448.000000,,,,100960157.000000,351749385.000000,,187676231.000000,885861221.000000,31601193873.000000,14492687500.000000,,,14492687500.000000,17108506373.000000,31601193873.000000,32487055094.000000,,82782488000.000000,-1884225133.000000,160283318427.000000,7000000000.000000,153283318427.000000,160283318427.000000,34257808895.000000,9384273496.000000,284823663685.000000,317310718779.000000,331129952.000000
12M 2021,,,83295905647.000000,21720002494.000000,514405889.000000,,514405889.000000,514405889.000000,65140227207.000000,55258283166.000000,225928824403.000000,,,,,2263176133.000000,11457269574.000000,7300820419.000000,,,115292480876.000000,136313747002.000000,362242571405.000000,,,23888996571.000000,21313369279.000000,,,,126663090.000000,2275724836.000000,,173239366.000000,23888996571.000000,30396719846.000000,18371287500.000000,,,18371287500.000000,12025432346.000000,30396719846.000000,54285716417.000000,,82782488000.000000,-1884225133.000000,181079171724.000000,7000000000.000000,174079171724.000000,181079171724.000000,33204390864.000000,12775029533.000000,307956854988.000000,362242571405.000000,331129952.000000
