Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Kas Lainnya,Penerimaaan Bunga Dari Aktivitas Operasi,Pembayaran Kepada Pemasok,Pembayaran Gaji Dan Tunjangan,Pembayaran Royalti Dan Iuran Eksploitasi,Pembayaran Beban Operasi Lainnya,Pembayaran Bunga,Penerimaan Hasil Restitusi,Pembayaran (Pengembalian) Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penerimaan Dividen,Pencairan (Penempatan) Investasi Jangka Pendek,Pencairan (Penempatan) Investasi Lainnya,Pencairan (Penempatan) Aset Keuangan Dimiliki Hingga Jatuh Tempo,Pencairan (Penempatan) Aset Keuangan Tersedia Untuk Dijual,Pencairan (Penempatan) Aset Keuangan Tidak Lancar Lainnya,Perolehan Aset Tetap,Penambahan Properti Investasi,Penerimaan Pengembalian Uang Muka,Pembayaran Uang Muka Lainnya,Uang Muka Pekerjaan Eksplorasi,Penerimaan Dari Penjualan Aset Tetap,Uang Muka Penjualan Properti Investasi,Pembayaran Untuk Perolehan Property Investasi,Piutang Kepada Pemegang Saham,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Beban Tangguhan Atas Tanah,Pembayaran Uang Jaminan Reklamasi,Penerimaan Penjualan Saham Entitas Asosiasi,Penambahan Biaya Eksplorasi Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Disetor Anak Perusahaan,Pembayaran Dividen Tunai,Penambahan (Pengurangan) Hutang Bank,Uang Muka Setoran Modal,Penerimaan Utang Pemegang Saham,Utang Lain-Lain - Pihak Ketiga,Utang Kepada Pihak Berelasi,Piutang Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Dari Pelepasan Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,6530804861.000000,165878284784.000000,504576000.000000,,-125484723797.000000,-20281112205.000000,,-7257887846.000000,-48973149.000000,,-6779358926.000000,6530804861.000000,-6860376224.000000,3298147920.000000,,8165000000.000000,,,,-7500000000.000000,-1747644032.000000,,,,,325000000.000000,-200000000.000000,,,,,,,-9200880112.000000,-6860376224.000000,,,,,,,,,,,-329571363.000000,774385720.000000,,44487214905.000000,44932029262.000000
12M 2013,-660730802.000000,147201896656.000000,373846848.000000,,-110329941616.000000,-26362223103.000000,,-6025500355.000000,,,-5518809232.000000,-660730802.000000,17645060537.000000,3856919258.000000,,-32505390411.000000,,,,8268623811.000000,-3554588671.000000,,,,,659500000.000000,,,,,,,53485996550.000000,-12566000000.000000,17645060537.000000,249460021.000000,4800000000.000000,-4550539979.000000,,,,,,,249460021.000000,17233789756.000000,4875783606.000000,,44932029262.000000,67041602624.000000
12M 2014,5877779661.000000,141837329992.000000,466228079.000000,,-97746295217.000000,-27296633926.000000,,-5847217391.000000,,,-5535631876.000000,5877779661.000000,950026825.000000,6801284857.000000,486218455.000000,,3775737000.000000,,10931728.000000,,-3264586166.000000,,,,,325000000.000000,,,,,,,,-7184559049.000000,950026825.000000,-3454353979.000000,4000000000.000000,-6054353979.000000,,,,,,-1400000000.000000,-3454353979.000000,3373452507.000000,-739311897.000000,,67041602624.000000,69675743234.000000
12M 2015,5105993427.000000,122045818372.000000,743715000.000000,1017063611.000000,-78570774310.000000,-28468376798.000000,,-6570004876.000000,,,-5091447572.000000,5105993427.000000,29565159997.000000,7128378622.000000,193352396.000000,,,21420000000.000000,6062351742.000000,2488000000.000000,-1723365836.000000,,,,,12500000.000000,,-64566550.000000,,,,,,-5951490377.000000,29565159997.000000,-4540310892.000000,,-4540310892.000000,,,,,,,-4540310892.000000,30130842532.000000,2008405743.000000,,69675743234.000000,101814991509.000000
12M 2016,14127914662.000000,122834027050.000000,1457324250.000000,1578492925.000000,-78934420525.000000,-25551858754.000000,,-7286785055.000000,,,31134771.000000,14127914662.000000,-11519590828.000000,4816967368.000000,91585116.000000,,,14000000000.000000,2588501351.000000,,-1747942341.000000,,,,,311400000.000000,,,,,,,,-31580102322.000000,-11519590828.000000,11686691640.000000,,-1513308360.000000,,13200000000.000000,,,,,11686691640.000000,14295015474.000000,101814991509.000000,,-244245585.000000,115865761398.000000
12M 2017,-3994084302.000000,109235875425.000000,731102837.000000,1119815629.000000,-84333577518.000000,-25686050756.000000,,-6941933214.000000,,,1880683295.000000,-3994084302.000000,-21792410117.000000,3826054660.000000,80000000.000000,,,-12000000000.000000,,,-1075263362.000000,,,,,88000000.000000,,,,-6000000000.000000,,,,-6711201415.000000,-21792410117.000000,-1834837235.000000,,-1834837235.000000,,,,,,,-1834837235.000000,-27621331654.000000,115865761398.000000,,234377535.000000,88478807279.000000
12M 2018,-12882144526.000000,146189465440.000000,738537000.000000,1119583386.000000,-125412883675.000000,-28869691367.000000,,-7741164077.000000,,,1094008767.000000,-12882144526.000000,-20270823672.000000,3359503440.000000,185355411.000000,,,-18870365000.000000,-6371804470.000000,,-1624811315.000000,,6000000000.000000,,,389999998.000000,,,,,,,,-3338701736.000000,-20270823672.000000,-438425013.000000,,-908425013.000000,,,,,470000000.000000,,-438425013.000000,-33591393211.000000,88478807279.000000,,1420664481.000000,56308078549.000000
12M 2019,2120773193.000000,125562236040.000000,482902146.000000,1250916789.000000,-93019552644.000000,-26967441880.000000,,-7401869231.000000,,,2213581973.000000,2120773193.000000,11501312643.000000,3423369696.000000,294223617.000000,,,16305605000.000000,-3500000000.000000,,-1266519472.000000,,,,,450245500.000000,,,,,-35248240.000000,,,-4170363458.000000,11501312643.000000,5948319735.000000,,-1823954065.000000,,,,,7772273800.000000,,5948319735.000000,19570405571.000000,56308078549.000000,,-771021220.000000,75107462900.000000
12M 2020,11665655173.000000,92666897820.000000,1220416362.000000,2036838568.000000,-58300100571.000000,-26883217318.000000,,-6000907231.000000,,,6925727543.000000,11665655173.000000,-10265653296.000000,3705397522.000000,599420548.000000,,,-8306590000.000000,-3000000000.000000,,-216098180.000000,,,,-100000000.000000,140000000.000000,,,,-878000.000000,,,,-3086905186.000000,-10265653296.000000,5338535218.000000,,-911878482.000000,,,,,6250413700.000000,,5338535218.000000,6738537095.000000,75107462900.000000,,171544113.000000,82017544108.000000
12M 2021,403641929.000000,148051532220.000000,480100000.000000,2314233535.000000,-119951193555.000000,-26329915122.000000,,-5137352126.000000,,,976236977.000000,403641929.000000,-3272404899.000000,2499600767.000000,706295706.000000,,,1849490000.000000,,-3000000000.000000,-4835919833.000000,,,,,839546955.000000,,,,,-13000000.000000,,,-1318418494.000000,-3272404899.000000,3878600000.000000,,,,,,,3878600000.000000,,3878600000.000000,1009837030.000000,82017544108.000000,,268524509.000000,83295905647.000000
