Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penelitian Dan Pengembangan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,146690966909.000000,-109577428965.000000,37113537944.000000,-14106675480.000000,-18838042247.000000,,4731366767.000000,-14106675480.000000,23006862464.000000,2650897632.000000,-48973149.000000,2699870781.000000,,2650897632.000000,25657760096.000000,-5049230061.000000,,,-5049230061.000000,20608530035.000000,3840691168.000000,24449221203.000000,20608530035.000000,21235777635.000000,-627247600.000000,20608530035.000000,24449221203.000000,25076468803.000000,-627247600.000000,24449221203.000000
12M 2013,131333196189.000000,-103601858426.000000,27731337763.000000,14905547322.000000,-23872233545.000000,30014449408.000000,8763331459.000000,14905547322.000000,42636885085.000000,44685945376.000000,,416054066.000000,44269891310.000000,44685945376.000000,87322830461.000000,-20509600140.000000,,,-20509600140.000000,66813230321.000000,1188382403.000000,68001612724.000000,66813230321.000000,57886539191.000000,8926691130.000000,66813230321.000000,68001612724.000000,59074921594.000000,8926691130.000000,68001612724.000000
12M 2014,132775925237.000000,-98907795081.000000,33868130156.000000,-16685111411.000000,-24929367345.000000,,8244255934.000000,-16685111411.000000,17183018745.000000,,,,,,17183018745.000000,-2663152461.000000,,,-2663152461.000000,14519866284.000000,757290239.000000,15277156523.000000,14519866284.000000,15430409467.000000,-910543183.000000,14519866284.000000,15277156523.000000,16187699706.000000,-910543183.000000,15277156523.000000
12M 2015,118475319120.000000,-91681654471.000000,26793664649.000000,-14961638589.000000,-26027221840.000000,,11065583251.000000,-14961638589.000000,11832026060.000000,,,,,,11832026060.000000,-1972849888.000000,,,-1972849888.000000,9859176172.000000,362488876.000000,10221665048.000000,9859176172.000000,10960263325.000000,-1101087153.000000,9859176172.000000,10221665048.000000,11289824230.000000,-1068159182.000000,10221665048.000000
12M 2016,115940711050.000000,-86448407274.000000,29492303776.000000,-17204247270.000000,-24507616899.000000,,7303369629.000000,-17204247270.000000,12288056506.000000,,,,,,12288056506.000000,-2278665403.000000,,,-2278665403.000000,10009391103.000000,414583198.000000,10423974301.000000,10009391103.000000,11285757167.000000,-1276366064.000000,10009391103.000000,10423974301.000000,11705966086.000000,-1281991785.000000,10423974301.000000
12M 2017,111294849755.000000,-86428325414.000000,24866524341.000000,-17298271776.000000,-23158091026.000000,,5859819250.000000,-17298271776.000000,7568252565.000000,,,,,,7568252565.000000,-1604832494.000000,,,-1604832494.000000,5963420071.000000,594343423.000000,6557763494.000000,5963420071.000000,7057441683.000000,-1094021612.000000,5963420071.000000,6557763494.000000,7663626900.000000,-1105863406.000000,6557763494.000000
12M 2018,143382081850.000000,-114505560002.000000,28876521848.000000,-16528952134.000000,-24422277530.000000,,7893325396.000000,-16528952134.000000,12347569714.000000,,,,,,12347569714.000000,-2967432362.000000,,,-2967432362.000000,9380137352.000000,1486464138.000000,10866601490.000000,9380137352.000000,10416501176.000000,-1036363824.000000,9380137352.000000,10866601490.000000,11844297790.000000,-977696300.000000,10866601490.000000
12M 2019,118917403800.000000,-92610497907.000000,26306905893.000000,-21004342629.000000,-26874905841.000000,,5870563212.000000,-21004342629.000000,5302563264.000000,,,,,,5302563264.000000,-1364878143.000000,,,-1364878143.000000,3937685121.000000,2293198946.000000,6230884067.000000,3937685121.000000,5162588573.000000,-1224903452.000000,3937685121.000000,6230884067.000000,7467940356.000000,-1237056289.000000,6230884067.000000
12M 2020,96644910643.000000,-75915198723.000000,20729711920.000000,-16268682425.000000,-23317273296.000000,,7048590871.000000,-16268682425.000000,4461029495.000000,,,,,,4461029495.000000,-2060314341.000000,,-2060314341.000000,-2060314341.000000,2400715154.000000,974076358.000000,3374791512.000000,2400715154.000000,3815178554.000000,-1414463400.000000,2400715154.000000,3374791512.000000,4768176679.000000,-1393385167.000000,3374791512.000000
12M 2021,147210449631.000000,-100630682833.000000,46579766798.000000,-18392878691.000000,-26013418430.000000,,7620539739.000000,-18392878691.000000,28186888107.000000,,,,,,28186888107.000000,-5463232214.000000,-5157993500.000000,-305238714.000000,-5463232214.000000,22723655893.000000,423906054.000000,23147561947.000000,22723655893.000000,23880540782.000000,-1156884889.000000,22723655893.000000,23147561947.000000,24200979978.000000,-1053418031.000000,23147561947.000000
