Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2014,,,,,,,,,,,,,,,0.0
12M 2015,,,,,,,,,4.57,8.93,0.12,0.25,,,0.0
12M 2016,,,,,,,,,1.71,1.12,0.1,0.1,,,0.0
12M 2017,,,,,,,,,1.14,1.15,0.1,0.09,,,0.0
12M 2018,,,,,,,,,1.02,1.03,0.09,0.1,,,0.0
12M 2019,,,,,,,,,0.78,0.76,0.05,0.05,,,0.0
12M 2020,,,,,,,,,0.87,0.62,0.05,0.05,,,0.0
12M 2021,,,,,,,,,4.64,4.53,0.09,0.06,,,0.0
12M 2022,,,,,,,,,10.44,10.42,0.1,0.09,,,0.0
12M 2023,,,,,,,,,14.27,15.16,0.1,0.09,,,0.0
12M 2024,,,,,,,,,17.49,18.23,0.08,0.07,,,0.0
