Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2014,57 B,(3 B),54 B,562.68
12M 2015,(11 B),(3 B),(14 B),-14.52
12M 2016,(76 B),(3 B),(79 B),-65.39
12M 2017,41 B,(1 B),40 B,33.23
12M 2018,(86 B),(1 B),(87 B),-72.40
12M 2019,134 B,(2 B),133 B,110.08
12M 2020,(327 B),(51 B),(378 B),-34.85
12M 2021,"(3,787 B)",(31 B),"(3,817 B)",-275.49
12M 2022,"1,505 B",(24 B),"1,481 B",106.85
12M 2023,"2,250 B",(9 B),"2,241 B",161.74
12M 2024,"3,227 B",(19 B),"3,208 B",231.49
