Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Yang Diberikan,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Ketiga,Pihak Berelasi,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Utang Pajak,Beban Akrual,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Adjustment,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2014,,12839738750.000000,48271338882.000000,,,,,548658873159.000000,541874581685.000000,6784291474.000000,548658873159.000000,-3186934494.000000,545471938665.000000,,20240001558.000000,20240001558.000000,,938884802.000000,213013352954.000000,840775255611.000000,,,773987362.000000,586996960262.000000,,492615661590.000000,17102624063.000000,509718285653.000000,77278674609.000000,586996960262.000000,137720761270.000000,1353677772.000000,2648668094.000000,,,,,,6451208972.000000,735945263732.000000,,,96500000000.000000,,7224154773.000000,9000000000.000000,-1775845227.000000,7224154773.000000,1105837109.000000,104829991882.000000,,840775255614.000000,96500000.000000
12M 2015,,13427003550.000000,47498957467.000000,,500000000.000000,500000000.000000,,467853005857.000000,462154215014.000000,5698790843.000000,467853005857.000000,-1690513743.000000,466162492114.000000,,21196645815.000000,21196645815.000000,,26821697.000000,196835036420.000000,745646957063.000000,,,415311779.000000,563442450592.000000,,478689562536.000000,10205030860.000000,488894593396.000000,74547857196.000000,563442450592.000000,67688198006.000000,1571050244.000000,2465724545.000000,,,,,,2850539700.000000,638433274866.000000,,,96500000000.000000,,6914457837.000000,9000000000.000000,-2085542163.000000,6914457837.000000,3799224361.000000,107213682198.000000,,745646957064.000000,965000000.000000
12M 2016,,13195014600.000000,38131455614.000000,,,,,476650986415.000000,467281920808.000000,9369065607.000000,476650986415.000000,-15219219494.000000,461431766921.000000,,68816622761.000000,68816622761.000000,,5037415201.000000,188166789872.000000,774779064969.000000,,,947841449.000000,590384219611.000000,,490428469599.000000,11256575325.000000,501685044924.000000,88699174687.000000,590384219611.000000,18773605560.000000,1934322262.000000,1887915934.000000,,,,,,13582412040.000000,627510316856.000000,,,120625000000.000000,,-26247006721.000000,9000000000.000000,-35247006721.000000,-26247006721.000000,52890754835.000000,147268748114.000000,,774779064970.000000,1206250000.000000
12M 2017,,12671214650.000000,55631205258.000000,,,,,487735659658.000000,480317972126.000000,7417687532.000000,487735659658.000000,-21687057829.000000,466048601829.000000,,66877215550.000000,66877215550.000000,,8559110827.000000,227439595377.000000,837226943491.000000,,,2649065346.000000,671117402973.000000,,558322879079.000000,6351412863.000000,564674291942.000000,106443111031.000000,671117402973.000000,14287508809.000000,1170446441.000000,2444340868.000000,,,,,,6507647773.000000,698176412210.000000,,,120625000000.000000,169100600.000000,-35153467304.000000,9000000000.000000,-44153467304.000000,-35153467304.000000,53409897987.000000,139050531283.000000,,837226943493.000000,1206250000.000000
12M 2018,,20478487900.000000,102615426882.000000,,,,,392854559221.000000,381589028685.000000,11265530536.000000,392854559221.000000,-9093880848.000000,383760678373.000000,,65904049232.000000,65904049232.000000,,3690345101.000000,88224483922.000000,664673471410.000000,,,2196527709.000000,511938049628.000000,,406905287756.000000,13036142124.000000,419941429880.000000,91996619748.000000,511938049628.000000,24175251957.000000,1034145889.000000,1742351580.000000,,,,,,8027693761.000000,549114020524.000000,,,120625000000.000000,169100600.000000,-58441896095.000000,9000000000.000000,-67441896095.000000,-58441896095.000000,53207246381.000000,115559450886.000000,,664673471410.000000,1206250000.000000
12M 2019,,25485850900.000000,37434339937.000000,,,,,284795294435.000000,282528110739.000000,2267183696.000000,284795294435.000000,-33124327775.000000,251670966660.000000,,69358931805.000000,69358931805.000000,171131053.000000,,936935981150.000000,1321057201505.000000,,,2361799218.000000,599084251452.000000,,480964640380.000000,7569278806.000000,488533919186.000000,110550332266.000000,599084251452.000000,27925524507.000000,967428070.000000,1950905580.000000,,,,,,7588073794.000000,639877982621.000000,,,120625000000.000000,683027225600.000000,-168223868421.000000,9000000000.000000,-177223868421.000000,-168223868421.000000,45750861706.000000,681179218885.000000,,1321057201506.000000,1206250000.000000
12M 2020,,11283000000.000000,126342000000.000000,300946000000.000000,,300946000000.000000,,907956000000.000000,907956000000.000000,,907956000000.000000,-81753000000.000000,826203000000.000000,,137634000000.000000,137634000000.000000,150241000000.000000,,627224000000.000000,2179873000000.000000,,,8023000000.000000,803946000000.000000,,552838000000.000000,32440000000.000000,585278000000.000000,218668000000.000000,803946000000.000000,1811000000.000000,4348000000.000000,2133000000.000000,,,,,,127279000000.000000,947540000000.000000,,,1085625000000.000000,100169000000.000000,-331618000000.000000,9000000000.000000,-340618000000.000000,-331618000000.000000,378157000000.000000,1232333000000.000000,,2179873000000.000000,10856250000.000000
12M 2021,,9986000000.000000,225715000000.000000,1168780000000.000000,,1168780000000.000000,,3321101000000.000000,3221101000000.000000,100000000000.000000,3321101000000.000000,1920682000000.000000,5241783000000.000000,,143877000000.000000,143877000000.000000,496275000000.000000,77528000000.000000,4948478000000.000000,12312422000000.000000,,,221998000000.000000,3567211000000.000000,,1844288000000.000000,45692000000.000000,1889980000000.000000,1677231000000.000000,3567211000000.000000,50000000.000000,12769000000.000000,,,,110361000000.000000,110361000000.000000,110361000000.000000,150578000000.000000,4062967000000.000000,,,1385625000000.000000,,-245545000000.000000,9000000000.000000,-254545000000.000000,-245545000000.000000,7109375000000.000000,8249455000000.000000,,12312422000000.000000,13856250000.000000
12M 2022,,10107000000.000000,718440000000.000000,624772000000.000000,,624772000000.000000,,7225388000000.000000,6826126000000.000000,399262000000.000000,7225388000000.000000,1932429000000.000000,9157817000000.000000,,143604000000.000000,143604000000.000000,887487000000.000000,73400000000.000000,5349668000000.000000,16965295000000.000000,,,265072000000.000000,7748326000000.000000,,2013425000000.000000,62086000000.000000,2075511000000.000000,5672815000000.000000,7748326000000.000000,139000000.000000,12665000000.000000,,,,526059000000.000000,526059000000.000000,526059000000.000000,149277000000.000000,8701538000000.000000,,,1385625000000.000000,,-229575000000.000000,9000000000.000000,-238575000000.000000,-229575000000.000000,7107707000000.000000,8263757000000.000000,,16965295000000.000000,13856250000.000000
12M 2023,,8863000000.000000,1178913000000.000000,1433827000000.000000,,1433827000000.000000,,12591500000000.000000,11995283000000.000000,596217000000.000000,12591500000000.000000,186434000000.000000,12777934000000.000000,,119131000000.000000,119131000000.000000,1393406000000.000000,52704000000.000000,4331062000000.000000,21295840000000.000000,,,549836000000.000000,11891865000000.000000,,3430162000000.000000,581264000000.000000,4011426000000.000000,7880439000000.000000,11891865000000.000000,24000000.000000,13925000000.000000,,,,175330000000.000000,175330000000.000000,175330000000.000000,308068000000.000000,12939048000000.000000,,,1385625000000.000000,,-155708000000.000000,9000000000.000000,-164708000000.000000,-155708000000.000000,7126875000000.000000,8356792000000.000000,,21295840000000.000000,13856250000.000000
