Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Hak Minoritas,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Laba Pra Akuisisi,Others,Total Pemilik Entitas Induk,Kepentingan Non-Pegendali,Others,Total Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Others,Total Pemilik Entitas Induk,Kepentingan Non-Pegendali,Others,Total Kepentingan Non-Pegendali
12M 2008,2931418722.000000,-1909396602.000000,1022022120.000000,-262325206.000000,-98952135.000000,-163373071.000000,,-262325206.000000,759696914.000000,-479921521.000000,-188983710.000000,,31124165.000000,-78689723.000000,-243036843.000000,-335410.000000,-479921521.000000,279775393.000000,-106205438.000000,-123938666.000000,17733228.000000,-106205438.000000,173569955.000000,,-591.000000,,173569364.000000,,,,,173569364.000000,173569955.000000,,,173569955.000000,-591.000000,,-591.000000,173569364.000000,,,,,,,
12M 2009,2325282030.000000,-1652785384.000000,672496646.000000,-202173624.000000,-27889696.000000,-174283928.000000,,-202173624.000000,470323022.000000,-102456077.000000,-193081146.000000,,2946199.000000,59636759.000000,138015265.000000,-109973154.000000,-102456077.000000,367866945.000000,-115185535.000000,-88219332.000000,-26966203.000000,-115185535.000000,252681410.000000,,101917.000000,,252783327.000000,,,,,252783327.000000,252681410.000000,,,252681410.000000,101917.000000,,101917.000000,252783327.000000,,,,,,,
12M 2010,3004453565000.000000,-1712177875000.000000,1292275690000.000000,-442310791000.000000,-61778481000.000000,-380532310000.000000,,-442310791000.000000,849964899000.000000,139178490000.000000,-419979860000.000000,,61245988000.000000,278071000.000000,207559110000.000000,290075181000.000000,139178490000.000000,989143389000.000000,-268409213000.000000,-201262004000.000000,-67147209000.000000,-268409213000.000000,720734176000.000000,,-3063743000.000000,87960015000.000000,805630448000.000000,,,,,717670433000.000000,720734176000.000000,87960015000.000000,,720734176000.000000,-3063743000.000000,,-3063743000.000000,717670433000.000000,,,,,,,
12M 2011,4367080851000.000000,-2571781161000.000000,1795299690000.000000,-576102836000.000000,-162608228000.000000,-413494608000.000000,,-576102836000.000000,1219196854000.000000,-101625391000.000000,-580339666000.000000,,7698532000.000000,1012319000.000000,-125367731000.000000,595371155000.000000,-101625391000.000000,1117571463000.000000,-372070810000.000000,-242963834000.000000,-129106976000.000000,-372070810000.000000,745500653000.000000,,,,745500653000.000000,-77869388000.000000,-77869388000.000000,-77869388000.000000,667631265000.000000,745500653000.000000,744889699000.000000,,,744889699000.000000,610954000.000000,,610954000.000000,745500653000.000000,667631265000.000000,667020311000.000000,,667020311000.000000,610954000.000000,,610954000.000000
12M 2012,2485429887000.000000,-1736764096000.000000,748665791000.000000,-387876352000.000000,-47297339000.000000,-340579013000.000000,,-387876352000.000000,360789439000.000000,-1330927803000.000000,-553701443000.000000,,1175321000.000000,,-201297624000.000000,-577104057000.000000,-1330927803000.000000,-970138364000.000000,25289743000.000000,-90106127000.000000,115395870000.000000,25289743000.000000,-944848621000.000000,-122750156000.000000,,,-1067598777000.000000,-30942078000.000000,-30942078000.000000,-30942078000.000000,-1098540855000.000000,-1067598777000.000000,,,-1065265036000.000000,-1065265036000.000000,,-2333741000.000000,-2333741000.000000,-1067598777000.000000,-1098540855000.000000,,-1095903882000.000000,-1095903882000.000000,,-2636973000.000000,-2636973000.000000
12M 2013,2076486069000.000000,-1485599280000.000000,590886789000.000000,-377430072000.000000,-43209660000.000000,-334220412000.000000,,-377430072000.000000,213456717000.000000,-3257190588000.000000,-351763604000.000000,,1784479000.000000,,-1101429096000.000000,-1805782367000.000000,-3257190588000.000000,-3043733871000.000000,477691368000.000000,-67007377000.000000,544698745000.000000,477691368000.000000,-2566042503000.000000,-200676538000.000000,,,-2766719041000.000000,-280484378000.000000,-280484378000.000000,-280484378000.000000,-3047203419000.000000,-2766719041000.000000,,,-2762792133000.000000,-2762792133000.000000,,-3926908000.000000,-3926908000.000000,-2766719041000.000000,-3047203419000.000000,,-3040527764000.000000,-3040527764000.000000,,-6675655000.000000,-6675655000.000000
12M 2014,2636703408000.000000,-1906053721000.000000,730649687000.000000,-418584386000.000000,-48145217000.000000,-370439169000.000000,,-418584386000.000000,312065301000.000000,-820455301000.000000,-584469915000.000000,-25063162000.000000,1760225000.000000,,-120339653000.000000,-92342796000.000000,-820455301000.000000,-508390000000.000000,-1612416000.000000,-19897256000.000000,18284840000.000000,-1612416000.000000,-510002416000.000000,-174173396000.000000,,,-684175812000.000000,-28820725000.000000,-28820725000.000000,-28820725000.000000,-712996537000.000000,-684175812000.000000,,,-624813012000.000000,-624813012000.000000,,-59362800000.000000,-59362800000.000000,-684175812000.000000,-712996537000.000000,,-653633737000.000000,-653633737000.000000,,-59362800000.000000,-59362800000.000000
12M 2015,2021646748000.000000,-1508031054000.000000,513615694000.000000,-428084586000.000000,-48884487000.000000,-379200099000.000000,,-428084586000.000000,85531108000.000000,-1476777492000.000000,-611665774000.000000,-17358140000.000000,1381283000.000000,,-771647771000.000000,-77487090000.000000,-1476777492000.000000,-1391246384000.000000,333393831000.000000,-806335000.000000,334200166000.000000,333393831000.000000,-1057852553000.000000,540318460000.000000,,,-517534093000.000000,-246113435000.000000,-246113435000.000000,-246113435000.000000,-763647528000.000000,-517534093000.000000,,,-514569643000.000000,-514569643000.000000,,-2964450000.000000,-2964450000.000000,-517534093000.000000,-763647528000.000000,,-760683078000.000000,-760683078000.000000,,-2964450000.000000,-2964450000.000000
12M 2016,1565243696000.000000,-1089289765000.000000,475953931000.000000,-418420827000.000000,-40243971000.000000,-378176856000.000000,,-418420827000.000000,57533104000.000000,-378705160000.000000,-859622030000.000000,,980185000.000000,,221527019000.000000,258409666000.000000,-378705160000.000000,-321172056000.000000,-285229650000.000000,-23825257000.000000,-261404393000.000000,-285229650000.000000,-606401706000.000000,121733077000.000000,,,-484668629000.000000,-2060703000.000000,-2060703000.000000,-2060703000.000000,-486729332000.000000,-484668629000.000000,,,-483394881000.000000,-483394881000.000000,,-1273748000.000000,-1273748000.000000,-484668629000.000000,-486729332000.000000,,-485455584000.000000,-485455584000.000000,,-1273748000.000000,-1273748000.000000
12M 2017,1504817000000.000000,-916696000000.000000,588121000000.000000,-436636000000.000000,-27822000000.000000,-408814000000.000000,,-436636000000.000000,151485000000.000000,-1369688000000.000000,-1016605000000.000000,,751000000.000000,,-114293000000.000000,-239541000000.000000,-1369688000000.000000,-1218203000000.000000,-364520000000.000000,-11183000000.000000,-353337000000.000000,-364520000000.000000,-1582723000000.000000,-58226000000.000000,,,-1640949000000.000000,-28810000000.000000,-28810000000.000000,-28810000000.000000,-1669759000000.000000,-1640949000000.000000,,,-1640592000000.000000,-1640592000000.000000,,-357000000.000000,-357000000.000000,-1640949000000.000000,-1669759000000.000000,,-1669402000000.000000,-1669402000000.000000,,-357000000.000000,-357000000.000000
12M 2018,1951840000000.000000,-1666844000000.000000,284996000000.000000,-438870000000.000000,-39387000000.000000,-399483000000.000000,,-438870000000.000000,-153874000000.000000,-1808570000000.000000,-403524000000.000000,,872000000.000000,,-806121000000.000000,-599797000000.000000,-1808570000000.000000,-1962444000000.000000,113515000000.000000,-5766000000.000000,119281000000.000000,113515000000.000000,-1848929000000.000000,369144000000.000000,,,-1479785000000.000000,19115000000.000000,19115000000.000000,19115000000.000000,-1460670000000.000000,-1479785000000.000000,,,-1479785000000.000000,-1479785000000.000000,,,,-1479785000000.000000,-1460670000000.000000,,-1460670000000.000000,-1460670000000.000000,,,
