Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Lainnya Dari Pihak Ketiga,Penerimaan Dari Pengembalian Pajak,Penerimaan Bunga,Pembayaran Bunga Dan Provisi,Pembayaran Beban Operasional Lainnya,Pembayaran Pajak,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Investasi,Akuisisi Kepemilikan Saham Di Entitas Anak Dikurangi Kas Dan Setara Kas Yang Diperoleh,Penerimaan Penjualan Aset Tetap,Pembayaran Pengambilalihan Saham Saham Pihak Nonpengendali,Perolehan Aset Takberwujud,Realisasi Deposito Berjangka,Penerimaan Dividen Kas,Pelepasan Investasi Pada Aset Keuangan,Investasi Pada Entitas Asosiasi,Pembayaran Uang Muka Pembelian Tanah,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Penerbitan Saham,Pembayaran Utang Bank Jangka Panjang,Penerimaan Dari (Pembayaran Kepada) Pemegang Saham,Penerimaan Utang Lain-Lain - Pihak Ketiga,Penerimaan Setoran Modal Entitas Anak Dari Pihak Nonpengendali,Pembayaran Utang Lain-Lain - Pihak Ketiga,Penerimaan Utang Pemegang Saham,Pembayaran Utang Pemegang Saham,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Kepad A Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Premi Lindung Nilai Dimuka,Penerimaan Uang Muka Setoran Modal,Pembayaran Utang Sewa,Penambahan Saham,Pembayaran Dividen Kas Kepada Pemegang Saham Nonpengendali Entitas Anak,Tambahan Modal Disetor,Pembayaran Dividen,Beban Emisi Saham,Penempatan Dana Dalam Pembatasan,Pencairan Dana Dalam Pembatasan,Pencairan (Penempatan) Dana Yang Dalam Penempatan,Pembayaran Instrumen Keuangan Derivatif,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,11960588106.000000,315843517529.000000,,,162644336.000000,,-3565783492.000000,-494858422.000000,-36503765222.000000,-263481166623.000000,,11960588106.000000,-2945662120.000000,-2945662120.000000,,,,,,,,,,,,-2945662120.000000,45094581634.000000,,,,-10905418366.000000,,,,,,,56000000000.000000,,,,,,,,,,,,,,,45094581634.000000,54109507620.000000,146385591.000000,,54255893211.000000
12M 2021,9700759213.000000,329620788543.000000,,,207195479.000000,,-15685454507.000000,-425253540.000000,-40111412148.000000,-263905104614.000000,,9700759213.000000,-18264258580.000000,-18264258580.000000,,,,,,,,,,,,-18264258580.000000,-45455182255.000000,,,,-13937515063.000000,,,,,,,45551360172.000000,-77069027364.000000,,,,,,,,,,,,,,-45455182255.000000,-54018681622.000000,54255893211.000000,,237211589.000000
12M 2022,7016327947.000000,132037709756.000000,,,1288487.000000,-4192536911.000000,-8920436472.000000,-5315218125.000000,-28834737751.000000,-77759741037.000000,,7016327947.000000,-28315000.000000,-28315000.000000,,,,,,,,,,,,-28315000.000000,-6933072970.000000,,,,-7082123464.000000,,,,,,,149050494.000000,,,,,,,,,,,,,,,-6933072970.000000,54939977.000000,237211589.000000,,292151566.000000
12M 2023,-93459020133.000000,92940835645.000000,,,13633271.000000,,-2770074678.000000,-13792309815.000000,-16750630416.000000,-153100474140.000000,,-93459020133.000000,-50139340500.000000,-46039340500.000000,,,,,-4100000000.000000,,,,,,,-50139340500.000000,213223920461.000000,,,,,,,,,,,416000000.000000,-76383302.000000,,,,,25362500000.000000,,190031250000.000000,,-2509446237.000000,,,,,213223920461.000000,69625559828.000000,292151566.000000,,69917711394.000000
12M 2024,4644925942.000000,107201684479.000000,,,6830077.000000,,-3173688056.000000,-539030970.000000,-19892210724.000000,-78958658864.000000,,4644925942.000000,-73282154134.000000,-73371654134.000000,,,89500000.000000,,,,,,,,,-73282154134.000000,-16000000.000000,,,,,,,,,,,,-16000000.000000,,,,,,,,,,,,,,-16000000.000000,-68653228192.000000,69917711394.000000,,1264483202.000000
