Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Pajak Kini,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,313373089475.000000,-261096770622.000000,52276318853.000000,-18562544460.000000,,-8902164982.000000,-9660379478.000000,-18562544460.000000,33713774393.000000,3262525680.000000,,,162644336.000000,,,3099881344.000000,3262525680.000000,36976300073.000000,-8152720077.000000,226200143.000000,-8378920220.000000,-8152720077.000000,28823579996.000000,-443848382.000000,-443848382.000000,-443848382.000000,28379731614.000000,28823579996.000000,28823579996.000000,,28823579996.000000,28379731614.000000,28379731614.000000,,28379731614.000000
12M 2021,338126621753.000000,-282495461168.000000,55631160585.000000,-23391733612.000000,,-11164011579.000000,-12227722033.000000,-23391733612.000000,32239426973.000000,1786533576.000000,,,207195479.000000,,,1579338097.000000,1786533576.000000,34025960549.000000,-7599272286.000000,-543834446.000000,-7055437840.000000,-7599272286.000000,26426688263.000000,23290621.000000,23290621.000000,23290621.000000,26449978884.000000,26426688263.000000,26426688263.000000,,26426688263.000000,26449978884.000000,26449978884.000000,,26449978884.000000
12M 2022,93326935271.000000,-77965819594.000000,15361115677.000000,-14162630415.000000,,-1929230390.000000,-12233400025.000000,-14162630415.000000,1198485262.000000,12013123343.000000,,,1288487.000000,,,12011834856.000000,12013123343.000000,13211608605.000000,-2985389581.000000,1566274019.000000,-4551663600.000000,-2985389581.000000,10226219024.000000,-40102852.000000,-40102852.000000,-40102852.000000,10186116172.000000,10226219024.000000,10226219024.000000,,10226219024.000000,10186116172.000000,10186116172.000000,,10186116172.000000
12M 2023,81718159248.000000,-66783701107.000000,14934458141.000000,-14189819558.000000,,-1320911432.000000,-12868908126.000000,-14189819558.000000,744638583.000000,6641365636.000000,,,13633271.000000,,,6627732365.000000,6641365636.000000,7386004219.000000,-1917641004.000000,-1486619204.000000,-431021800.000000,-1917641004.000000,5468363215.000000,222159664.000000,222159664.000000,222159664.000000,5690522879.000000,5468363215.000000,5468363215.000000,,5468363215.000000,5690522879.000000,5690522879.000000,,5690522879.000000
12M 2024,116670413489.000000,-106201767164.000000,10468646325.000000,-14330350668.000000,,-2395542687.000000,-11934807981.000000,-14330350668.000000,-3861704343.000000,-112226244.000000,,,6830077.000000,,,-119056321.000000,-112226244.000000,-3973930587.000000,100415948.000000,691944248.000000,-591528300.000000,100415948.000000,-3873514639.000000,469392890.000000,469392890.000000,469392890.000000,-3404121749.000000,-3873514639.000000,-3873514639.000000,,-3873514639.000000,-3404121749.000000,-3404121749.000000,,-3404121749.000000
