Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,12 B,(3 B),9 B,259273.11
12M 2021,10 B,(18 B),(9 B),-246289.89
12M 2022,7 B,(0 B),7 B,200978.23
12M 2023,(93 B),(46 B),(139 B),-22.02
12M 2024,5 B,(73 B),(69 B),-10.85
