Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,828978.43,0.00,0.00,35.57 B,13.05%,43.14%,83.19%,
12M 2021,0.00 B,760042.80,0.00,0.00,35.39 B,12.23%,28.34%,36.01%,
12M 2022,0.00 B,294110.41,0.00,0.00,3.90 B,5.45%,9.89%,1.16%,
12M 2023,6.33 B,0.86,190.70,12.71,3.19 B,1.34%,1.58%,0.32%,
12M 2024,6.33 B,-0.61,-86.89,2.88,(1.49 B),-0.97%,-1.13%,-1.10%,
