Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,9976470408838.000000,-9353155928320.000000,623314480518.000000,-345425327875.000000,-223033623097.000000,-122391704778.000000,-345425327875.000000,277889152643.000000,40547156727.000000,13081293204.000000,-28645670202.000000,56111533725.000000,40547156727.000000,318436309370.000000,-96802972525.000000,,,,,-96802972525.000000,221633336845.000000,5561786749.000000,227195123594.000000,221633336845.000000,145666723106.000000,75966613739.000000,221633336845.000000,227195123594.000000,150288588895.000000,76906534699.000000,227195123594.000000
12M 2019,8729486560823.000000,-8180262127915.000000,549224432908.000000,-361752800191.000000,-230992400506.000000,-130760399685.000000,-361752800191.000000,187471632717.000000,13699557723.000000,14872490066.000000,-73241615334.000000,72068682991.000000,13699557723.000000,201171190440.000000,-70002748305.000000,,,,,-70002748305.000000,131168442135.000000,7858539892.000000,139026982027.000000,131168442135.000000,95481469151.000000,35686972984.000000,131168442135.000000,139026982027.000000,101512525983.000000,37514456044.000000,139026982027.000000
12M 2020,6076430855130.000000,-5675823655741.000000,400607199389.000000,-310702459509.000000,-190079657176.000000,-120622802333.000000,-310702459509.000000,89904739880.000000,10974290529.000000,16546875591.000000,-18208396981.000000,12635811919.000000,10974290529.000000,100879030409.000000,-32203541304.000000,,,,,-32203541304.000000,68675489105.000000,111372660259.000000,180048149364.000000,68675489105.000000,56994252084.000000,11681237021.000000,68675489105.000000,180048149364.000000,131115927644.000000,48932221720.000000,180048149364.000000
12M 2021,9778583412146.000000,-9140801884412.000000,637781527734.000000,-396334982403.000000,-230467628358.000000,-165867354045.000000,-396334982403.000000,241446545331.000000,29687925542.000000,19146753118.000000,-37070256293.000000,47611428717.000000,29687925542.000000,271134470873.000000,-75702002213.000000,,,,,-75702002213.000000,195432468660.000000,3798423754.000000,199230892414.000000,195432468660.000000,154089241574.000000,41343227086.000000,195432468660.000000,199230892414.000000,156937311310.000000,42293581104.000000,199230892414.000000
12M 2022,11509464649302.000000,-10677364390685.000000,832100258617.000000,-432593274745.000000,-253747950061.000000,-178845324684.000000,-432593274745.000000,399506983872.000000,54459100071.000000,14989824212.000000,-8359940884.000000,47829216743.000000,54459100071.000000,453966083943.000000,-117013981089.000000,,,,,-117013981089.000000,336952102854.000000,-14236.000000,336952088618.000000,336952102854.000000,278766285304.000000,58185817550.000000,336952102854.000000,336952088618.000000,278730704894.000000,58221383724.000000,336952088618.000000
12M 2023,10494240419892.000000,-9743918390892.000000,750322029000.000000,-464634805242.000000,-285678681623.000000,-178956123619.000000,-464634805242.000000,285687223758.000000,54780136598.000000,13215706675.000000,-9832104210.000000,51396534133.000000,54780136598.000000,340467360356.000000,-74753423675.000000,-79283241620.000000,5895420969.000000,,-1365603024.000000,-74753423675.000000,265713936681.000000,161846326363.000000,427560263044.000000,265713936681.000000,222159637045.000000,43554299636.000000,265713936681.000000,427560263044.000000,356500042959.000000,71060220085.000000,427560263044.000000
12M 2024,9646022913989.000000,-9044838756134.000000,601184157855.000000,-491942156226.000000,-291974329466.000000,-199967826760.000000,-491942156226.000000,109242001629.000000,70098415942.000000,20132805654.000000,-12416313416.000000,62381923704.000000,70098415942.000000,179340417571.000000,-45592361538.000000,-44111512060.000000,-1894650029.000000,,413800551.000000,-45592361538.000000,133748056033.000000,-339314634.000000,133408741399.000000,133748056033.000000,109501769008.000000,24246287025.000000,133748056033.000000,133408741399.000000,109234450791.000000,24174290608.000000,133408741399.000000
