Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Beban Usaha,Pembayaran Beban Gaji,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Penerimaan Dari Restitusi Pajak,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Peningkatan Investasi Pada Entitas Asosiasi,Penempatan Investasi Pada Entitas Anak,Penempatan (Pencairan) Investasi Jangka Pendek,Pembayaran Dividen Kepada Pihak Non Pengendali,Penempatan (Pencairan) Investasi Jangka Panjang,Penerimaan (Pembayaran) Dividen,Penerimaan (Pembayaran) Dari Pihak Berelasi,Pelepasan Investasi Jangka Panjang,Penambahan Aset Tidak Berwujud,Penerimaan Klaim Pengembalian Pajak,Peningkatan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Dividen,Penerimaan Dividen,Dividen Tunai Dari Entitas Anak Ke Pihak Nonpengendali,Penambahan Setoran Modal,Penerbitan Modal Saham,Penerimaan Hasil Penerbitan Saham,Penerbitan Obligasi Konversi,Pelunasan Utang Obligasi Konversi,Setoran Modal Dari Pihak Non-Pengendali,Pembayaran Liabilitas Sewa,Penerimaan Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,63197935523.000000,10065750360065.000000,-9675899762143.000000,-208208357724.000000,13081293204.000000,-28645670203.000000,-102879927676.000000,,,63197935523.000000,-159158499652.000000,-97708937764.000000,13153710254.000000,,,-33248000000.000000,,,-45219350000.000000,3864077858.000000,,,,,-159158499652.000000,378934695654.000000,-1146703088451.000000,1030896117290.000000,,,,,,,469865429585.000000,,31200000000.000000,-6323762770.000000,,378934695654.000000,282974131525.000000,376046765649.000000,659020897174.000000
12M 2019,-495631730686.000000,8630407694865.000000,-8743214849029.000000,-207797372317.000000,14872490066.000000,-73241615334.000000,-116658078937.000000,,,-495631730686.000000,-449543744595.000000,-110127684195.000000,9995216481.000000,,,8385000000.000000,,,-417000000000.000000,63737147818.000000,538312500.000000,-4041705950.000000,,-1030031249.000000,-449543744595.000000,565230229770.000000,-1038904513138.000000,1159424848974.000000,,,,,218530000000.000000,212056484876.000000,,,330000000.000000,-6998380991.000000,20791790049.000000,565230229770.000000,-379945245511.000000,659020897174.000000,279075651663.000000
12M 2020,811700723877.000000,6332266087385.000000,-5392930550690.000000,-78483888676.000000,16546875591.000000,-5514073487.000000,-60183726246.000000,,,811700723877.000000,-421256852202.000000,-77145282497.000000,12305330295.000000,,,-262148000000.000000,,-34000000000.000000,,-60000000000.000000,,-268900000.000000,,,-421256852202.000000,-146513407747.000000,-586588521076.000000,466201788075.000000,,,,,,,,,130000000.000000,-26256674746.000000,,-146513407747.000000,243930463928.000000,279075651663.000000,523006115591.000000
12M 2021,480894085028.000000,9684936881442.000000,-8911525381649.000000,-222580896424.000000,19146753118.000000,-29753639865.000000,-59329631594.000000,,,480894085028.000000,75364047752.000000,-93188887149.000000,13071737903.000000,,-137100000000.000000,268940000000.000000,,,,23700000000.000000,,-58803002.000000,,,75364047752.000000,-188975936225.000000,-4750000000.000000,1000000000.000000,,,,,,,,-142809435000.000000,75000000.000000,-42491501225.000000,,-188975936225.000000,367282196555.000000,523006115591.000000,890288312146.000000
12M 2022,-286578145581.000000,11351942184067.000000,-10979202927064.000000,-166052493897.000000,14989824212.000000,-5096936049.000000,-89784270638.000000,,-413373526212.000000,-286578145581.000000,-99540968301.000000,-100128396795.000000,16988478494.000000,,,11100000000.000000,,-21080000000.000000,,,,-6421050000.000000,,,-99540968301.000000,-116256064876.000000,,,-66026880000.000000,,-18763182189.000000,,,,,,,-31466002687.000000,,-116256064876.000000,-502375178758.000000,890288312146.000000,387913133388.000000
12M 2023,437368491827.000000,10471888517370.000000,-9733260789905.000000,-172243049350.000000,13215706675.000000,-4992279406.000000,-139100370609.000000,1860757052.000000,,437368491827.000000,-181178416935.000000,-189964988409.000000,14966571474.000000,,,7420000000.000000,,-13600000000.000000,,,,,,,-181178416935.000000,-166035473399.000000,,,-100415880000.000000,,-33673703942.000000,,,,,,20000000000.000000,-51945889457.000000,,-166035473399.000000,83254601493.000000,477659294148.000000,560913895641.000000
12M 2024,555280858721.000000,9490329037361.000000,-8675351941929.000000,-186542833896.000000,20132805654.000000,-6044821267.000000,-87983654037.000000,742266835.000000,,555280858721.000000,-375710148725.000000,-411391972122.000000,33681823397.000000,,,2000000000.000000,,,,,,,,,-375710148725.000000,-68561612498.000000,,2500000000.000000,,,-4426409199.000000,,,,,,1000000.000000,-66636203299.000000,,-68561612498.000000,111009097498.000000,560913895641.000000,671922993139.000000
