Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Reasuransi Dibayar,Hasil Investasi,Pendapatan Komisi,Others,Total Pendapatan,Total Beban Usaha,Beban Komisi,Klaim Bruto,Klaim Reasuransi,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,126858840000.000000,405862839000.000000,,-28373736000.000000,-281471717000.000000,10437672000.000000,,20403782000.000000,126858840000.000000,-97582592000.000000,509625000.000000,-56899675000.000000,,-57955092000.000000,16762550000.000000,-97582592000.000000,29276248000.000000,1126402000.000000,30402650000.000000,-4730424000.000000,-3253108000.000000,-1477316000.000000,,,-4730424000.000000,25672226000.000000,1870114000.000000,1870114000.000000,1870114000.000000,27542340000.000000,25672226000.000000,25672226000.000000,,25672226000.000000,27542340000.000000,27542340000.000000,,27542340000.000000
12M 2012,131272232000.000000,521279381000.000000,,-38695031000.000000,-404806526000.000000,13290089000.000000,,40204319000.000000,131272232000.000000,-100508876000.000000,6027438000.000000,-130782137000.000000,,-65008436000.000000,89254259000.000000,-100508876000.000000,30763356000.000000,4032251000.000000,34795607000.000000,-6253089000.000000,-5192388000.000000,-1060701000.000000,,,-6253089000.000000,28542518000.000000,200182000.000000,200182000.000000,200182000.000000,28742700000.000000,28542518000.000000,28542518000.000000,,28542518000.000000,28742700000.000000,28742700000.000000,,28742700000.000000
12M 2013,172019232000.000000,557441077000.000000,,-22571099000.000000,-411734259000.000000,28056744000.000000,,20826769000.000000,172019232000.000000,-139663295000.000000,-6920118000.000000,-99542350000.000000,,-75741594000.000000,42540767000.000000,-139663295000.000000,32355937000.000000,4818900000.000000,37174837000.000000,-4333793000.000000,-5809574000.000000,1475781000.000000,,,-4333793000.000000,32841044000.000000,-669816000.000000,-669816000.000000,-669816000.000000,32171228000.000000,32841044000.000000,32841044000.000000,,32841044000.000000,32171228000.000000,32171228000.000000,,32171228000.000000
12M 2014,181556325000.000000,721853949000.000000,,-45007715000.000000,-569359383000.000000,22096642000.000000,3269744000.000000,48703088000.000000,181556325000.000000,-139811933000.000000,,-130403164000.000000,,-82016154000.000000,72607385000.000000,-139811933000.000000,41744392000.000000,2597642000.000000,44342034000.000000,-6606765000.000000,-6860236000.000000,253471000.000000,,,-6606765000.000000,37735269000.000000,397256000.000000,397256000.000000,397256000.000000,38132525000.000000,37735269000.000000,37735269000.000000,,37735269000.000000,38132525000.000000,38132525000.000000,,38132525000.000000
12M 2015,199292883000.000000,710133541000.000000,,29326416000.000000,-548501204000.000000,31277809000.000000,8042854000.000000,-30986533000.000000,199292883000.000000,-146177084000.000000,,-325563998000.000000,,-92268988000.000000,271655902000.000000,-146177084000.000000,53115799000.000000,5367617000.000000,58483416000.000000,-14210183000.000000,-10828674000.000000,1098606000.000000,-2795241000.000000,-1684874000.000000,-14210183000.000000,44273233000.000000,-348571000.000000,-348571000.000000,-348571000.000000,43924662000.000000,44273233000.000000,44273233000.000000,,44273233000.000000,43924662000.000000,43924662000.000000,,43924662000.000000
12M 2016,192534634000.000000,824751899000.000000,,11531535000.000000,-686789765000.000000,24963856000.000000,27476237000.000000,-9399128000.000000,192534634000.000000,-148051580000.000000,,-264795831000.000000,,-100908030000.000000,217652281000.000000,-148051580000.000000,44483054000.000000,2713188000.000000,47196242000.000000,-8145400000.000000,-7555509000.000000,2020588000.000000,-2610479000.000000,,-8145400000.000000,39050842000.000000,-664344000.000000,-664344000.000000,-664344000.000000,38386498000.000000,39050842000.000000,39050842000.000000,,39050842000.000000,38386498000.000000,38386498000.000000,,38386498000.000000
12M 2017,197589365000.000000,875223355000.000000,,-878359000.000000,-740077062000.000000,22996753000.000000,35643959000.000000,4680719000.000000,197589365000.000000,-151406837000.000000,,-126205958000.000000,,-109190948000.000000,83990069000.000000,-151406837000.000000,46182528000.000000,3637871000.000000,49820399000.000000,-9542549000.000000,-7703934000.000000,269115000.000000,-2107730000.000000,,-9542549000.000000,40277850000.000000,-3873992000.000000,-3873992000.000000,-3873992000.000000,36403858000.000000,40277850000.000000,40277850000.000000,,40277850000.000000,36403858000.000000,36403858000.000000,,36403858000.000000
12M 2018,193619680000.000000,877070470000.000000,,-12210063000.000000,-728545122000.000000,18091123000.000000,32526208000.000000,6687064000.000000,193619680000.000000,-149620879000.000000,,-121029475000.000000,,-121973994000.000000,93382590000.000000,-149620879000.000000,43998801000.000000,5029800000.000000,49028601000.000000,-10969751000.000000,-7075880000.000000,-1640259000.000000,-2253612000.000000,,-10969751000.000000,38058850000.000000,2759790000.000000,2759790000.000000,2759790000.000000,40818640000.000000,38058850000.000000,38058850000.000000,,38058850000.000000,40818640000.000000,40818640000.000000,,40818640000.000000
12M 2019,201749006000.000000,982498679000.000000,,-7695894000.000000,-845720543000.000000,21047042000.000000,36191736000.000000,15427986000.000000,201749006000.000000,-170460603000.000000,,-201221334000.000000,,-136826650000.000000,167587381000.000000,-170460603000.000000,31288403000.000000,2358647000.000000,33647050000.000000,-5807989000.000000,-3950354000.000000,554331000.000000,-2411966000.000000,,-5807989000.000000,27839061000.000000,-2683534000.000000,-2683534000.000000,-2683534000.000000,25155527000.000000,27839061000.000000,27839061000.000000,,27839061000.000000,25155527000.000000,25155527000.000000,,25155527000.000000
12M 2020,182398496000.000000,988159746000.000000,,119038378000.000000,-878652531000.000000,31544491000.000000,39886239000.000000,-117577827000.000000,182398496000.000000,-150526197000.000000,,-170530816000.000000,,-127281376000.000000,147285995000.000000,-150526197000.000000,31872299000.000000,-811341000.000000,31060958000.000000,-4256344000.000000,-818465000.000000,-1402578000.000000,-2035301000.000000,,-4256344000.000000,26804614000.000000,5770592000.000000,5770592000.000000,5770592000.000000,32575206000.000000,26804614000.000000,26804614000.000000,,26804614000.000000,32575206000.000000,32575206000.000000,,32575206000.000000
