Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,,,0.0
12M 2011,,,,,,,,,10.06,18.83,0.29,0.77,,,0.0
12M 2012,,,,,,,,,9.45,9.62,0.2,0.19,,,0.0
12M 2013,,,,,,,,,10.5,9.83,0.16,0.16,,,0.0
12M 2014,,,,,,,,,9.67,9.78,0.15,0.14,,,0.0
12M 2015,,,,,,,,,9.49,8.7,0.14,0.14,,,0.0
12M 2016,,,,,,,,,7.89,7.72,0.15,0.17,,,0.0
12M 2017,,,,,,,,,7.02,6.37,0.18,0.16,,,0.0
12M 2018,,,,,,,,,6.66,6.96,0.18,0.17,,,0.0
12M 2019,,,,,,,,,6.93,6.59,0.18,0.17,,,0.0
12M 2020,,,,,,,,,6.42,6.75,0.18,0.18,,,0.0
12M 2021,,,,,,,,,7.05,7.61,0.2,0.19,,,0.0
12M 2022,,,,,,,,,8.54,8.86,0.22,0.2,,,0.0
12M 2023,,,,,,,,,8.3,7.97,0.22,0.19,,,0.0
12M 2024,,,,,,,,,7.5,7.52,0.23,0.21,,,0.0
