Period,Aset,Kas Dan Setara Kas,Pihak Ketiga,Pihak Berelasi,Total Kas Dan Setara Kas,Piutang Premi,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Premi,Piutang Reasuransi,Pihak Ketiga,Others,Total Piutang Reasuransi,Piutang Lain-Lain,Aset Reasuransi,Others,Total Deposito Berjangka,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Pihak Ketiga,Pihak Berelasi,Total Utang Klaim,Utang Reasuransi,Liabilitas Keuangan Lainnya,Utang Pajak,Others,Total Premi Yang Belum Merupakan Pendapatan,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,21088049000.000000,,,21088049000.000000,120094704000.000000,,,,120094704000.000000,,,,,,230110318000.000000,,41411872000.000000,11731948000.000000,,11731948000.000000,,166148409000.000000,549173428000.000000,,,1655667000.000000,,,1655667000.000000,89122604000.000000,228008000.000000,1093443000.000000,,146565701000.000000,1344420000.000000,320038096000.000000,413482238000.000000,,48000000000.000000,600000000.000000,89683667000.000000,9600000000.000000,80083667000.000000,89683667000.000000,-2592477000.000000,135691190000.000000,549173428000.000000,192000000.000000
12M 2011,,,10098855000.000000,2773780000.000000,12872635000.000000,,115798783000.000000,2945137000.000000,-3297449000.000000,115446471000.000000,,6257861000.000000,-1633122000.000000,4624739000.000000,468658000.000000,,83892327000.000000,83892327000.000000,,13477299000.000000,13477299000.000000,,184369501000.000000,331259303000.000000,,,5062838000.000000,4983913000.000000,78925000.000000,5062838000.000000,84150819000.000000,,1457263000.000000,49627540000.000000,49627540000.000000,5079670000.000000,88832424000.000000,184583014000.000000,,48000000000.000000,600000000.000000,98798652000.000000,9600000000.000000,89198652000.000000,98798652000.000000,-722363000.000000,146676289000.000000,331259303000.000000,192000000.000000
12M 2012,,66912869000.000000,,,66912869000.000000,166361741000.000000,,,,166361741000.000000,,,,,,524706184000.000000,,80664414000.000000,14295653000.000000,,14295653000.000000,,223902243000.000000,996178690000.000000,,,2019613000.000000,,,2019613000.000000,163658842000.000000,102376000.000000,2186824000.000000,,213634468000.000000,3882438000.000000,649077117000.000000,820927210000.000000,,48000000000.000000,600000000.000000,127173661000.000000,9600000000.000000,117573661000.000000,127173661000.000000,-522181000.000000,175251480000.000000,996178690000.000000,192000000.000000
12M 2013,,13330979000.000000,,,13330979000.000000,142703480000.000000,,,,142703480000.000000,,,,,,665619375000.000000,,126611471000.000000,18458801000.000000,,18458801000.000000,,259107541000.000000,1099220176000.000000,,,9049040000.000000,,,9049040000.000000,100290643000.000000,,2034322000.000000,,236205567000.000000,2406657000.000000,787678328000.000000,901458990000.000000,,48000000000.000000,1067308000.000000,149646705000.000000,9600000000.000000,140046705000.000000,149646705000.000000,-952827000.000000,197761186000.000000,1099220176000.000000,192000000.000000
12M 2014,,24040964000.000000,,,24040964000.000000,141314851000.000000,,,,141314851000.000000,,,,,,851785287000.000000,,164326970000.000000,19087498000.000000,,19087498000.000000,,317673635000.000000,1353902235000.000000,,,4826168000.000000,,,4826168000.000000,125799319000.000000,,1956237000.000000,,281213282000.000000,2153185000.000000,994217615000.000000,1128952524000.000000,,48000000000.000000,1067308000.000000,176437974000.000000,9600000000.000000,166837974000.000000,176437974000.000000,-555571000.000000,224949711000.000000,1353902235000.000000,192000000.000000
12M 2015,,12461756000.000000,,,12461756000.000000,148469277000.000000,,,,148469277000.000000,,,,,,960002974000.000000,,144312647000.000000,22919384000.000000,,22919384000.000000,2198528000.000000,318478099000.000000,1464530018000.000000,,,1957957000.000000,,,1957957000.000000,95774249000.000000,,3583135000.000000,,251886866000.000000,,1116308609000.000000,1217623950000.000000,,48000000000.000000,1067308000.000000,208542485000.000000,9600000000.000000,198942485000.000000,208542485000.000000,-10703725000.000000,246906068000.000000,1464530018000.000000,192000000.000000
12M 2016,,28178174000.000000,,,28178174000.000000,197920549000.000000,,,,197920549000.000000,,,,,,464548765000.000000,,144029928000.000000,25911598000.000000,,25911598000.000000,4390424000.000000,342906578000.000000,1063856088000.000000,,,2215044000.000000,,,2215044000.000000,143781912000.000000,,4298480000.000000,,240355331000.000000,,641324086000.000000,791619522000.000000,,48000000000.000000,1067308000.000000,234537327000.000000,9600000000.000000,224937327000.000000,234537327000.000000,-11368069000.000000,272236566000.000000,1063856088000.000000,192000000.000000
12M 2017,,13801726000.000000,,,13801726000.000000,217540042000.000000,,,,217540042000.000000,,,,,,480404951000.000000,,101889933000.000000,30419687000.000000,,30419687000.000000,5835782000.000000,328573228000.000000,1076575416000.000000,,,8274166000.000000,,,8274166000.000000,110216459000.000000,,6510659000.000000,,241233690000.000000,,656181708000.000000,781182992000.000000,,48000000000.000000,1067308000.000000,261567177000.000000,9600000000.000000,251967177000.000000,261567177000.000000,-15242061000.000000,295392424000.000000,1076575416000.000000,192000000.000000
12M 2018,,15747368000.000000,,,15747368000.000000,175236399000.000000,,,,175236399000.000000,,,,,,488170445000.000000,,112056747000.000000,27724518000.000000,,27724518000.000000,3842402000.000000,350677700000.000000,1061398832000.000000,,,5729100000.000000,,,5729100000.000000,84874300000.000000,,4667812000.000000,,253443753000.000000,,643164556000.000000,738435768000.000000,,48000000000.000000,1067308000.000000,286378027000.000000,9600000000.000000,276778027000.000000,286378027000.000000,-12482271000.000000,322963064000.000000,1061398832000.000000,192000000.000000
12M 2019,,42180151000.000000,,,42180151000.000000,192392661000.000000,,,,192392661000.000000,,,,,,505689763000.000000,,124930520000.000000,30497064000.000000,,30497064000.000000,5290444000.000000,381988672000.000000,1158038755000.000000,,,12078323000.000000,,,12078323000.000000,157875274000.000000,,3795500000.000000,,261139647000.000000,,650187067000.000000,823936164000.000000,,48000000000.000000,1067308000.000000,300201088000.000000,9600000000.000000,290601088000.000000,300201088000.000000,-15165805000.000000,334102591000.000000,1158038755000.000000,192000000.000000
