Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Persediaan,Tanah Untuk Dikembangkan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Properti Investasi,Tanah Untuk Dikembangkan,Aset Pajak Tangguhan,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Senior Notes,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Senior Notes,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,60260906097.000000,,24280860637.000000,38562225965.000000,539256480631.000000,955975565188.000000,880323486309.000000,2498659524827.000000,,,,,,,,,315352694964.000000,8558720392.000000,,6439470409.000000,18764137048.000000,,113277100679.000000,462392123492.000000,2961051648319.000000,,,1324959345431.000000,,62946203534.000000,49289323747.000000,12499353270.000000,23118746989.000000,,,1105189804078.000000,,1105189804078.000000,71915913813.000000,1324959345431.000000,46005927258.000000,,,,,,,19954663845.000000,26051263413.000000,46005927258.000000,1370965272689.000000,,1336147087700.000000,118934833291.000000,135004454639.000000,,135004454639.000000,135004454639.000000,,,1590086375630.000000,2961051648319.000000,13780872551.000000
12M 2009,,,43874479985.000000,,38253224574.000000,11119542910.000000,509595607471.000000,962173058205.000000,883099780207.000000,2448115693352.000000,,,,,,,,,646938737217.000000,8244796761.000000,,4532704392.000000,13541025739.000000,,72624471721.000000,745881735830.000000,3193997429182.000000,,,1539253199267.000000,,28340255723.000000,52388792528.000000,6757079431.000000,31503597277.000000,,,1320467753498.000000,,1320467753498.000000,99795720810.000000,1539253199267.000000,48289294405.000000,,,,,,,18493596179.000000,29795698226.000000,48289294405.000000,1587542493672.000000,,1336147087700.000000,118934833291.000000,151373014519.000000,,151373014519.000000,151373014519.000000,,,1606454935510.000000,3193997429182.000000,13780872551.000000
12M 2010,,,80530998507.000000,,44416171968.000000,26231434562.000000,503760004630.000000,956794337462.000000,209345857739.000000,1821078804868.000000,,,,,,,,,1469955466032.000000,7930873130.000000,,12691855844.000000,8317914430.000000,,15882367670.000000,1514778477106.000000,3335857281974.000000,,,1450168065752.000000,,49185506654.000000,105298904109.000000,14193029692.000000,18983748927.000000,,,1258973151833.000000,,1258973151833.000000,3533724537.000000,1450168065752.000000,217110728666.000000,,,,,,,20364465151.000000,196746263515.000000,217110728666.000000,1667278794418.000000,,1336147087700.000000,118934833291.000000,213496566565.000000,,213496566565.000000,213496566565.000000,,,1668578487556.000000,3335857281974.000000,13780872551.000000
12M 2011,,,127545483579.000000,,85507850760.000000,22356961892.000000,554015993308.000000,2642868437164.000000,261199151728.000000,3693493878431.000000,,,,,,,,,1836952980394.000000,5744406931.000000,,35133164420.000000,8317914430.000000,,17714406317.000000,1903862872492.000000,5597356750923.000000,,,2033627693328.000000,,89011690273.000000,126601946634.000000,28360136933.000000,18613800340.000000,,,1496782785628.000000,,1496782785628.000000,274257333520.000000,2033627693328.000000,62026640634.000000,,,,,,,19332851641.000000,42693788993.000000,62026640634.000000,2095654333962.000000,,1788848750975.000000,1168840754929.000000,544012911057.000000,50000000.000000,543962911057.000000,544012911057.000000,,,3501702416961.000000,5597356750923.000000,19816894728.000000
12M 2012,,,241847003916.000000,,118659146129.000000,113294364970.000000,624275520205.000000,2723280507551.000000,591992867622.000000,4413349410393.000000,,,,,,,,,2138349624678.000000,8361141406.000000,174430963087.000000,36150723084.000000,8317914430.000000,,298858092999.000000,2664468459684.000000,7077817870077.000000,,,1209939549321.000000,62861461878.000000,166426985201.000000,122480130549.000000,33835057681.000000,109758855729.000000,,,181402486300.000000,4007009003.000000,185409495303.000000,529167562980.000000,1209939549321.000000,1892477131960.000000,,1622822484730.000000,169180000000.000000,6226440867.000000,1798228925597.000000,,10409859786.000000,83838346577.000000,1892477131960.000000,3102416681281.000000,,1788848750975.000000,1168840754929.000000,924042862896.000000,100000000.000000,923942862896.000000,924042862896.000000,93092482251.000000,576337745.000000,3975401188796.000000,7077817870077.000000,19816894727.000000
12M 2013,,,595494841630.000000,,230554954026.000000,38337986474.000000,702957092072.000000,2721524032377.000000,736672394538.000000,5025541301117.000000,,44958565451.000000,,,,,,,2168400599324.000000,8317914430.000000,687462472376.000000,29248924299.000000,102133028813.000000,,189104425348.000000,3229625930041.000000,8255167231158.000000,,,1752626609061.000000,79228500000.000000,186607433215.000000,132002837480.000000,32745380906.000000,142180540446.000000,,,340740661572.000000,4146257563.000000,344886919135.000000,834974997879.000000,1752626609061.000000,2316508748894.000000,,2046630307764.000000,99180000000.000000,2429819328.000000,2148240127092.000000,,9770699774.000000,158497922028.000000,2316508748894.000000,4069135357955.000000,,1811684474600.000000,1252571741554.000000,891729106937.000000,150000000.000000,891579106937.000000,891729106937.000000,224177434682.000000,5869115430.000000,4186031873203.000000,8255167231158.000000,19816894727.000000
12M 2014,,,594747499843.000000,,292109514451.000000,17047343241.000000,660287301946.000000,2886733056597.000000,701232661384.000000,5152157377462.000000,,45049061133.000000,,,,,,,2228185748857.000000,108254829023.000000,875984492159.000000,30823322799.000000,,,64815616052.000000,3353113070023.000000,8505270447485.000000,,,1022071671563.000000,80860000000.000000,164079264971.000000,141249033093.000000,11612022467.000000,124433767105.000000,,23345103040.000000,20773710916.000000,4192849376.000000,48311663332.000000,451525920595.000000,1022071671563.000000,2821362362105.000000,,2573037835490.000000,,2482734034.000000,2575520569524.000000,,97825264723.000000,148016527858.000000,2821362362105.000000,3843434033668.000000,,1820227577000.000000,1272277831090.000000,1257391098596.000000,200000000.000000,1257191098596.000000,1257391098596.000000,294433558371.000000,17506348760.000000,4661836413817.000000,8505270447485.000000,20235279075.000000
12M 2015,,,826807285771.000000,,377001929901.000000,53585454309.000000,687997764546.000000,3997342585572.000000,702828994246.000000,6645564014345.000000,,44439797248.000000,,,,,,,2192451125113.000000,105760872787.000000,439166028401.000000,37395209536.000000,,,275917613275.000000,3095130646360.000000,9740694660705.000000,,,1047210764452.000000,89667500000.000000,245155463466.000000,142953813602.000000,32351627291.000000,174527062795.000000,,,,2029314703.000000,2029314703.000000,360525982595.000000,1047210764452.000000,3715729625666.000000,,3315274805815.000000,101982748914.000000,559406412.000000,3417816961141.000000,,107306976234.000000,190605688291.000000,3715729625666.000000,4762940390118.000000,,1852245047750.000000,1352534957770.000000,1433864007841.000000,250000000.000000,1433614007841.000000,1433864007841.000000,293479287346.000000,45630969880.000000,4977754270587.000000,9740694660705.000000,20662178685.000000
12M 2016,,,791865371859.000000,23963826572.000000,704332625573.000000,55298552628.000000,1008624071796.000000,4182969698479.000000,691600093316.000000,7458654240223.000000,,148758733379.000000,,,,,,,2307112077449.000000,1502037578.000000,467950387103.000000,23254679371.000000,,,326366050012.000000,3274943964892.000000,10733598205115.000000,,,1157245481727.000000,,276839692176.000000,219042073631.000000,52051906938.000000,167909973178.000000,,,,735368074.000000,735368074.000000,440666467730.000000,1157245481727.000000,3937862142587.000000,,3340164249726.000000,205041681819.000000,15835308.000000,3545221766853.000000,,154822827579.000000,237817548155.000000,3937862142587.000000,5095107624314.000000,,1852245047750.000000,1355879707173.000000,1870479683576.000000,300000000.000000,1870179683576.000000,1870479683576.000000,524736183724.000000,35149958578.000000,5638490580801.000000,10733598205115.000000,20662178685.000000
12M 2017,,,895199081666.000000,5000000000.000000,373830607590.000000,95263685730.000000,1101759296414.000000,11683927710.000000,5194895213258.000000,7677631812368.000000,,217123085140.000000,,,,,,,2369819209018.000000,1446718882.000000,537997027202.000000,28621841359.000000,,,433680618379.000000,3588688499980.000000,11266320312348.000000,,,1067196855057.000000,88062000000.000000,194351913618.000000,186628745141.000000,28808284162.000000,215870302199.000000,,,,2440180133.000000,2440180133.000000,351035429804.000000,1067196855057.000000,4298883218729.000000,,3815527302116.000000,89046439124.000000,3003646178.000000,3907577387418.000000,,100210887493.000000,291094943818.000000,4298883218729.000000,5366080073786.000000,,1864448274050.000000,1396068999121.000000,1889850304969.000000,350000000.000000,1889500304969.000000,1889850304969.000000,729210024361.000000,20662636061.000000,5900240238562.000000,11266320312348.000000,20824892749.000000
