Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Untuk:,"Pengembangan Tanah, Konstruksi Dan Perijinan",Gaji Dan Tunjangan Karyawan,Penerimaan (Beban) Usaha Lainnya,Total Pembayaran Untuk:,Penerimaan Pendapatan Keuangan,Penerimaan Taksiran Tagihan Restitusi Pajak Penghasilan,Pembayaran Beban Keuangan,(Penempatan) Penarikan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Pembayaran Pajak,Taksiran Tagihan Restitusi Pajak Penghasilan,Pembayaran Pajak Lainnya,Pembayaran Pajak Penghasilan Badan,Total Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penyertaan Saham,Pembelian Tanah,Penambahan Properti Investasi,Perolehan Aset Tetap,Investasi Pada Entitas Asosiasi,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Deposito Berjangka,Pengurangan Deposito Berjangka,Penerimaan Uang Muka Setoran Modal,Hasil Penjualan Properti Investasi,Pengurangan (Penambahan) Investasi Jangka Pendek,Uang Muka Pembelian Saham,Penerimaan Investasi,Perolehan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Dari Kepentingan Non-Pengendali,Kontribusi Modal Dari Kepentingan Non-Pengendali,Penerimaan Pinjaman Bank,Pembayaran Biaya Transaksi Pinjaman Bank,Pembelian Saham Treasuri,(Penambahan) Pengurangan Kas Dan Setara Kas Yang Dibatasi Penggunaanya,Pembayaran Dari Pinjaman Jangka Pendek,Pembayaran Dari Pinjaman Jangka Panjang,Pembayaran Pinjaman Bank,Penerimaan Dari Penjualan Dan Penyewaan Kembali,(Pembayaran) Penerimaan Utang Sewa Pembiayaan,Penerimaan Senior Notes,Pembayaran Senior Notes,Pembayaran Biaya Penerbitan Senior Notes,Penebusan Kembali Senior Notes,Penerimaan Dari Pendirian Entitas Anak,Akuisisi Entitas Anak,Pembayaran Biaya Penerbitan Dan Penukaran Senior Notes,Penerimaan Setoran Modal,Penerimaan Dari Pinjaman Jangka Panjang,Pembayaran Biaya Emisi Saham,Penerimaan Dari Utang Obligasi,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Saldo Kas Dan Setara Kas Milik Pt.greenwood Sejahtera Yang Tidak Dikonsilidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2008,133444082822.000000,538228369092.000000,,-111425286050.000000,-65674554454.000000,-102962105500.000000,-280061946004.000000,8442593695.000000,,-90378634575.000000,,-42786299386.000000,,,,-42786299386.000000,133444082822.000000,-479790247375.000000,6622727.000000,,-18373566660.000000,,-25117488294.000000,,-436305815148.000000,,,,,,,,,,-479790247375.000000,315522444870.000000,,,610126283222.000000,,,9193507807.000000,,,-303205000000.000000,,-592346159.000000,,,,,,,,,,,,,315522444870.000000,5018833067.000000,-25804886616.000000,-8737161.000000,86074529874.000000,,60260906097.000000
12M 2009,-33309747196.000000,392529830800.000000,,-84366245366.000000,-62404021236.000000,-120874510660.000000,-267644777262.000000,6370238413.000000,,-116711930652.000000,,-47853108495.000000,,,,-47853108495.000000,-33309747196.000000,-241966042034.000000,382984379.000000,,-5116943400.000000,,-16608590300.000000,,-220623492713.000000,,,,,,,,,,-241966042034.000000,260634207038.000000,,,688143607162.000000,,,-59829846011.000000,,,-367519791181.000000,,-159762932.000000,,,,,,,,,,,,,260634207038.000000,-1744843920.000000,-16386426112.000000,,60260906097.000000,,43874479985.000000
12M 2010,101392389297.000000,608569219593.000000,,-90950050518.000000,-72653814783.000000,-203808423417.000000,-367412288718.000000,2663904251.000000,,-80356536001.000000,,-62071909828.000000,,,,-62071909828.000000,101392389297.000000,-86143444931.000000,83160510989.000000,,-17547136505.000000,,-12796767330.000000,,-118117824585.000000,,,,,,,-20842227500.000000,,,-86143444931.000000,21522674677.000000,,,8642312240.000000,,,56742104051.000000,,,-43653117914.000000,,-208623700.000000,,,,,,,,,,,,,21522674677.000000,-114700521.000000,36656918522.000000,,43874479985.000000,,80531398507.000000
12M 2011,461715269277.000000,1108531570504.000000,,-297625762730.000000,-95500967938.000000,-132363054415.000000,-525489785083.000000,2920209969.000000,,-81017659016.000000,,-43229067097.000000,,,,-43229067097.000000,461715269277.000000,-645647360121.000000,131855000.000000,,-146237683538.000000,,-414898082218.000000,,,,,,,2272280000.000000,,-14384072500.000000,,-72531656865.000000,-645647360121.000000,241681225476.000000,,,454752782656.000000,,,-1832038647.000000,,,-230974594746.000000,,4641415050.000000,,,,,,,,21491620500.000000,,-6397959337.000000,,,241681225476.000000,-11104895053.000000,46644239579.000000,,80530998507.000000,370245493.000000,127545483579.000000
12M 2012,654678104035.000000,1644220470755.000000,,-396489307929.000000,-120100899823.000000,-277426870836.000000,-794017078588.000000,9622872763.000000,,-122913603001.000000,,-82234557894.000000,,,,-82234557894.000000,654678104035.000000,-894093597704.000000,1065066668.000000,,-542535805096.000000,,-350769846276.000000,,-1853013000.000000,,,,,,,,,,-894093597704.000000,352001869998.000000,,,557855000000.000000,,,-121783918268.000000,,,-1668156933268.000000,,-2679739416.000000,1646605941750.000000,-59838480800.000000,,,,,,,,,,,352001869998.000000,1715143859.000000,114301520188.000000,,127545483579.000000,,241847003767.000000
12M 2013,945214157370.000000,2972547381683.000000,,-352470938913.000000,-157877462325.000000,-1186525552073.000000,-1696873953311.000000,9654306178.000000,,-241968314723.000000,,-98145262457.000000,,,,-98145262457.000000,945214157370.000000,-822203920772.000000,564694277.000000,,-617949958577.000000,,-151618657445.000000,-45000000000.000000,-8199999027.000000,,,,,,,,,,-822203920772.000000,230301259815.000000,111483134000.000000,111060400000.000000,200026016915.000000,,,-31804516447.000000,,,-111026068536.000000,,-4287386975.000000,,,,-18507459250.000000,,,,,,,,-26642859892.000000,230301259815.000000,336341301.000000,353647837714.000000,,241847003916.000000,,595494841630.000000
12M 2014,290997155681.000000,2326045162592.000000,,-145199701906.000000,-181765891650.000000,-1258867076893.000000,-1585832670449.000000,22787963165.000000,,-383458777427.000000,,-88544522200.000000,,,,-88544522200.000000,290997155681.000000,-485824744125.000000,77671250.000000,,-295346096329.000000,,-167474647298.000000,,-13081671748.000000,,,,,,,,-10000000000.000000,,-485824744125.000000,182337612568.000000,77175500000.000000,,-419180000000.000000,,,116221457772.000000,,,,,-5557740017.000000,674009280000.000000,-253292400000.000000,,,,,,,,,,-7038485187.000000,182337612568.000000,11742634089.000000,-747341787.000000,,595494841630.000000,,594747499843.000000
12M 2015,338790021204.000000,2855695239802.000000,,-274958285614.000000,-255403343056.000000,-1576823619858.000000,-2107185248528.000000,28401335010.000000,,-350091209138.000000,,-88030095942.000000,,,,-88030095942.000000,338790021204.000000,-578860841372.000000,420416208.000000,,-491276216263.000000,,-73033548309.000000,,-14971493008.000000,,,,,,,,,,-578860841372.000000,432682114127.000000,,340000000.000000,105854000000.000000,,,30893743533.000000,,,,,-4293938032.000000,933338000000.000000,-32478199210.000000,,-555339840000.000000,5880000000.000000,15000000.000000,-23556760000.000000,,,,,-27969892164.000000,432682114127.000000,39448491969.000000,232059785928.000000,,594747499843.000000,,826807285771.000000
12M 2016,543679827246.000000,2785761055444.000000,,-382937707132.000000,-237708741222.000000,-1201161289576.000000,-1821807737930.000000,25893702060.000000,,-337211748293.000000,,-108955444035.000000,,,,-108955444035.000000,543679827246.000000,-879783468331.000000,648838724.000000,,-598995764243.000000,,-148098510070.000000,-104531220000.000000,-4842986170.000000,,-23963826572.000000,,,,,,,,-879783468331.000000,309833600965.000000,,203583240000.000000,273678600000.000000,,,-13269214160.000000,,,-235370500000.000000,,-2029539875.000000,267917915000.000000,,,,37667550000.000000,,-222344450000.000000,,,,,,309833600965.000000,-8671873792.000000,-34941913912.000000,,826807285771.000000,,791865371859.000000
12M 2017,629665039483.000000,3211659231686.000000,,-522095215016.000000,-268779177508.000000,-1354660478904.000000,-2145534871428.000000,30009736425.000000,,-369972667144.000000,,-96496390056.000000,,,,-96496390056.000000,629665039483.000000,-911571749441.000000,988085891.000000,-17621862500.000000,-650142758997.000000,,-183149568157.000000,-69289580000.000000,-11319892250.000000,,18963826572.000000,,,,,,,,-911571749441.000000,378332884099.000000,,126410018000.000000,255078305820.000000,,,-605969624.000000,,,-270207101198.000000,5375755440.000000,-2621188008.000000,1568334066750.000000,-1242487728000.000000,,-46593296592.000000,13084800000.000000,,-31312999200.000000,16952699223.000000,,,,-13074478512.000000,378332884099.000000,6907535666.000000,103333709807.000000,,791865371859.000000,,895199081666.000000
12M 2018,132870560546.000000,2484182107202.000000,,-444175912987.000000,-274689562695.000000,-1224813912533.000000,-1943679388215.000000,28499890133.000000,,-352433367877.000000,,-83698680697.000000,,,,-83698680697.000000,132870560546.000000,-235916110985.000000,723471445.000000,,-92893731211.000000,,-62865671899.000000,-37205700000.000000,-3054479320.000000,,-41800000000.000000,,,,,,1180000000.000000,,-235916110985.000000,69766934713.000000,,37787700000.000000,65448167382.000000,,,22232754531.000000,,,-53261506607.000000,,-2440180593.000000,,,,,,,,,,,,,69766934713.000000,16954494023.000000,-16324121703.000000,,895199081666.000000,,878874959963.000000
