Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.50,115.38,0.51,114.02,"1,105 B",,"1,105 B","1,045 B","1,174 B"
12M 2009,1.17,116.57,1.18,115.59,"1,320 B",,"1,320 B","1,277 B",909 B
12M 2010,1.13,121.08,1.14,120.48,"1,259 B",,"1,259 B","1,178 B",371 B
12M 2011,1.08,176.70,1.08,176.28,"1,497 B",,"1,497 B","1,369 B","1,660 B"
12M 2012,1.02,195.91,1.02,195.49,248 B,"1,798 B","2,046 B","1,805 B","3,203 B"
12M 2013,0.97,199.92,0.99,194.77,424 B,"2,148 B","2,572 B","1,977 B","3,273 B"
12M 2014,1.37,215.83,1.37,215.83,129 B,"2,576 B","2,705 B","2,110 B","4,130 B"
12M 2015,1.09,226.71,1.09,226.71,92 B,"3,418 B","3,510 B","2,683 B","5,598 B"
12M 2016,1.18,247.49,1.18,247.49,1 B,"3,545 B","3,546 B","2,754 B","6,301 B"
12M 2017,1.15,248.31,1.15,248.31,91 B,"3,908 B","3,998 B","3,103 B","6,610 B"
12M 2018,1.09,252.59,1.09,252.59,97 B,"4,206 B","4,303 B","3,424 B","7,038 B"
12M 2019,1.13,257.99,1.13,257.80,65 B,"4,064 B","4,129 B","3,124 B","7,145 B"
12M 2020,0.85,251.53,0.85,251.23,36 B,"4,158 B","4,194 B","3,015 B","7,141 B"
12M 2021,0.66,252.43,0.66,252.23,15 B,"4,258 B","4,273 B","3,162 B","7,319 B"
12M 2022,0.59,249.32,0.59,249.21,526 B,"4,291 B","4,817 B","3,491 B","6,979 B"
12M 2023,0.51,262.52,0.51,262.46,9 B,"4,147 B","4,156 B","3,061 B","7,302 B"
12M 2024,0.66,280.03,0.66,279.93,1 B,"4,049 B","4,050 B","2,001 B","8,543 B"
