Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,460719727736.000000,-226047248863.000000,234672478873.000000,-127512358922.000000,-21182899376.000000,-106329459546.000000,-127512358922.000000,107160119951.000000,-129868845282.000000,8207653112.000000,-94872346540.000000,,-144600115717.000000,,,101395963863.000000,-129868845282.000000,-22708725331.000000,-39715403274.000000,-18140719682.000000,-21574683592.000000,-39715403274.000000,-62424128605.000000,,,,,-62424128605.000000,-62424128605.000000,,-62424128605.000000,,,,
12M 2009,392566008511.000000,-228577803568.000000,163988204943.000000,-117162978518.000000,-16898496298.000000,-100264482220.000000,-117162978518.000000,46825226425.000000,460680315.000000,6370238413.000000,-114466047757.000000,,105068411875.000000,,,3488077784.000000,460680315.000000,47285906740.000000,-30917346860.000000,-30471648508.000000,-445698352.000000,-30917346860.000000,16368559880.000000,,,,,16368559880.000000,16368559880.000000,,16368559880.000000,,,,
12M 2010,597419779479.000000,-348332580500.000000,249087198979.000000,-178075572689.000000,-28615548953.000000,-149460023736.000000,-178075572689.000000,71011626290.000000,21835394435.000000,2633904251.000000,-80192135057.000000,57113839219.000000,26440142827.000000,,,15839643195.000000,21835394435.000000,92847020725.000000,-30723468679.000000,-37011751158.000000,6288282479.000000,-30723468679.000000,62123552046.000000,,,,62123552046.000000,62123552046.000000,62123552046.000000,,62123552046.000000,62123552046.000000,62123552046.000000,,62123552046.000000
12M 2011,1148295925907.000000,-534730594003.000000,613565331904.000000,-177443287975.000000,-27061395217.000000,-150381892758.000000,-177443287975.000000,436122043929.000000,-72853522549.000000,2920209969.000000,-88502670493.000000,,,,,12728937975.000000,-72853522549.000000,363268521380.000000,-37137354461.000000,-57396174338.000000,20258819877.000000,-37137354461.000000,326131166919.000000,,,,326131166919.000000,326131166919.000000,326131166919.000000,,326131166919.000000,326131166919.000000,326131166919.000000,,326131166919.000000
12M 2012,1400611694161.000000,-540517328812.000000,860094365349.000000,-235052960433.000000,-27865222099.000000,-207187738334.000000,-235052960433.000000,625041404916.000000,-167250042694.000000,9622872763.000000,-208244814690.000000,,,,,31371899233.000000,-167250042694.000000,457791362222.000000,-77768928132.000000,-87709478642.000000,9940550510.000000,-77768928132.000000,380022434090.000000,576337745.000000,576337745.000000,576337745.000000,380598771835.000000,380022434090.000000,380029951839.000000,-7517749.000000,380022434090.000000,380598771835.000000,380606289584.000000,-7517749.000000,380598771835.000000
12M 2013,2739598333777.000000,-1568130853976.000000,1171467479801.000000,-316164219611.000000,-48322280008.000000,-267841939603.000000,-316164219611.000000,855303260190.000000,-651138054679.000000,9995288303.000000,-690731960235.000000,,,,,29598617253.000000,-651138054679.000000,204165205511.000000,-99687572897.000000,-93424934124.000000,-6262638773.000000,-99687572897.000000,104477632614.000000,5292777685.000000,5292777685.000000,5292777685.000000,109770410299.000000,104477632614.000000,100895814183.000000,3581818431.000000,104477632614.000000,109770410299.000000,106188591868.000000,3581818431.000000,109770410299.000000
12M 2014,2799065226163.000000,-1547074496678.000000,1251990729485.000000,-364667031889.000000,-43648616155.000000,-321018415734.000000,-364667031889.000000,887323697596.000000,-327467893124.000000,22819742508.000000,-403998199651.000000,,,,,53710564019.000000,-327467893124.000000,559855804472.000000,-165800591093.000000,-79320424644.000000,-86480166449.000000,-165800591093.000000,394055213379.000000,11637233330.000000,11637233330.000000,11637233330.000000,405692446709.000000,394055213379.000000,400974589690.000000,-6919376311.000000,394055213379.000000,405692446709.000000,412611823020.000000,-6919376311.000000,405692446709.000000
12M 2015,3139920233816.000000,-1751385033732.000000,1388535200084.000000,-478798209499.000000,-75925058139.000000,-402873151360.000000,-478798209499.000000,909736990585.000000,-564679835102.000000,235989510459.000000,-712329097685.000000,,,,-63176883376.000000,-25163364500.000000,-564679835102.000000,345057155483.000000,-13614492322.000000,-7536237124.000000,-6078255198.000000,-13614492322.000000,331442663161.000000,23443741522.000000,23443741522.000000,23443741522.000000,354886404683.000000,331442663161.000000,338631934186.000000,-7189271025.000000,331442663161.000000,354886404683.000000,362075675708.000000,-7189271025.000000,354886404683.000000
12M 2016,2931015007454.000000,-1687839195955.000000,1243175811499.000000,-500911612935.000000,-67173451127.000000,-433738161808.000000,-500911612935.000000,742264198564.000000,-229764470348.000000,163613835945.000000,-333239568392.000000,,,,-46359942033.000000,-13778795868.000000,-229764470348.000000,512499728216.000000,-85957405711.000000,-23154190170.000000,-62803215541.000000,-85957405711.000000,426542322505.000000,-10481011302.000000,-10481011302.000000,-10481011302.000000,416061311203.000000,426542322505.000000,436615675735.000000,-10073353230.000000,426542322505.000000,416061311203.000000,426134664433.000000,-10073353230.000000,416061311203.000000
12M 2017,2994759224061.000000,-1857862018897.000000,1136897205164.000000,-526884451514.000000,-76854552914.000000,-450029898600.000000,-526884451514.000000,610012753650.000000,-479932860356.000000,125027338011.000000,-431496090519.000000,,,,-35668102911.000000,-137796004937.000000,-479932860356.000000,130079893294.000000,19760685242.000000,-38257985133.000000,58018670375.000000,19760685242.000000,149840578536.000000,-14487322517.000000,-14487322517.000000,-14487322517.000000,135353256019.000000,149840578536.000000,84861555899.000000,64979022637.000000,149840578536.000000,135353256019.000000,70374233382.000000,64979022637.000000,135353256019.000000
