Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,1399.42,0.00,0.00,,0.10%,0.14%,0.50%,1.78
12M 2022,4.53 B,0.99,0.00,0.00,,2.70%,3.79%,3.93%,15.33
12M 2023,5.73 B,1.82,12.09,2.77,,3.52%,4.56%,5.81%,126.74
12M 2024,5.73 B,1.84,9.78,2.15,,3.56%,4.44%,4.46%,138.03
