Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,1967436524.000000,,1967436524.000000,-1652320342.000000,-220250294.000000,-1432070048.000000,-1652320342.000000,315116182.000000,-146871436.000000,20731515.000000,-176602951.000000,9000000.000000,-146871436.000000,168244746.000000,-9837183.000000,,,-9837183.000000,-9837183.000000,158407563.000000,158407563.000000,,,,158407563.000000,158407563.000000,158407563.000000,,158407563.000000,158407563.000000,158407563.000000,,158407563.000000
12M 2022,18346844372.000000,-8919382698.000000,9427461674.000000,-4245888989.000000,-1324670451.000000,-2921218538.000000,-4245888989.000000,5181572685.000000,-270548236.000000,17524083.000000,-338072319.000000,50000000.000000,-270548236.000000,4911024449.000000,-424164862.000000,,4175635.000000,-428340497.000000,-424164862.000000,4486859587.000000,4486859587.000000,-2387710.000000,-2387710.000000,-2387710.000000,4484471877.000000,4486859587.000000,4486859587.000000,,4486859587.000000,4484471877.000000,4484471877.000000,,4484471877.000000
12M 2023,45420658133.000000,-26425230709.000000,18995427424.000000,-7593191926.000000,-2150970747.000000,-5442221179.000000,-7593191926.000000,11402235498.000000,154101504.000000,28451046.000000,-89967294.000000,215617752.000000,154101504.000000,11556337002.000000,-1104688117.000000,,8585388.000000,-1113273505.000000,-1104688117.000000,10451648885.000000,10451648885.000000,-2203275.000000,-2203275.000000,-2203275.000000,10449445610.000000,10451648885.000000,10451648885.000000,,10451648885.000000,10449445610.000000,10449445610.000000,,10449445610.000000
12M 2024,48056288137.000000,-27015380485.000000,21040907652.000000,-9541044589.000000,-2588166573.000000,-6952878016.000000,-9541044589.000000,11499863063.000000,213766074.000000,61171972.000000,-83312036.000000,235906138.000000,213766074.000000,11713629137.000000,-1168687143.000000,,9505645.000000,-1178192788.000000,-1168687143.000000,10544941994.000000,10544941994.000000,4272260.000000,4272260.000000,4272260.000000,10549214254.000000,10544941994.000000,10544941994.000000,,10544941994.000000,10549214254.000000,10549214254.000000,,10549214254.000000
