Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Karyawan,Total Pembayaran Kas Kepada :,Penerimaan Bunga,Pembayaran Untuk :,Beban Bunga,Total Pembayaran Untuk :,Penerimaan (Pembayaran) Kas Untuk Beban Operasi Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Tanah Yang Belum Dikembangkan,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham,Tambahan Modal Disetor,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Dividend,Penerimaan Piutang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-40533127447.000000,7930327714.000000,,-47475858276.000000,-784821558.000000,-48260679834.000000,20731515.000000,,-176602951.000000,-176602951.000000,-46903891.000000,-40533127447.000000,-2309398801.000000,,-2096270801.000000,-213128000.000000,-2309398801.000000,46147521848.000000,6195000000.000000,,14770274488.000000,,,,31064030154.000000,-5881782794.000000,46147521848.000000,3304995600.000000,6217214.000000,3311212814.000000
12M 2022,2977680041.000000,31729003730.000000,,-24400206925.000000,-1704496731.000000,-26104703656.000000,17524083.000000,,-338072319.000000,-338072319.000000,-2326071797.000000,2977680041.000000,-10344067399.000000,-10246900000.000000,-97167399.000000,,-10344067399.000000,5677109773.000000,,,9210830445.000000,-7117357143.000000,,64217206.000000,13691541000.000000,-10172121735.000000,5677109773.000000,-1689277585.000000,3311212814.000000,1621935229.000000
12M 2023,-13274462086.000000,41384005007.000000,,-53973936642.000000,-3137147204.000000,-57111083846.000000,28451046.000000,,-89967294.000000,-89967294.000000,2514133001.000000,-13274462086.000000,-89664694577.000000,-89592973348.000000,-71721229.000000,,-89664694577.000000,112954492865.000000,104157290067.000000,,34839000000.000000,-18512917937.000000,-4009460000.000000,,,-3519419265.000000,112954492865.000000,10015336202.000000,1621935229.000000,11637271431.000000
12M 2024,913238576.000000,43482055682.000000,,-38458959290.000000,-3471125994.000000,-41930085284.000000,61171972.000000,,-83312036.000000,-83312036.000000,-616591758.000000,913238576.000000,-1439312171.000000,,-1439312171.000000,,-1439312171.000000,-2083265707.000000,3892000.000000,,6334700000.000000,-6211036595.000000,-2210821112.000000,,,,-2083265707.000000,-2609339302.000000,11637271431.000000,9027932129.000000
