Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Tanah Untuk Dikembangkan,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,3311212814.000000,687636000.000000,556758000.000000,130878000.000000,687636000.000000,86974782469.000000,10226971430.000000,101200602713.000000,,64217206.000000,64217206.000000,64217206.000000,41663606557.000000,3393537585.000000,,195367333.000000,6641705890.000000,51958434571.000000,153159037284.000000,,,26360280665.000000,1412747409.000000,,11980184871.000000,11980184871.000000,64009843.000000,,,539583333.000000,539583333.000000,12363755209.000000,26360280665.000000,12821895310.000000,,,,,12817943745.000000,12817943745.000000,3951565.000000,12821895310.000000,39182175975.000000,,113195000000.000000,,781861309.000000,,781861309.000000,781861309.000000,,,113976861309.000000,153159037284.000000,113195.000000
12M 2022,,,1621935229.000000,178192000.000000,,178192000.000000,178192000.000000,95840237949.000000,4937917313.000000,102578282491.000000,,,,,51910506557.000000,3270707660.000000,4849092.000000,152741733.000000,8120642105.000000,63459447147.000000,166037729638.000000,,,29406753622.000000,1310565555.000000,,,,1140708220.000000,231560303.000000,,924999996.000000,924999996.000000,25798919548.000000,29406753622.000000,18169642830.000000,,3519419265.000000,3519419265.000000,,14628182238.000000,14628182238.000000,22041327.000000,18169642830.000000,47576396452.000000,,113195000000.000000,,5268720896.000000,200000000.000000,5068720896.000000,5268720896.000000,,-2387710.000000,118461333186.000000,166037729638.000000,4527800000.000000
12M 2023,,,11637271431.000000,1112704913.000000,,1112704913.000000,1112704913.000000,118260602786.000000,6008334414.000000,137018913544.000000,,,,,141503479905.000000,3106239464.000000,14055917.000000,110116133.000000,14784083865.000000,159517975284.000000,296536888828.000000,,,40435596178.000000,,,916000000.000000,916000000.000000,821484557.000000,132087771.000000,,6211036595.000000,6211036595.000000,32354987255.000000,40435596178.000000,27042683787.000000,,,,,26978793257.000000,26978793257.000000,63890530.000000,27042683787.000000,67478279965.000000,,143195026475.000000,74157263592.000000,11710909781.000000,300000000.000000,11410909781.000000,11710909781.000000,,-4590985.000000,229058608863.000000,296536888828.000000,5727801059.000000
12M 2024,,,9027932129.000000,863324149.000000,,863324149.000000,863324149.000000,124986059438.000000,4608840727.000000,139486156443.000000,,,,,141503479905.000000,4031773907.000000,22356566.000000,67490533.000000,11010542415.000000,156635643326.000000,296121799769.000000,,,36406156932.000000,,,1999877817.000000,1999877817.000000,1139147030.000000,326132227.000000,,11100365178.000000,11100365178.000000,21840634680.000000,36406156932.000000,22314748832.000000,,,,,22213128079.000000,22213128079.000000,101620753.000000,22314748832.000000,58720905764.000000,,143195804875.000000,74160377192.000000,20045030663.000000,400000000.000000,19645030663.000000,20045030663.000000,,-318725.000000,237400894005.000000,296121799769.000000,5727801059.000000
