Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,4 B,(33 B),(29 B),-1192604.07
12M 2018,18 B,(21 B),(3 B),-3.70
12M 2019,(27 B),(43 B),(70 B),-79.95
12M 2020,49 B,(13 B),35 B,40.36
12M 2021,100 B,(25 B),75 B,86.21
12M 2022,102 B,(31 B),71 B,81.67
12M 2023,101 B,(37 B),65 B,74.41
12M 2024,93 B,(38 B),55 B,62.68
