Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Pembayaran Untuk Pajak Penghasilan Dan Pajak Pertambahan Nilai,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Penambahan Investasi Saham,Penjualan Pada Entitas Asosiasi,Perolehan Aset Takberwujud,Setoran Modal Kepentingan Non-Pengendali - Entitas Anak,Uang Muka Pelepasan Entitas Anak,Pelepasan Entitas Anak,Dividen,Perubahan Pada Entitas Anak,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Dividen Tunai,Penambahan Utang Lain-Lain,Deposito Berjangka,Penerimaan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Setoran Modal Saham,Perolehan Dari Penawaran Umum Perdana Setelah Dikurangi Biaya Emisi Saham,Penambahan Modal Saham Melalui Pmthmetd,Penemrimaan (Pembayaran) Piutang Lain-Lain – Pihak Ketiga,Pembayaran Utang Pihak Berelasi,Penambahan Utang Pihak Berelasi,Pembayaran Liabilitas Sewa,Pembayaran Utang Lain-Lain Pihak Ketiga,Setoran Modal Kepentingan Pihak Non Pengendali,Modal Disetor Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dikurangi Saldo Akhir Tahun Kas Dan Bank Milik Pt Mitra Perintis Merdeka,Dikurangi Saldo Akhir Tahun Kas Dan Bank Milik Pt Maxindo Global Internusa,Penurunan Kas Dan Bank Akibat Pelepasan Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,4211698710.000000,389877134147.000000,-187226632273.000000,-90469509076.000000,-86875695710.000000,-10117097781.000000,10226486860.000000,-2119953681.000000,-19310323555.000000,227289779.000000,4211698710.000000,-32316692253.000000,,-32834196367.000000,,,-411000000.000000,,,,,,928504114.000000,-32316692253.000000,26142473290.000000,266376870410.000000,-234916594961.000000,,,-147382191.000000,1192239864.000000,-378594223.000000,,,,,-23931730156.000000,18131057627.000000,,,,-183393080.000000,26142473290.000000,-1962520253.000000,,,,6729681920.000000,4767161667.000000
12M 2018,17731075863.000000,453798972480.000000,-218997997620.000000,-105056977706.000000,-76932645462.000000,-16177576590.000000,1427182252.000000,-8797540186.000000,-11891440365.000000,359099060.000000,17731075863.000000,-31000322747.000000,-1688065619.000000,-20681507129.000000,-8999000000.000000,,-12749999.000000,,,,,,381000000.000000,-31000322747.000000,39937253186.000000,204808418235.000000,-217722523579.000000,-80151111110.000000,,-139904604.000000,1011246000.000000,-593581588.000000,59760000000.000000,56544689186.000000,,,-38689929198.000000,55109949844.000000,,,,,39937253186.000000,26668006302.000000,,,,4767161667.000000,31435167969.000000
12M 2019,-27062472579.000000,571942086490.000000,-286401025662.000000,-128115739037.000000,-133389703277.000000,-12771975951.000000,424650730.000000,-18123420754.000000,-20887549710.000000,260204592.000000,-27062472579.000000,-62651932421.000000,-708530930.000000,-42508547480.000000,,,-30553341898.000000,10950000000.000000,,,,,168487887.000000,-62651932421.000000,71311160694.000000,259877801723.000000,-246323691725.000000,,39000000000.000000,2920602795.000000,,-656544143.000000,,,31756421452.000000,,-19386678301.000000,4123248893.000000,,,,,71311160694.000000,-18403244306.000000,-268652033.000000,,,31435167969.000000,12763271630.000000
12M 2020,48582081313.000000,366252584929.000000,-145194533735.000000,-110081784534.000000,-32411302609.000000,-21857095496.000000,1264862228.000000,-3604518140.000000,-5845086882.000000,58955552.000000,48582081313.000000,-8391841930.000000,-8074749370.000000,-13461452906.000000,,,,,10600000000.000000,,,,2544360346.000000,-8391841930.000000,-43000656494.000000,73973944900.000000,-69216897856.000000,,-4874186272.000000,,,-487416991.000000,,,,,-4650252632.000000,2410000000.000000,-40155847643.000000,,,,-43000656494.000000,-2810417111.000000,,,,12763271630.000000,9952854519.000000
12M 2021,99605926361.000000,465505912763.000000,-188135495586.000000,-108992512070.000000,-50806924671.000000,-20889068110.000000,7664614158.000000,-3330719823.000000,-1433525014.000000,23644714.000000,99605926361.000000,-24997610837.000000,-3483609044.000000,-24591916178.000000,,,,,,,,2650000000.000000,427914385.000000,-24997610837.000000,-77765603203.000000,193415954896.000000,-188275731606.000000,,-34165780464.000000,,,-353298235.000000,,,,,-13850000000.000000,13001816468.000000,-47538564262.000000,,,,-77765603203.000000,-3157287679.000000,,,-346020755.000000,9952854519.000000,6449546085.000000
12M 2022,102017251088.000000,664337122875.000000,-305854115580.000000,-150952040476.000000,-73905744226.000000,-18874650664.000000,2590374027.000000,-2181982683.000000,-13403382834.000000,261670649.000000,102017251088.000000,-40543576400.000000,-990000000.000000,-30954275175.000000,,1500000000.000000,-990990991.000000,,,,-9267326241.000000,,159016007.000000,-40543576400.000000,-63012895127.000000,212792468726.000000,-193520282704.000000,,-10658654352.000000,,,-372199765.000000,,,,,-39969221053.000000,33000000000.000000,-64285005979.000000,,,,-63012895127.000000,-1539220439.000000,,,,6449546085.000000,4910325646.000000
12M 2023,101276086543.000000,722915637672.000000,-284150783020.000000,-174466113421.000000,-130896248081.000000,-18060561628.000000,3316264015.000000,-2115247684.000000,-15280083922.000000,13222612.000000,101276086543.000000,-39765649937.000000,-70650002.000000,-36526849008.000000,,,-3511504453.000000,,,,,,343353526.000000,-39765649937.000000,-61803022603.000000,233334749867.000000,-234461953004.000000,-18221324892.000000,17850926001.000000,,,-453111395.000000,,,,,-5050000000.000000,12650000000.000000,-60352309180.000000,-7500000000.000000,400000000.000000,,-61803022603.000000,-292585997.000000,,,,4910325646.000000,4617739649.000000
12M 2024,92620371189.000000,717081040030.000000,-296710500432.000000,-167374461598.000000,-124247559763.000000,-23183660153.000000,1331119445.000000,-2246756863.000000,-12041335269.000000,12485792.000000,92620371189.000000,-42068077750.000000,,-38074029931.000000,,,-4086674396.000000,,,,,,92626577.000000,-42068077750.000000,-47429199015.000000,298761805010.000000,-248569124505.000000,-14053269370.000000,,,,-294546999.000000,,,,,-22000000000.000000,,-50620575351.000000,-11153486800.000000,499999000.000000,,-47429199015.000000,3123094424.000000,,,,4617739649.000000,7740834073.000000
