Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2017,0.00,5655171.92,0.00,5655171.92,65 B,9 B,74 B,70 B,94 B
12M 2018,1.92,265.79,1.92,265.79,58 B,4 B,62 B,30 B,154 B
12M 2019,1.47,338.46,1.64,303.03,65 B,9 B,75 B,62 B,208 B
12M 2020,1.34,290.11,1.53,254.84,68 B,11 B,79 B,69 B,101 B
12M 2021,1.27,326.10,1.42,290.99,70 B,15 B,84 B,78 B,122 B
12M 2022,3.09,398.59,3.39,362.34,95 B,9 B,104 B,99 B,176 B
12M 2023,2.57,431.73,2.85,390.06,87 B,16 B,102 B,98 B,187 B
12M 2024,1.94,425.04,2.15,382.86,124 B,29 B,153 B,145 B,175 B
