Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pelunasan Pembiayaan Konsumen Dan Anjak Piutang,Pembayaran Untuk Pembiayaan Konsumen,"Penerimaan Dari Pendapatan Pembiayaan Konsumen, Anjak Piutang Dan Sewa",Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Operasional Dan Pihak Ketiga,Pembayaran Pajak Penghasilan,Pengembalian Pajak,Pembayaran Bunga Pinjaman,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Properti Investasi,Hasil Penjualan Aset Tetap,Pendapatan Dividen,Pendapatan Dividen Dari Entitas Asosiasi,Pengembalian Dividen Kepada Entitas Asosiasi Di Entitas Anak,Penambahan Investasi Lainnya,Penambahan Investasi Ventura Bersama,Penambahan Investasi Di Entitas Anak,Penambahan Investasi Di Entitas Asosiasi,Hasil Penjualan Investasi Pada Entitas Anak/Asosiasi,Hasil Penjualan Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Dan Lembaga Keuangan - Jangka Pendek,Penerimaan Pinjaman Bank Dan Lembaga Keuangan - Jangka Panjang,Pembayaran Pinjaman Bank Dan Lembaga Keuangan - Jangka Pendek,Pembayaran Pinjaman Bank Dan Lembaga Keuangan - Jangka Panjang,Penerimaan Dari Penawaran Umum Perdana Saham,Pembayaran Biaya Penerbitan Saham,Pembayaran Dividen,Setoran Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Pelepasan Entitas Anak,Kas Dan Setara Kas Dari Akuisisi Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-369830984502.000000,5883827428351.000000,-5610498729751.000000,,-3503706873563.000000,3930440714822.000000,-366567270768.000000,-577945346371.000000,-34409856653.000000,,-90971050569.000000,-369830984502.000000,-87337157861.000000,-106875844206.000000,-2511391016.000000,,-59824909743.000000,77557804352.000000,3768013115.000000,,,,,,,549169637.000000,,-87337157861.000000,518701391586.000000,7245336588810.000000,,-6674139015393.000000,,,,-151641212225.000000,99145030394.000000,518701391586.000000,61533249223.000000,-49479398.000000,,,147688657022.000000,209172426847.000000
12M 2017,-1333968722730.000000,5924416391275.000000,-6086689653768.000000,,-4884621399887.000000,4593411698393.000000,-397481745810.000000,-283126674943.000000,-115145964729.000000,,-84731373261.000000,-1333968722730.000000,-192977753708.000000,-206471287702.000000,-455099976.000000,,-31528109601.000000,40181360920.000000,5295382651.000000,,,,,,,,,-192977753708.000000,1609795363043.000000,4471573025331.000000,,-3064970457684.000000,,262500000000.000000,-9807204604.000000,-49500000000.000000,,1609795363043.000000,82848886605.000000,15099012.000000,,,209172426847.000000,292036412464.000000
12M 2018,-615661261722.000000,7046895886397.000000,-7028655655140.000000,,-3873703699936.000000,4252035124710.000000,-463254342300.000000,-338276503744.000000,-110602222270.000000,,-100099849439.000000,-615661261722.000000,-234798852367.000000,-232714542981.000000,-5889936073.000000,,,23519507976.000000,16301487717.000000,,-7015369006.000000,,,-29000000000.000000,,,,-234798852367.000000,766317323931.000000,10397045610040.000000,,-9570728286109.000000,,,,-60000000000.000000,,766317323931.000000,-84142790158.000000,125729149.000000,,,292036412464.000000,208019351455.000000
12M 2019,1650843115054.000000,6526136371832.000000,-5766576953534.000000,,-759211183150.000000,2800172443717.000000,-452440237279.000000,-505997315963.000000,-83367051952.000000,,-107872958617.000000,1650843115054.000000,-307806307480.000000,-261581452800.000000,-5608512920.000000,-89153290647.000000,-1589852457.000000,27122704532.000000,20802758246.000000,375000000.000000,,,-3746091999.000000,,-12927569435.000000,18500000000.000000,,-307806307480.000000,-1322099780108.000000,8167134904312.000000,,-9489234684420.000000,,,,,,-1322099780108.000000,20937027466.000000,-78235756.000000,,,208019351455.000000,228878143165.000000
12M 2020,1055137130286.000000,4477325245668.000000,-4976989619036.000000,,-123126755800.000000,2687586163175.000000,-349895069306.000000,-508037065713.000000,-46650401634.000000,,-105075367068.000000,1055137130286.000000,-129775166655.000000,-204720065419.000000,-3568763170.000000,,-1520690381.000000,58324477416.000000,26410685251.000000,,,,-797999972.000000,,-3902810380.000000,,,-129775166655.000000,-717676257269.000000,2606312261739.000000,,-3323988519008.000000,,,,,,-717676257269.000000,207685706362.000000,27155800.000000,,24377643034.000000,228878143165.000000,460968648361.000000
12M 2021,611383901179.000000,5131336030315.000000,-4334229795787.000000,,,703402393847.000000,-303763258640.000000,-389524968071.000000,-46699032730.000000,,-149137467755.000000,611383901179.000000,105182779293.000000,-12752750690.000000,-3984337330.000000,,-68320000.000000,126318235069.000000,,,,,,,-4330047756.000000,,,105182779293.000000,-742953575776.000000,2058391168285.000000,,-2801344744061.000000,,,,,,-742953575776.000000,-26386895304.000000,15570000.000000,,,460968648361.000000,434597323057.000000
12M 2022,425399962285.000000,5482359824432.000000,-4839427081757.000000,,,293678756591.000000,-238139851368.000000,-107624518570.000000,-53539920699.000000,,-111907246344.000000,425399962285.000000,326174460207.000000,-74589165720.000000,,,-13615640684.000000,98788486161.000000,,,,,,,,75232990700.000000,240357789750.000000,326174460207.000000,-750323909079.000000,2564261804430.000000,,-3314585713509.000000,,,,,,-750323909079.000000,1250513413.000000,113760000.000000,,,434597323057.000000,435961596470.000000
12M 2023,304809665198.000000,6410267988393.000000,-5539398474223.000000,,,2026986661.000000,-215488665499.000000,-74466047533.000000,-199894691329.000000,5193274338.000000,-83430705610.000000,304809665198.000000,92015918874.000000,-35664455641.000000,,,-7083000000.000000,95650604461.000000,39112770054.000000,,,,,,,,,92015918874.000000,-368274583954.000000,2535313854705.000000,430000000000.000000,-2566632293850.000000,-766956144809.000000,,,,,-368274583954.000000,28551000118.000000,-28350000.000000,,,435961596470.000000,464484246588.000000
12M 2024,114044855315.000000,6184928124776.000000,-5599462862088.000000,,,796943162.000000,-241748011007.000000,-40585250886.000000,-139355848029.000000,6984971784.000000,-57513212397.000000,114044855315.000000,-87612702512.000000,-135552808027.000000,,,,14428729841.000000,33511375674.000000,,,,,,,,,-87612702512.000000,-138736487512.000000,2367087257689.000000,5399258640.000000,-2364707821953.000000,-146515181888.000000,,,,,-138736487512.000000,-112304334709.000000,12850230.000000,,,464484246588.000000,352192762109.000000
