Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kas Pada Operasional Lain,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Pendapatan Bunga,Pembayaran Bunga,Penerimaan Lainnya,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Dampak Penambahan Investasi Saham,Pelepasan Investasi Keuangan,Penambahan Investasi Keuangan,Pelepasan Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembayaran Tambahan Modal Disetor,Penerimaan Tambahan Modal Disetor,Emisi Saham,Penerimaan Agio Saham,Penerimaan Komponen Ekuitas Lain,Penerimaan Utang Pembiayaan Jangka Pendek,Pembayaran Utang Pembiayaan Jangka Pendek,Penerimaan Utang Pembiayaan,Pembayaran Utang Pembiayaan,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank,Penerimaan Dari Utang Bank,Pembayaran Piutang Kepada Pihak Berelasi,Penerimaan Dari Piutang Pihak Berelasi,Pembayaran Kepada Utang Pihak Berelasi,Penerimaan Dari Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-94144390476.000000,1123220921096.000000,-940536023803.000000,-137343273671.000000,-42175276014.000000,-24606430478.000000,619926318.000000,-69065342202.000000,1958699018.000000,-6217590740.000000,-94144390476.000000,-3557822322.000000,-3557822322.000000,,,,,,-3557822322.000000,96599530640.000000,-40904698611.000000,,,,,,,,,-290124670.000000,,,-1429864466211.000000,1499939363901.000000,-78592827401.000000,235188288379.000000,-92123363564.000000,3247358817.000000,96599530640.000000,-1102682158.000000,61235926211.000000,60133244053.000000
12M 2019,239341339659.000000,1338837453840.000000,-790199901927.000000,-165636466930.000000,-28927143576.000000,-31830138116.000000,525859861.000000,-68222313812.000000,2153289850.000000,-17359299531.000000,239341339659.000000,-85635607192.000000,-53202607192.000000,217000000.000000,,,-34900000000.000000,2250000000.000000,-85635607192.000000,-155262073098.000000,-46047643324.000000,,,,,,,,871370768.000000,-1158431778.000000,,,-1601273043516.000000,1484279111862.000000,-101314132447.000000,112628054154.000000,-236518240338.000000,233270881521.000000,-155262073098.000000,-1556340631.000000,60133244053.000000,58576903422.000000
12M 2020,231452703288.000000,1391307038208.000000,-873608051996.000000,-181909566574.000000,-32353269822.000000,-15609667526.000000,3872797072.000000,-55178460988.000000,578677294.000000,-5646792380.000000,231452703288.000000,-67244513643.000000,-65760530317.000000,179700000.000000,-2063683326.000000,400000000.000000,,,-67244513643.000000,-176488220327.000000,-52787500000.000000,,93000000000.000000,-3469102032.000000,,,1992382626.000000,-2128222630.000000,2418079028.000000,-1399605946.000000,710520347144.000000,-898673369935.000000,-729495010040.000000,703533781458.000000,,,,,-176488220327.000000,-12280030682.000000,58576903422.000000,46296872740.000000
12M 2021,-33523347183.000000,1930200809223.000000,-1595278025439.000000,-189638914345.000000,-80406933417.000000,-69228194420.000000,3965961993.000000,-42066844267.000000,15843835588.000000,-6915042099.000000,-33523347183.000000,-31958824942.000000,-32038824942.000000,80000000.000000,,,,,-31958824942.000000,119008878425.000000,-89277500000.000000,,,,,,899042722.000000,-1105172039.000000,742264000.000000,-1656561534.000000,2501240928691.000000,-2301340247164.000000,-30993876251.000000,,,,,40500000000.000000,119008878425.000000,53526706300.000000,46296872740.000000,99823579040.000000
12M 2022,93102084321.000000,3833431136715.000000,-3127746188418.000000,-302258154194.000000,-38611252383.000000,-155237652461.000000,5267517470.000000,-81776480705.000000,3428506215.000000,-43395347918.000000,93102084321.000000,-93315260778.000000,-93947247985.000000,631987207.000000,,,,,-93315260778.000000,211544495819.000000,-85573019744.000000,,,,,,1875672502.000000,-2380803492.000000,4139866615.000000,-1875672502.000000,3336165984364.000000,-3806679300624.000000,-10314630219.000000,816686398919.000000,,,-40500000000.000000,,211544495819.000000,211331319362.000000,99823579040.000000,311154898402.000000
12M 2023,77381363245.000000,4227058797026.000000,-3472161844419.000000,-408735031188.000000,-41518170424.000000,-139619803028.000000,4027970345.000000,-76737481801.000000,6151072254.000000,-21084145520.000000,77381363245.000000,-20565755971.000000,-41802692909.000000,536936938.000000,,20700000000.000000,,,-20565755971.000000,-202614231303.000000,-159671502855.000000,,,,,,5497763811.000000,-3751379126.000000,14017810236.000000,-6040882065.000000,4004484055776.000000,-4058915400112.000000,-129314630216.000000,131079933248.000000,,,,,-202614231303.000000,-145798624029.000000,311154898402.000000,165356274373.000000
12M 2024,317610762031.000000,4156886140415.000000,-3175171435320.000000,-514498615782.000000,-40831546762.000000,-588751497.000000,2368584914.000000,-92880640981.000000,2847314643.000000,-20520287599.000000,317610762031.000000,-187108634015.000000,-201106832214.000000,198198199.000000,,13800000000.000000,,,-187108634015.000000,-229282263598.000000,-216680519975.000000,,,,,,1301089903.000000,-5118704123.000000,10026701803.000000,-5494076763.000000,4825813926654.000000,-4940739827853.000000,-12114630216.000000,113723776972.000000,,,,,-229282263598.000000,-98780135582.000000,165356274373.000000,66576138791.000000
