Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,1204258375180.0,-849601460649.0,354656914531.0,-174096527462.0,-113737544524.0,-56100091216.0,-4258891722.0,-174096527462.0,180560387069.0,-68445415884.0,619926318.0,-69065342202.0,-68445415884.0,112114971185.0,-26374207439.0,-26821516239.0,447308800.0,-26374207439.0,85740763746.0,1172807413.0,86913571159.0,85740763746.0,81531794256.0,4208969490.0,85740763746.0,86913571159.0,82689514823.0,4224056336.0,86913571159.0
12M 2019,1282790625871.0,-922046621491.0,360744004380.0,-181672459703.0,-110861724381.0,-55794125730.0,-15016609592.0,-181672459703.0,179071544677.0,-67696453951.0,525859861.0,-68222313812.0,-67696453951.0,111375090726.0,-24544283116.0,-27913632000.0,3369348884.0,-24544283116.0,86830807610.0,-639790952.0,86191016658.0,86830807610.0,82117415140.0,4713392470.0,86830807610.0,86191016658.0,81504706440.0,4686310218.0,86191016658.0
12M 2020,1409226181520.0,-1016741016577.0,392485164943.0,-190792567781.0,-136487163121.0,-49416989574.0,-4888415086.0,-190792567781.0,201692597162.0,-51305663916.0,3872797072.0,-55178460988.0,-51305663916.0,150386933246.0,-32521134340.0,-32344213380.0,-176920960.0,-32521134340.0,117865798906.0,341648872.0,118207447778.0,117865798905.0,113829452154.0,4036346751.0,117865798905.0,118207447777.0,114134720704.0,4072727073.0,118207447777.0
12M 2021,1852362345299.0,-1377675973614.0,474686371685.0,-218078212603.0,-167832396021.0,-59254610070.0,9008793488.0,-218078212603.0,256608159082.0,-38100882273.0,3965961994.0,-42066844267.0,-38100882273.0,218507276809.0,-47361237321.0,-46878223480.0,-483013841.0,-47361237321.0,171146039488.0,-241254062.0,170904785426.0,171146039488.0,165349355719.0,5796683769.0,171146039488.0,170904785426.0,165153928528.0,5750856898.0,170904785426.0
12M 2022,3689403867254.0,-2802447155031.0,886956712223.0,-368900338371.0,-267706201995.0,-61565555321.0,-39628581055.0,-368900338371.0,518056373852.0,-76508963235.0,5267517470.0,-81776480705.0,-76508963235.0,441547410617.0,-95555099159.0,-96642393320.0,1087294161.0,-95555099159.0,345992311458.0,8624066.0,346000935524.0,345992311457.0,334149305747.0,11843005710.0,345992311457.0,346000935524.0,334173382931.0,11827552593.0,346000935524.0
12M 2023,4463507984781.0,-3368353247154.0,1095154737627.0,-485479885102.0,-385866338362.0,-85136872318.0,-14476674422.0,-485479885102.0,609674852525.0,-72709511456.0,4027970345.0,-76737481801.0,-72709511456.0,536965341069.0,-116887940411.0,-118865457260.0,1977516849.0,-116887940411.0,420077400658.0,-649272509.0,419428128149.0,420077400658.0,406351639859.0,13725760799.0,420077400658.0,419428128149.0,405723702291.0,13704425858.0,419428128149.0
12M 2024,4797559081178.0,-3616258016133.0,1181301065045.0,-582328315876.0,-472608557127.0,-92244983993.0,-17474774756.0,-582328315876.0,598972749169.0,-90512056067.0,2368584914.0,-92880640981.0,-90512056067.0,508460693102.0,-111645334618.0,-114442499600.0,2797164982.0,-111645334618.0,396815358484.0,1736562624.0,398551921108.0,396815358484.0,378864743920.0,17950614564.0,396815358484.0,398551921108.0,380539867372.0,18012053736.0,398551921108.0
