Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,1293788488235.000000,,,795986861272.000000,787298830910.000000,8688030362.000000,795986861272.000000,38815251717.000000,7870960933.000000,30944290784.000000,38815251717.000000,1143189103389.000000,63478267509.000000,3335257972122.000000,,265673338344.000000,1406585025696.000000,,,45074879991.000000,1717333244031.000000,5052591216153.000000,,,556115342299.000000,,,158679936287.000000,163151320402.000000,321831256689.000000,,28566565459.000000,14224510.000000,28580789969.000000,97963011385.000000,103180938561.000000,,,,4559345695.000000,556115342299.000000,86367564513.000000,396981147.000000,85970583366.000000,86367564513.000000,642482906812.000000,,557535556000.000000,2208573270799.000000,1490264125355.000000,,,1490264125355.000000,2192262.000000,153733164925.000000,4410108309341.000000,5052591216153.000000,557535556.000000
12M 2019,,,855450153856.000000,,,937888837102.000000,929068514098.000000,8820323004.000000,937888837102.000000,41214692724.000000,11475299025.000000,29739393699.000000,41214692724.000000,1148460084861.000000,112093315131.000000,3095107083674.000000,,283928636719.000000,1499803493873.000000,,,68589875981.000000,1852322006573.000000,4947429090247.000000,,,634084466889.000000,,,198929392245.000000,193387268563.000000,392316660808.000000,,36475340087.000000,1056232284.000000,37531572371.000000,82234071744.000000,117224761705.000000,,,,4777400261.000000,634084466889.000000,94233303430.000000,7810543023.000000,86422760407.000000,94233303430.000000,728317770319.000000,,557535556000.000000,2208573270799.000000,1249632561727.000000,,,1249632561727.000000,2480307.000000,203367451095.000000,4219111319928.000000,4947429090247.000000,557535556.000000
12M 2020,,,1361183696546.000000,,,1000638673834.000000,992501710177.000000,8136963657.000000,1000638673834.000000,45620107357.000000,11449962249.000000,34170145108.000000,45620107357.000000,1007154435763.000000,506903802224.000000,3921500715724.000000,,282846135094.000000,1523899890223.000000,,,142637793937.000000,1949383819254.000000,5870884534978.000000,,,1022577796449.000000,,,247258991402.000000,241626298850.000000,488885290252.000000,,29709191920.000000,601420631.000000,30310612551.000000,180436316565.000000,277927602915.000000,,27700315968.000000,27700315968.000000,17317658198.000000,1022577796449.000000,163672349450.000000,9013949930.000000,154658399520.000000,163672349450.000000,1186250145899.000000,,557535556000.000000,2208573270799.000000,1685779715294.000000,,1685779715294.000000,1685779715294.000000,2556229.000000,232743290757.000000,4684634389079.000000,5870884534978.000000,557535556.000000
12M 2021,,,1288214014542.000000,,,1166024009679.000000,1150535224115.000000,15488785564.000000,1166024009679.000000,108237433005.000000,80472088405.000000,27765344600.000000,108237433005.000000,1446353444232.000000,4877610087338.000000,8886438988796.000000,,295640496098.000000,1551223623874.000000,,,140457127812.000000,1987321247784.000000,10873760236580.000000,,,1339681209150.000000,670857472.000000,,476678430445.000000,292070007248.000000,768748437693.000000,,41284584474.000000,14374360456.000000,55658944930.000000,140135933498.000000,323481271887.000000,,24576574151.000000,24576574151.000000,26409189519.000000,1339681209150.000000,118459095488.000000,19692213481.000000,98766882007.000000,118459095488.000000,1458140304638.000000,,619535556000.000000,7793217601930.000000,770393304224.000000,112000000000.000000,658393304224.000000,770393304224.000000,3430913456.000000,229042556332.000000,9415619931942.000000,10873760236580.000000,61953555600.000000
12M 2022,,,2170720000000.000000,3100000000.000000,,1073653000000.000000,1062461000000.000000,11192000000.000000,1073653000000.000000,103562000000.000000,67602000000.000000,35960000000.000000,103562000000.000000,1447229000000.000000,3918451000000.000000,8716715000000.000000,,285986000000.000000,1588086000000.000000,23369000000.000000,5547000000.000000,172419000000.000000,2075407000000.000000,10792122000000.000000,,,1108163000000.000000,7229000000.000000,,330613000000.000000,243304000000.000000,573917000000.000000,,12824000000.000000,75000000.000000,12899000000.000000,112399000000.000000,257448000000.000000,,50397000000.000000,50397000000.000000,93874000000.000000,1108163000000.000000,109074000000.000000,38350000000.000000,70724000000.000000,109074000000.000000,1217237000000.000000,,619536000000.000000,7793218000000.000000,1055790000000.000000,124000000000.000000,931790000000.000000,1055790000000.000000,4779000000.000000,101562000000.000000,9574885000000.000000,10792122000000.000000,61953555600.000000
12M 2023,,,1230544000000.000000,2100000000.000000,1740000000000.000000,1243043000000.000000,1229025000000.000000,14018000000.000000,1243043000000.000000,105869000000.000000,49331000000.000000,56538000000.000000,105869000000.000000,1519549000000.000000,3116320000000.000000,8957425000000.000000,,290113000000.000000,1659163000000.000000,25808000000.000000,43878000000.000000,190600000000.000000,2209562000000.000000,11166987000000.000000,,,1175130000000.000000,5222000000.000000,,371337000000.000000,279321000000.000000,650658000000.000000,,30450000000.000000,121000000.000000,30571000000.000000,52584000000.000000,301835000000.000000,,10965000000.000000,10965000000.000000,123295000000.000000,1175130000000.000000,70368000000.000000,,70368000000.000000,70368000000.000000,1245498000000.000000,,619536000000.000000,7793218000000.000000,1334978000000.000000,124000000000.000000,1210978000000.000000,1334978000000.000000,7122000000.000000,166635000000.000000,9921489000000.000000,11166987000000.000000,61953555600.000000
12M 2024,,,2329491000000.000000,3000000000.000000,,1461737000000.000000,1445418000000.000000,16319000000.000000,1461737000000.000000,128703000000.000000,45420000000.000000,83283000000.000000,128703000000.000000,1558203000000.000000,3012228000000.000000,8493362000000.000000,,290510000000.000000,1930297000000.000000,28734000000.000000,36144000000.000000,281928000000.000000,2567613000000.000000,11060975000000.000000,,,1351585000000.000000,9189000000.000000,,424760000000.000000,362941000000.000000,787701000000.000000,,24136000000.000000,487000000.000000,24623000000.000000,72123000000.000000,252661000000.000000,,64777000000.000000,64777000000.000000,140511000000.000000,1351585000000.000000,77510000000.000000,,77510000000.000000,77510000000.000000,1429095000000.000000,,619536000000.000000,7793218000000.000000,1651177000000.000000,124000000000.000000,1527177000000.000000,1651177000000.000000,6487000000.000000,-438538000000.000000,9631880000000.000000,11060975000000.000000,61953555600.000000
