Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,171557472303.000000,-126411353960.000000,45146118343.000000,-21923809088.000000,-10284007844.000000,-11639801244.000000,-21923809088.000000,23222309255.000000,-8026990832.000000,-7971563037.000000,-55427795.000000,-8026990832.000000,15195318423.000000,-3953304860.000000,-4011074133.000000,57769273.000000,-3953304860.000000,,11242013563.000000,-45229299.000000,11196784264.000000,11242013563.000000,11242013563.000000,,11242013563.000000,11196784264.000000,11196784264.000000,,11196784264.000000
12M 2020,146671339705.000000,-118007852273.000000,28663487432.000000,-20801224829.000000,-9478975842.000000,-11322248987.000000,-20801224829.000000,7862262603.000000,-7319403618.000000,-7602690194.000000,283286576.000000,-7319403618.000000,542858985.000000,-123253976.000000,-268336643.000000,145082667.000000,-123253976.000000,,419605009.000000,541525439.000000,961130448.000000,419605009.000000,419605009.000000,,419605009.000000,961130448.000000,961130448.000000,,961130448.000000
12M 2021,127324115086.000000,-107748314704.000000,19575800382.000000,-16485173342.000000,-7803009300.000000,-8682164042.000000,-16485173342.000000,3090627040.000000,-18029974507.000000,-9310887653.000000,-8719086854.000000,-18029974507.000000,-14939347467.000000,1745093818.000000,-90955700.000000,1836049518.000000,1745093818.000000,,-13194253649.000000,2992836718.000000,-10201416931.000000,-13194253649.000000,-13194253649.000000,,-13194253649.000000,-10201416931.000000,-10201416931.000000,,-10201416931.000000
12M 2022,138896182203.000000,-114876305456.000000,24019876747.000000,-13516811124.000000,-7798454528.000000,-5718356596.000000,-13516811124.000000,10503065623.000000,-8133159602.000000,-7631416155.000000,-501743447.000000,-8133159602.000000,2369906021.000000,486520045.000000,139336995.000000,347183050.000000,486520045.000000,,2856426066.000000,53827595.000000,2910253661.000000,2856426066.000000,2856426066.000000,,2856426066.000000,2910253661.000000,2910253661.000000,,2910253661.000000
12M 2023,60435433392.000000,-53466236726.000000,6969196666.000000,-8872124550.000000,-4327863296.000000,-4544261254.000000,-8872124550.000000,-1902927884.000000,-13357027896.000000,-6506721039.000000,-6850306857.000000,-13357027896.000000,-15259955780.000000,1636858356.000000,,1636858356.000000,1636858356.000000,,-13623097424.000000,587669356.000000,-13035428068.000000,-13623097424.000000,-13623097424.000000,,-13623097424.000000,-13035428068.000000,-13035428068.000000,,-13035428068.000000
