Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,1.8,1.0,0.89,2.1,0.0,0.0,0.87,0.42,1.1
12M 2020,3.64,2.64,0.3,1.38,0.0,0.0,0.3,0.22,0.38
12M 2021,3.47,2.56,0.32,1.41,0.0,0.0,0.31,0.23,0.41
12M 2022,3.54,2.58,0.32,1.39,0.0,0.0,0.31,0.23,0.39
12M 2023,3.24,2.16,0.35,1.44,0.0,0.0,0.34,0.24,0.44
