Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Modal Saham,Tambahan Modal Disetor,Penerimaan (Pembayaran) Utang Bank,Penerimaan (Pembayaran) Utang Pihak Berelasi,Pembayaran Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-17776253405.000000,143394160270.000000,-152882728655.000000,-7971563037.000000,-316121983.000000,-17776253405.000000,-2500000000.000000,-2500000000.000000,-2500000000.000000,20159453634.000000,,22819406611.000000,-4260099315.000000,2180584389.000000,-580438051.000000,20159453634.000000,-116799771.000000,-12488150.000000,2056195762.000000,1926907841.000000
12M 2020,-188018341527.000000,112024161479.000000,-294930618928.000000,-7910275049.000000,2798390971.000000,-188018341527.000000,-1064807.000000,-1064807.000000,-1064807.000000,188083698646.000000,,182929593389.000000,5154105257.000000,,,188083698646.000000,64292312.000000,26485410.000000,1926907841.000000,2017685563.000000
12M 2021,-1394104768.000000,121878850087.000000,-113885527319.000000,-9310887653.000000,-76539883.000000,-1394104768.000000,,,,2067956649.000000,,,2067956649.000000,,,2067956649.000000,673851881.000000,-16576787.000000,2017685563.000000,2674960657.000000
12M 2022,1675731220.000000,138957803317.000000,-129649110382.000000,-7514493832.000000,-118467883.000000,1675731220.000000,,,,-2105150278.000000,,71200.000000,-2105221478.000000,,,-2105150278.000000,-429419058.000000,88190046.000000,2674960656.000000,2333731644.000000
12M 2023,-1361123804.000000,37034072872.000000,-37206799839.000000,-1055124445.000000,-133272392.000000,-1361123804.000000,,,,37499283.000000,,,37499283.000000,,,37499283.000000,-1323624521.000000,-17374753.000000,2333731643.000000,992732369.000000
