Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.39,129.43,0.39,129.35,17 B,0 B,17 B,15 B,16 B
12M 2009,0.81,136.48,0.81,136.41,16 B,0 B,16 B,13 B,24 B
12M 2010,0.88,144.32,0.88,144.26,9 B,0 B,10 B,6 B,31 B
12M 2011,1.14,153.99,1.14,153.94,15 B,1 B,16 B,12 B,38 B
12M 2012,1.08,163.91,1.08,163.79,22 B,7 B,30 B,24 B,40 B
12M 2013,0.84,175.49,0.84,175.34,32 B,18 B,51 B,43 B,26 B
12M 2014,0.75,180.46,0.75,180.28,37 B,11 B,48 B,45 B,30 B
12M 2015,0.59,189.17,0.59,188.99,29 B,4 B,33 B,30 B,36 B
12M 2016,1.01,197.18,1.02,197.00,27 B,1 B,28 B,26 B,45 B
12M 2017,0.90,203.44,0.90,203.25,10 B,1 B,10 B,10 B,56 B
12M 2018,0.85,222.26,0.85,222.03,18 B,7 B,25 B,23 B,58 B
12M 2019,0.85,233.10,0.85,232.83,13 B,6 B,19 B,14 B,69 B
12M 2020,3.31,294.59,3.32,294.10,28 B,8 B,36 B,26 B,85 B
12M 2021,3.25,312.29,4.44,228.51,86 B,363 B,433 B,401 B,75 B
12M 2022,1.05,826.28,1.07,805.40,160 B,750 B,910 B,773 B,244 B
12M 2023,1.72,666.88,1.81,631.16,151 B,836 B,987 B,897 B,277 B
12M 2024,2.27,92.51,-1.52,-137.84,673 B,"3,194 B","3,867 B","3,515 B",335 B
