Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Beban Penelitian Dan Pengembangan,Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada
12M 2008,119580973204.000000,-41214798903.000000,78366174301.000000,-72208752774.000000,-57598113742.000000,-14610639032.000000,-72208752774.000000,6157421527.000000,-2511502216.000000,292837697.000000,31957199.000000,-1807950740.000000,-112068519.000000,,,,-916277853.000000,-2511502216.000000,3645919311.000000,-1337041982.000000,-1465709000.000000,128667018.000000,-1337041982.000000,2308877329.000000,,,,,,,,,2308877329.000000,2308877329.000000,,2308877329.000000
12M 2009,132000542048.000000,-47756682950.000000,84243859098.000000,-77414957303.000000,-58244045263.000000,-19170912040.000000,-77414957303.000000,6828901795.000000,-1398676440.000000,239075298.000000,10848598.000000,-1963214497.000000,108478861.000000,,,,206135300.000000,-1398676440.000000,5430225355.000000,-1657256996.000000,-1376102840.000000,-281154156.000000,-1657256996.000000,3772968359.000000,,,,,,,,,3772968359.000000,3772968359.000000,,3772968359.000000
12M 2010,140858442443.000000,-51083374401.000000,89775068042.000000,-84117071073.000000,-60039858080.000000,-24077212993.000000,-84117071073.000000,5657996969.000000,-20220414.000000,96181283.000000,10333453.000000,-1344497696.000000,85844137.000000,,,,1131918409.000000,-20220414.000000,5637776555.000000,-1438573602.000000,-1729311848.000000,290738246.000000,-1438573602.000000,4199202953.000000,,,,,,,,,4199202953.000000,4199202953.000000,,4199202953.000000
12M 2011,151094461045.000000,-49501431080.000000,101593029965.000000,-94588427012.000000,-63495034582.000000,-31093392430.000000,-94588427012.000000,7004602953.000000,80772642.000000,835435000.000000,65262897.000000,-991426940.000000,-110875204.000000,,,,282376889.000000,80772642.000000,7085375595.000000,-1913329915.000000,-2260192750.000000,346862835.000000,-1913329915.000000,5172045680.000000,,,,5172045680.000000,5172045680.000000,5172045680.000000,,5172045680.000000,5172045680.000000,5172045680.000000,,5172045680.000000
12M 2012,176730979672.000000,-61056242077.000000,115674737595.000000,-106776668559.000000,-82478900003.000000,-24297768556.000000,-106776668559.000000,8898069036.000000,-926114306.000000,295385267.000000,29311967.000000,-1882757817.000000,-201440133.000000,,,,833386410.000000,-926114306.000000,7971954730.000000,-2663733367.000000,-2704772500.000000,41039133.000000,-2663733367.000000,5308221363.000000,,,,5308221363.000000,5308221363.000000,5308221363.000000,,5308221363.000000,5308221363.000000,5308221363.000000,,5308221363.000000
12M 2013,192555731180.000000,-62125464282.000000,130430266898.000000,-120703444865.000000,-97197012676.000000,-23506432189.000000,-120703444865.000000,9726822033.000000,-1226893088.000000,307467156.000000,10452974.000000,-3215100408.000000,-781083147.000000,,3072797284.000000,-621426947.000000,,-1226893088.000000,8499928945.000000,-2304128607.000000,,,-2304128607.000000,6195800338.000000,,,,6195800338.000000,6195800338.000000,6195800338.000000,,6195800338.000000,6195800338.000000,6195800338.000000,,6195800338.000000
12M 2014,222302407528.000000,-80959311191.000000,141343096337.000000,-133968164888.000000,-104863515732.000000,-29104649156.000000,-133968164888.000000,7374931449.000000,-3168218930.000000,320558238.000000,7089310.000000,-5989504992.000000,-113894888.000000,,2853420904.000000,-245887502.000000,,-3168218930.000000,4206712519.000000,-1549047114.000000,,,-1549047114.000000,2657665405.000000,,,,2657665405.000000,2657665405.000000,2657665405.000000,,2657665405.000000,2657665405.000000,2657665405.000000,,2657665405.000000
12M 2015,217843921422.000000,-79859558081.000000,137984363341.000000,-128636387807.000000,-100187014461.000000,-28449373346.000000,-128636387807.000000,9347975534.000000,-4793044439.000000,312103082.000000,5862356.000000,-5586440483.000000,-725765528.000000,,,,1201196134.000000,-4793044439.000000,4554931095.000000,-1467826630.000000,,,-1467826630.000000,3087104465.000000,1038343426.000000,1038343426.000000,1038343426.000000,4125447891.000000,4125447891.000000,4125447891.000000,,4125447891.000000,3087104465.000000,3087104465.000000,,3087104465.000000
12M 2016,216951583953.000000,-81635830400.000000,135315753553.000000,-125093414588.000000,-96297408305.000000,-28796006283.000000,-125093414588.000000,10222338965.000000,-3168931796.000000,692203470.000000,4515534.000000,-3470406779.000000,,,,,-395244021.000000,-3168931796.000000,7053407169.000000,-1907090128.000000,,,-1907090128.000000,5146317041.000000,-859585811.000000,-859585811.000000,-859585811.000000,4286731230.000000,4286731230.000000,4286731230.000000,,4286731230.000000,5146317041.000000,5146317041.000000,,5146317041.000000
12M 2017,223002490278.000000,-88026695943.000000,134975794335.000000,-123160377592.000000,-89663552531.000000,-33496825061.000000,-123160377592.000000,11815416743.000000,-2216135970.000000,619682923.000000,6000666.000000,-2469372183.000000,,,,,-372447376.000000,-2216135970.000000,9599280773.000000,-2471878605.000000,,,-2471878605.000000,7127402168.000000,-2228459884.000000,-2228459884.000000,-2228459884.000000,4898942284.000000,4898942284.000000,4898942284.000000,,4898942284.000000,7127402168.000000,7127402168.000000,,7127402168.000000
