Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1981380425.000000,19736312135.000000,19735737335.000000,574800.000000,19736312135.000000,,17742240256.000000,1831103694.000000,41291036510.000000,,644771298.000000,,56679610907.000000,,39890720.000000,,57364272925.000000,98655309435.000000,,,25112130849.000000,15755513543.000000,,2168134654.000000,231000.000000,2168365654.000000,,849569293.000000,950000000.000000,1799569293.000000,2991980015.000000,1461320370.000000,,133333340.000000,,,802048634.000000,935381974.000000,,25112130849.000000,4290144063.000000,,,,,,35562431.000000,35562431.000000,4254581632.000000,4290144063.000000,29402274912.000000,,53508000000.000000,2065078501.000000,13679956022.000000,,,13679956022.000000,,,69253034523.000000,98655309435.000000,535080000.000000
12M 2009,,,3129563397.000000,17827275310.000000,17827275310.000000,,17827275310.000000,,24071005086.000000,462647483.000000,45490491276.000000,,363617142.000000,,54047384571.000000,,35890206.000000,,54446891919.000000,99937383195.000000,,,21669515056.000000,15016402815.000000,,2918880083.000000,2945370.000000,2921825453.000000,,745209657.000000,,745209657.000000,2403734600.000000,30240000.000000,,,,,552102531.000000,552102531.000000,,21669515056.000000,5241865257.000000,,,,,,105928286.000000,105928286.000000,5135936971.000000,5241865257.000000,26911380313.000000,,53508000000.000000,2065078501.000000,17452924381.000000,,,17452924381.000000,,,73026002882.000000,99937383195.000000,535080000.000000
12M 2010,,,3847794130.000000,20587473955.000000,20587473955.000000,,20587473955.000000,,21334312859.000000,1304096080.000000,47073677024.000000,,654355388.000000,,52826675604.000000,,32291214.000000,,53513322206.000000,100586999230.000000,,,15645370498.000000,8363435181.000000,,1549728901.000000,,1549728901.000000,,395555551.000000,,395555551.000000,2514291860.000000,2053186000.000000,,,,,769173005.000000,769173005.000000,,15645370498.000000,7716422897.000000,,,,,,455185544.000000,455185544.000000,7261237353.000000,7716422897.000000,23361793395.000000,,53508000000.000000,2065078501.000000,21652127334.000000,,,21652127334.000000,,,77225205835.000000,100586999230.000000,535080000.000000
12M 2011,,,4520765064.000000,24057783179.000000,24057783179.000000,,24057783179.000000,,29522821844.000000,3787734902.000000,61889104989.000000,,1001218223.000000,,55114227514.000000,,29052126.000000,,56144497863.000000,118033602852.000000,,,24366695170.000000,12573112646.000000,,2541803386.000000,,2541803386.000000,,399064804.000000,,399064804.000000,2885549140.000000,3858608652.000000,,,,,2108556542.000000,2108556542.000000,,24366695170.000000,11269656167.000000,,,,,,1377179251.000000,1377179251.000000,9892476916.000000,11269656167.000000,35636351337.000000,,53508000000.000000,2065078501.000000,26824173014.000000,,26824173014.000000,26824173014.000000,,,82397251515.000000,118033602852.000000,535080000.000000
12M 2012,,,5343314421.000000,30568281713.000000,30568281713.000000,,30568281713.000000,,25046859209.000000,7629363345.000000,68587818688.000000,,1042257356.000000,,66153646271.000000,,65787746.000000,,67261691373.000000,135849510061.000000,,,28419830374.000000,14815927001.000000,,1190638190.000000,,1190638190.000000,,358488550.000000,,358488550.000000,3801079546.000000,696746828.000000,,4827656200.000000,,1779322848.000000,949971211.000000,7556950259.000000,,28419830374.000000,19724206809.000000,,,6487222294.000000,,972550704.000000,,7459772998.000000,12264433811.000000,19724206809.000000,48144037183.000000,,53508000000.000000,2065078501.000000,32132394377.000000,1000000000.000000,31132394377.000000,32132394377.000000,,,87705472878.000000,135849510061.000000,535080000.000000
12M 2013,,,7566596789.000000,30273751470.000000,30273751470.000000,,30273751470.000000,,35866745171.000000,1266666061.000000,74973759491.000000,,2509740622.000000,,97554474825.000000,,80946468.000000,,100145161915.000000,175118921406.000000,,,48785877103.000000,23370299485.000000,,7088178249.000000,,7088178249.000000,2565807822.000000,,,2565807822.000000,3385042397.000000,3369159018.000000,,6928310244.000000,,2079079888.000000,,9007390132.000000,,48785877103.000000,32431771087.000000,,,17898134786.000000,,324012424.000000,,18222147210.000000,14209623877.000000,32431771087.000000,81217648190.000000,,53508000000.000000,2065078501.000000,38328194715.000000,1000000000.000000,37328194715.000000,38328194715.000000,,,93901273216.000000,175118921406.000000,535080000.000000
12M 2014,,,2926380348.000000,39596938982.000000,39596938982.000000,,39596938982.000000,,32258012129.000000,3296192227.000000,78077523686.000000,,2846047258.000000,,91716051981.000000,,97001764.000000,,94659101003.000000,172736624689.000000,,,47994726116.000000,28642132297.000000,,6590590991.000000,,6590590991.000000,237490193.000000,,,237490193.000000,3446138507.000000,1133000000.000000,,6928310244.000000,,1017063884.000000,,7945374128.000000,,47994726116.000000,28182959952.000000,,,10969824542.000000,,83849203.000000,,11053673745.000000,17129286207.000000,28182959952.000000,76177686068.000000,,53508000000.000000,2065078501.000000,40985860120.000000,1000000000.000000,39985860120.000000,40985860120.000000,,,96558938621.000000,172736624689.000000,535080000.000000
12M 2015,,,3728123019.000000,30245569598.000000,30245569598.000000,,30245569598.000000,,36163518386.000000,2608786371.000000,72745997374.000000,,2953733675.000000,,84152132186.000000,,99673994.000000,,87205539855.000000,159951537229.000000,,,36534059349.000000,22049638390.000000,,3629434001.000000,,3629434001.000000,,,,,3361727835.000000,166468410.000000,,6928310244.000000,,398480469.000000,,7326790713.000000,,36534059349.000000,22195418683.000000,,,4041514298.000000,,70765298.000000,,4112279596.000000,18083139087.000000,22195418683.000000,58729478032.000000,,53508000000.000000,2065078501.000000,45648980696.000000,1000000000.000000,44648980696.000000,45648980696.000000,,,101222059197.000000,159951537229.000000,535080000.000000
12M 2016,,,1365089257.000000,38716265872.000000,38716265872.000000,,38716265872.000000,,40301149056.000000,2723939283.000000,83106443468.000000,,3904884651.000000,,79954782788.000000,,96684701.000000,,83956352140.000000,167062795608.000000,,,37933579448.000000,21560927555.000000,,5980507140.000000,,5980507140.000000,,,,,4123050994.000000,958058047.000000,,4041514298.000000,,1269521414.000000,,5311035712.000000,,37933579448.000000,23620425733.000000,,,,,856407634.000000,,856407634.000000,22764018099.000000,23620425733.000000,61554005181.000000,,53508000000.000000,2065078501.000000,49935711926.000000,1000000000.000000,48935711926.000000,49935711926.000000,,,105508790427.000000,167062795608.000000,535080000.000000
12M 2017,,,379645888.000000,37327885021.000000,37327885021.000000,,37327885021.000000,,36890982384.000000,3765799013.000000,78364312306.000000,,5169614508.000000,,75929987318.000000,,100016909.000000,,81199618735.000000,159563931041.000000,,,22245115479.000000,8388664103.000000,,6737015466.000000,,6737015466.000000,,,,,5127673407.000000,625608470.000000,,,,1366154033.000000,,1366154033.000000,,22245115479.000000,28462814851.000000,,,,,512195906.000000,,512195906.000000,27950618945.000000,28462814851.000000,50707930330.000000,,53508000000.000000,2065078501.000000,53282922210.000000,1000000000.000000,52282922210.000000,53282922210.000000,,,108856000711.000000,159563931041.000000,535080000.000000
