Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Bersih Dari:,Pelanggan,Bunga,Lain-Lain - Bersih,Total Penerimaan Kas Bersih Dari:,Pembayaran Kas Bersih Untuk:,Pembayaran Kepada Pemasok Dan Untuk Beban Operasional Lainnya,Pemasok,Beban Usaha (Diluar Gaji Dan Tunjangan Lainnya),Gaji Dan Tunjangan Lainnya,Total Pembayaran Kas Bersih Untuk:,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penempatan Dalam Aset Keuangan Lancar Lainnya,Pendapatan Dividen Dari Investasi Saham,Perolehan Aset Tetap,Peningkatan Aset Tidak Lancar Lainnya,Penambahan Aset Tidak Berwujud,Penerimaan Dari Pelepasan Investasi Entitasi Anak,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Pencairan Aset Keuangan Lancar Lainnya,Penambahan Aset Hak Guna,Penempatan Investasi Jangka Panjang,Pembayaran Atas Akuisisi Entitas Anak,Perolehan Aset Dalam Penyelesaian,Pembayaran Uang Muka Investasi,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hutang Bank,Penambahan,Perolehan Utang Bank,Penerimaan Utang Bank Jangka Panjang,Total Penambahan,Pembayaran,Pembayaran Hutang Jangka Pendek,Pembayaran Hutang Jangka Panjang,Total Pembayaran,Total Hutang Bank,Penerimaan Utang Obligasi,Penerimaan Atas Surat Berharga Ekuitas,Penerimaan Atas Penerbitan Saham,Penerimaan Dari Pihak Non-Pengendali,Penerimaan Utang Lainnya,Pembayaran Utang Obligasi,Penerimaan Uang Muka Pelaksanaan Waran,Pembayaran Bunga Utang Obligasi,Pembayaran Utang Lainnya,Pembayaran Dividen,Pembayaran Utang Dividen Oleh Entitas Anak Ke Pemegang Saham Sebelumnya,Penambahan (Pembayaran) Hutang Pembelian Kendaraan,Penambahan (Pembayaran) Hutang Sewa Pembiayaan,Pembayaran Hutang Kepada Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Perubahan Kurs Mata Uang Asing,Kas Dan Setara Kas Akhir Periode
12M 2008,736542409.000000,,119852377962.000000,31990880.000000,3231948018.000000,123116316860.000000,,,-32344731940.000000,-68110255120.000000,-17846167863.000000,-118301154923.000000,-1807950740.000000,-2270668788.000000,736542409.000000,-1880603139.000000,472000000.000000,,,-2345103139.000000,,-7500000.000000,,,,,,,,,,-1880603139.000000,1015038540.000000,,2100000000.000000,,,2100000000.000000,,,,,2100000000.000000,,,,,,,,,,,,,-2034961460.000000,950000000.000000,1015038540.000000,-129022190.000000,2110402616.000000,,1981380426.000000
12M 2009,5020232151.000000,,133909577070.000000,10848598.000000,4387770679.000000,138308196347.000000,,,-53398539931.000000,-49572692527.000000,-26725280982.000000,-129696513440.000000,-1963214497.000000,-1628236259.000000,5020232151.000000,-1870024863.000000,269000021.000000,,,-2139024884.000000,,,,,,,,,,,,-1870024863.000000,-2002024316.000000,,,,,,-872444068.000000,,,-872444068.000000,-872444068.000000,,,,,,,,,,,,,-179580248.000000,-950000000.000000,-2002024316.000000,1148182972.000000,1981380425.000000,,3129563397.000000
12M 2010,9538086241.000000,,146226438845.000000,10333453.000000,,146236772298.000000,,,-49229635905.000000,-52799003190.000000,-31999911180.000000,-134028550275.000000,-1344497696.000000,-1325638086.000000,9538086241.000000,-2733215606.000000,246045000.000000,,,-2979260606.000000,,,,,,,,,,,,-2733215606.000000,-6086639902.000000,,,,,,-6652967634.000000,,,-6652967634.000000,-6652967634.000000,,,,,,,,,,,,,566327732.000000,,-6086639902.000000,718230733.000000,3129563397.000000,,3847794130.000000
12M 2011,1688060047.000000,,147624151821.000000,65262897.000000,,147689414718.000000,,,-52448902766.000000,-53553216385.000000,-36742843935.000000,-142744963086.000000,-973540829.000000,-2282850756.000000,1688060047.000000,-2087657711.000000,835435000.000000,,,-2923092711.000000,,,,,,,,,,,,-2087657711.000000,1072568598.000000,,4191791354.000000,,,4191791354.000000,,,,,4191791354.000000,,,,,,,,,,,,,-3119222756.000000,,1072568598.000000,672970934.000000,3847794130.000000,,4520765064.000000
12M 2012,-448715089.000000,,170035943406.000000,29311965.000000,,170065255371.000000,,,-58837474418.000000,-68282996302.000000,-38774374071.000000,-165894844791.000000,-1882757817.000000,-2736367852.000000,-448715089.000000,-12520423484.000000,389800000.000000,,,-12869073484.000000,,-41150000.000000,,,,,,,,,,-12520423484.000000,13791687930.000000,,13575578960.000000,,,13575578960.000000,,,,,13575578960.000000,,,,,,,,,,,,2751873552.000000,-2535764582.000000,,13791687930.000000,822549357.000000,4520765064.000000,,5343314421.000000
12M 2013,-5856771777.000000,,192850261423.000000,10452974.000000,,192860714397.000000,,-150144089465.000000,,,-43670829438.000000,-193814918903.000000,-3143941390.000000,-1758625881.000000,-5856771777.000000,-12687132424.000000,417454545.000000,,,-13081086969.000000,,-23500000.000000,,,,,,,,,,-12687132424.000000,20767186569.000000,,26869090708.000000,,,26869090708.000000,-4803151688.000000,,,-4803151688.000000,22065939020.000000,,,,,,,,,,,,-348781240.000000,-949971211.000000,,20767186569.000000,2223282368.000000,5343314421.000000,,7566596789.000000
12M 2014,1472541371.000000,,212979220016.000000,7089310.000000,,212986309326.000000,,-154414701375.000000,,,-49254051736.000000,-203668753111.000000,-5989504992.000000,-1855509852.000000,1472541371.000000,-3154101155.000000,390636363.000000,,,-3514737518.000000,,-30000000.000000,,,,,,,,,,-3154101155.000000,-2958656657.000000,,,5271832812.000000,,5271832812.000000,,,-6928310244.000000,-6928310244.000000,-1656477432.000000,,,,,,,,,,,,-1302179225.000000,,,-2958656657.000000,-4640216441.000000,7566596789.000000,,2926380348.000000
12M 2015,15699910434.000000,,227195290806.000000,5862356.000000,,227201153162.000000,,-152050321687.000000,,,-52305019188.000000,-204355340875.000000,-5539972073.000000,-1605929780.000000,15699910434.000000,-1576102888.000000,432000000.000000,,,-1995602888.000000,,-12500000.000000,,,,,,,,,,-1576102888.000000,-13322064875.000000,,,,,,,-5762087311.000000,-6928310244.000000,-12690397555.000000,-12690397555.000000,,,,,,,,,,,,-631667320.000000,,,-13322064875.000000,801742671.000000,2926380348.000000,,3728123019.000000
12M 2016,7052759074.000000,,208480887679.000000,4515534.000000,,208485403213.000000,,-144680818821.000000,,,-51050962195.000000,-195731781016.000000,-3426299634.000000,-2274563489.000000,7052759074.000000,-1884525873.000000,711454545.000000,,,-2577780418.000000,,-18200000.000000,,,,,,,,,,-1884525873.000000,-7531266963.000000,,,2400000000.000000,,2400000000.000000,,-2000000000.000000,-6928310244.000000,-8928310244.000000,-6528310244.000000,,,,,,,,,,,,-1002956719.000000,,,-7531266963.000000,-2363033762.000000,3728123019.000000,,1365089257.000000
12M 2017,20930568344.000000,,224390871129.000000,6000666.000000,,224396871795.000000,,-139853837817.000000,,,-59061559526.000000,-198915397343.000000,-2456174944.000000,-2094731164.000000,20930568344.000000,-2587166306.000000,730090909.000000,,,-3303808235.000000,,-13448980.000000,,,,,,,,,,-2587166306.000000,-19328845407.000000,,,,,,,-12100000000.000000,-4041514298.000000,-16141514298.000000,-16141514298.000000,,,,,,,,,,-1551732000.000000,,-1635599109.000000,,,-19328845407.000000,-985443369.000000,1365089257.000000,,379645888.000000
