Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,438997361.000000,-393274290.000000,45723071.000000,-23137896.000000,-9175582.000000,-15653557.000000,1691243.000000,-23137896.000000,22585175.000000,-3683715.000000,1319802.000000,-5003517.000000,,-3683715.000000,18901460.000000,-8593446.000000,,,,-8593446.000000,10308014.000000,-3111979.000000,7196035.000000,10308014.000000,8573305.000000,1734709.000000,10308014.000000,7196035.000000,5719172.000000,1476863.000000,7196035.000000
12M 2014,400094886.000000,-371806443.000000,28288443.000000,-23027396.000000,-8404424.000000,-13618070.000000,-1004902.000000,-23027396.000000,5261047.000000,-3534267.000000,144987.000000,-3679254.000000,,-3534267.000000,1726780.000000,846904.000000,,,,846904.000000,2573684.000000,-1070491.000000,1503193.000000,2573684.000000,2826407.000000,-252723.000000,2573684.000000,1503193.000000,1732692.000000,-229499.000000,1503193.000000
12M 2015,285420572.000000,-262509186.000000,22911386.000000,-19776662.000000,-6382505.000000,-12665262.000000,-728895.000000,-19776662.000000,3134724.000000,-3236713.000000,172648.000000,-3386044.000000,-23317.000000,-3236713.000000,-101989.000000,-764226.000000,,,,-764226.000000,-866215.000000,-1131979.000000,-1998194.000000,-866215.000000,-284232.000000,-581983.000000,-866215.000000,-1998194.000000,-1445075.000000,-553119.000000,-1998194.000000
12M 2016,276111954.000000,-241865218.000000,34246736.000000,-19940824.000000,-8549908.000000,-11702250.000000,311334.000000,-19940824.000000,14305912.000000,-2900727.000000,299278.000000,-3200005.000000,,-2900727.000000,11405185.000000,9717091.000000,,,,9717091.000000,21122276.000000,-694135.000000,20428141.000000,21122276.000000,22854889.000000,-1732613.000000,21122276.000000,20428141.000000,22161354.000000,-1733213.000000,20428141.000000
12M 2017,320549223.000000,-281490536.000000,39058687.000000,-20632188.000000,-8822974.000000,-11698184.000000,-111030.000000,-20632188.000000,18426499.000000,-772719.000000,927751.000000,-1665562.000000,-34908.000000,-772719.000000,17653780.000000,-5722381.000000,,,,-5722381.000000,11931399.000000,373899.000000,12305298.000000,11931399.000000,12558355.000000,-626956.000000,11931399.000000,12305298.000000,12979235.000000,-673937.000000,12305298.000000
12M 2018,350397369.000000,-317848397.000000,32548972.000000,-2804118.000000,-7079658.000000,-10965183.000000,15240723.000000,-2804118.000000,29744854.000000,-1602811.000000,551826.000000,-2127058.000000,-27579.000000,-1602811.000000,28142043.000000,-10861413.000000,,,,-10861413.000000,17280630.000000,-1783832.000000,15496798.000000,17280630.000000,17717226.000000,-436596.000000,17280630.000000,15496798.000000,16157925.000000,-661127.000000,15496798.000000
12M 2019,322098564.000000,-288175234.000000,33923330.000000,-18674546.000000,-6787037.000000,-11823924.000000,-63585.000000,-18674546.000000,15248784.000000,-1504380.000000,296152.000000,-1755892.000000,-44640.000000,-1504380.000000,13744404.000000,-2356075.000000,,,,-2356075.000000,11388329.000000,437493.000000,11825822.000000,11388329.000000,12212707.000000,-824378.000000,11388329.000000,11825822.000000,12321470.000000,-495648.000000,11825822.000000
12M 2020,324957368.0,-269510754.0,55446614.0,-18095604.0,-7564852.0,-12111543.0,1580791.0,-18095604.0,37351010.0,918539.0,1407851.0,-341781.0,-147531.0,918539.0,38269549.0,-10974728.0,-8561516.0,-2413158.0,-54.0,-10974728.0,27294821.0,1235867.0,28530688.0,27294821.0,27703452.0,-408631.0,27294821.0,28530688.0,29078226.0,-547538.0,28530688.0
12M 2021,371080905.000000,-277119639.000000,93961266.000000,-21243773.000000,-9048356.000000,-11884915.000000,-310502.000000,-21243773.000000,72717493.000000,814615.000000,1509397.000000,-392378.000000,-302404.000000,814615.000000,73532108.000000,-15479391.000000,-14780772.000000,-698619.000000,,-15479391.000000,58052717.000000,-745360.000000,57307357.000000,58052717.000000,58219737.000000,-167020.000000,58052717.000000,57307357.000000,57513442.000000,-206085.000000,57307357.000000
12M 2022,412076520.000000,-338609172.000000,73467348.000000,-24979875.000000,-9368488.000000,-12471641.000000,-3139746.000000,-24979875.000000,48487473.000000,250979.000000,1303246.000000,-829863.000000,-222404.000000,250979.000000,48738452.000000,-10836837.000000,-9731001.000000,-1105836.000000,,-10836837.000000,37901615.000000,-2990598.000000,34911017.000000,37901615.000000,38405095.000000,-503480.000000,37901615.000000,34911017.000000,36163361.000000,-1252344.000000,34911017.000000
12M 2023,339302689.000000,-293734595.000000,45568094.000000,-19515198.000000,-7628475.000000,-12452584.000000,565861.000000,-19515198.000000,26052896.000000,1803608.000000,2880718.000000,-540455.000000,-536655.000000,1803608.000000,27856504.000000,-6471001.000000,-5546368.000000,-924633.000000,,-6471001.000000,21385503.000000,439753.000000,21825256.000000,21385503.000000,22434529.000000,-1049026.000000,21385503.000000,21825256.000000,22628561.000000,-803305.000000,21825256.000000
12M 2024,344678707.000000,-300102187.000000,44576520.000000,-20881264.000000,-8006720.000000,-12156601.000000,-717943.000000,-20881264.000000,23695256.000000,2350653.000000,3976077.000000,-880211.000000,-745213.000000,2350653.000000,26045909.000000,-5540316.000000,-5193955.000000,-346361.000000,,-5540316.000000,20505593.000000,-3649448.000000,16856145.000000,20505593.000000,20760999.000000,-255406.000000,20505593.000000,16856145.000000,17643449.000000,-787304.000000,16856145.000000
