Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Untuk Pemasok. Gaji Dan Kesejahteraan Karyawan Lainnya,Penerimaan Penghasilan Bunga,Pembayaran Pajak Pertambahan Nilai Dan Bea Masuk,Pembayaran Pajak Atas Penilaian Kembali Aset,Penerimaan Kelebihan Pembayaran Pajak Penghasilan Final Atas Revaluasi Aset Tetap,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga Dan Beban Keuangan Lainnya,Penerimaan Dari Tagihan Pajak Penghasilan,Penerimaan Klaim Asuransi,Penerimaan (Pembayaran) Dari Instrumen Derivatif,Pembayaran Beban Operasi Lainnya. Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Pelepasan Aset Tetap,Tambahan Setoran Modal,Perolehan Aset Tetap,Penambahan Properti Investasi,Pembayaran Utang Royalti,Penempatan Deposito Yang Dijaminkan,Penerimaan Dari Tambahan Setoran Modal,Pembayaran Uang Muka Kepada Pemasok Dan Penyedia Lisensi,Penerimaan Dari (Digunakan Untuk) Aktivitas Investasi Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Pendek,Pelunasan Utang Bank Jangka Pendek,Penerimaan Dari Utang Bank Jangka Panjang,Pelunasan Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Penerimaan Uang Muka Setoran Modal,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Pembagian Dividen Kas,Pembayaran Aktivitas Pendanaan Lainnya,Pembayaran Atas Penyelesaian Instrumen Derivatif,Penambahan Biaya Transaksi Tangguhan Atas Utang Bank,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Penarikan Deposito Yang Dibatasi Penggunaanya,Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,1965090.000000,470486803.000000,-427101553.000000,148928.000000,-34364714.000000,,,-6718552.000000,-2639920.000000,133584.000000,4304836.000000,,-2284322.000000,1965090.000000,-4908326.000000,187123.000000,,-4245028.000000,,-620123.000000,-286611.000000,,,56313.000000,-4908326.000000,5599931.000000,121167285.000000,-92344217.000000,,-14178909.000000,,,1236296.000000,-9793287.000000,-1459737.000000,,972500.000000,,,,,5599931.000000,2656695.000000,12334705.000000,-992274.000000,13999126.000000
12M 2014,31243257.000000,457250539.000000,-384761206.000000,141010.000000,-30124972.000000,,,-7726089.000000,-2159003.000000,672568.000000,947008.000000,,-2996598.000000,31243257.000000,-3207648.000000,112533.000000,,-2644641.000000,,-622044.000000,-53496.000000,,,,-3207648.000000,-29455945.000000,52725357.000000,-96516265.000000,17590350.000000,-254400.000000,,,708949.000000,-173818.000000,-3388938.000000,,,-147180.000000,,,,-29455945.000000,-1420336.000000,13999126.000000,-587024.000000,11991766.000000
12M 2015,7678960.000000,329822290.000000,-289228321.000000,149199.000000,-23339134.000000,-2268657.000000,,-3999706.000000,-1659047.000000,399784.000000,45786.000000,-377845.000000,-1865389.000000,7678960.000000,-1425288.000000,44312.000000,,-841108.000000,,-628492.000000,,,,,-1425288.000000,-3532652.000000,164566428.000000,-164834069.000000,1533390.000000,-3708733.000000,,,1019419.000000,-61010.000000,-2043850.000000,,,,,,-4227.000000,-3532652.000000,2721020.000000,11991766.000000,-823222.000000,13889564.000000
12M 2016,12164596.000000,290615942.000000,-251765095.000000,246496.000000,,,,-23220965.000000,-1670913.000000,,,-774979.000000,-1265890.000000,12164596.000000,-2829824.000000,35896.000000,,-2865720.000000,,,,,,,-2829824.000000,-13506253.000000,132559894.000000,-146504209.000000,,,,,856400.000000,-371219.000000,-47119.000000,,,,,,,-13506253.000000,-4171481.000000,13889564.000000,-158537.000000,9559546.000000
12M 2017,18621002.000000,359441156.000000,-308755580.000000,169406.000000,-27387139.000000,,,-5179417.000000,-1263486.000000,3560558.000000,,78370.000000,-2042866.000000,18621002.000000,-12955.000000,103635.000000,,-3157130.000000,,,,3040540.000000,,,-12955.000000,-17660170.000000,151454687.000000,-143861815.000000,,-3800369.000000,,,694907.000000,-1158682.000000,-20930781.000000,,,,-58117.000000,,,-17660170.000000,947877.000000,9559546.000000,429619.000000,10937042.000000
12M 2018,5944857.000000,394714142.000000,-353639080.000000,183695.000000,-27544848.000000,,,-4271315.000000,-2088186.000000,134893.000000,,-137926.000000,-1406518.000000,5944857.000000,19385437.000000,17232560.000000,,-1761473.000000,,,,3914350.000000,,,19385437.000000,-9608849.000000,397703889.000000,-382145324.000000,,-6753701.000000,,,487471.000000,-7235891.000000,-11709754.000000,,,,44461.000000,,,-9608849.000000,15721445.000000,10937042.000000,-615035.000000,26043452.000000
12M 2019,15689397.000000,349714031.000000,-297816438.000000,248437.000000,-25698433.000000,,,-7595813.000000,-1453627.000000,700885.000000,,-298328.000000,-2111317.000000,15689397.000000,-2878981.000000,90332.000000,,-2350122.000000,,,,476026.000000,-1095217.000000,,-2878981.000000,-26708441.000000,196569676.000000,-220370320.000000,,-378929.000000,,,,,-2448920.000000,,,,-79948.000000,,,-26708441.000000,-13898025.000000,26043452.000000,12498.000000,12157925.000000
12M 2020,64276378.000000,359132864.000000,-263700180.000000,681782.000000,-27183823.000000,,,-3299188.000000,-186425.000000,1910957.000000,,-1271187.000000,-1808422.000000,64276378.000000,-6060484.000000,28946.000000,,-843381.000000,,,,,-5246049.000000,,-6060484.000000,-10958569.000000,56097534.000000,-60593269.000000,,,-581520.000000,,,,-6301552.000000,,,,420238.000000,,,-10958569.000000,47257325.000000,12157925.000000,2396436.000000,61811686.000000
12M 2021,24858855.000000,403321186.000000,-330278884.000000,1172211.000000,-31765663.000000,,,-17139673.000000,-274099.000000,55195.000000,,171080.000000,-402498.000000,24858855.000000,-742316.000000,79203.000000,,-821519.000000,,,,,,,-742316.000000,-3881538.000000,20546053.000000,-20634090.000000,,,-676747.000000,685470.000000,,,-3906566.000000,,,,104342.000000,,,-3881538.000000,20235001.000000,61811686.000000,-990944.000000,81055743.000000
12M 2022,19221393.000000,450025374.000000,-379672644.000000,907510.000000,-37497067.000000,,,-15887226.000000,-165961.000000,59919.000000,,2282355.000000,-830867.000000,19221393.000000,-1153055.000000,105178.000000,,-1258233.000000,,,,,,,-1153055.000000,-12730538.000000,8690296.000000,-7980607.000000,,,-882256.000000,1900800.000000,,,-14458771.000000,,,,,,,-12730538.000000,5337800.000000,81055743.000000,-2220513.000000,84173030.000000
