Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,302014612123.000000,-236386531809.000000,65628080314.000000,-7085894018.000000,,-8791516217.000000,1705622199.000000,-7085894018.000000,58542186296.000000,-10371026045.000000,-9143610927.000000,,,,-1227415118.000000,-10371026045.000000,48171160251.000000,-12215349370.000000,-12253668000.000000,38318630.000000,,-12215349370.000000,35955810881.000000,86722859.000000,86722859.000000,86722859.000000,36042533740.000000,35955810881.000000,35955810881.000000,,35955810881.000000,36042533740.000000,36042533740.000000,,36042533740.000000
12M 2015,732160404552.000000,-579109856731.000000,153050547821.000000,-11487671210.000000,,-15623415198.000000,4135743988.000000,-11487671210.000000,141562876611.000000,-49558222116.000000,-23690518727.000000,,,,-25867703389.000000,-49558222116.000000,92004654495.000000,-14136981666.000000,-14219993250.000000,83011584.000000,,-14136981666.000000,77867672829.000000,58871779.000000,58871779.000000,58871779.000000,77926544608.000000,77867672829.000000,77867672829.000000,,77867672829.000000,77926544608.000000,77926544608.000000,,77926544608.000000
12M 2016,966887321903.000000,-771781097997.000000,195106223906.000000,-47621947546.000000,,-48491252988.000000,869305442.000000,-47621947546.000000,147484276360.000000,-25759502429.000000,-35020811797.000000,13120349810.000000,,,-3859040442.000000,-25759502429.000000,121724773931.000000,-30783823298.000000,-28178910000.000000,19156664.000000,-2624069962.000000,-30783823298.000000,90940950633.000000,46509278.000000,46509278.000000,46509278.000000,90987459911.000000,90940950633.000000,90940950633.000000,,90940950633.000000,90987459911.000000,90987459911.000000,,90987459911.000000
12M 2017,1281160838141.000000,-1049983493518.000000,231177344623.000000,-41460874627.000000,,-41460874627.000000,,-41460874627.000000,189716469996.000000,-49622487552.000000,-52920651499.000000,3768908412.000000,,,-470744465.000000,-49622487552.000000,140093982444.000000,-34545356563.000000,-33846361622.000000,,-698994941.000000,-34545356563.000000,105548625881.000000,-1092112537.000000,-1092112537.000000,-1092112537.000000,104456513344.000000,105548625881.000000,105548625881.000000,,105548625881.000000,104456513344.000000,104456513344.000000,,104456513344.000000
12M 2018,962188544595.000000,-839913080031.000000,122275464564.000000,-34265287471.000000,,-34265287471.000000,,-34265287471.000000,88010177093.000000,-76289133379.000000,-61304855518.000000,3650070595.000000,,-9742038262.000000,-8892310194.000000,-76289133379.000000,11721043714.000000,-3234277603.000000,-3234277603.000000,,,-3234277603.000000,8486766111.000000,1594488046.000000,1594488046.000000,1594488046.000000,10081254157.000000,8486766111.000000,8486766111.000000,,8486766111.000000,10081254157.000000,10081254157.000000,,10081254157.000000
12M 2019,384697286910.000000,-768545896697.000000,-383848609787.000000,-36413196342.000000,,-36413196342.000000,,-36413196342.000000,-420261806129.000000,-23477452218.000000,-37577045909.000000,544881646.000000,-3589762119.000000,5616958917.000000,11527515247.000000,-23477452218.000000,-443739258347.000000,108897732748.000000,108897732748.000000,,,108897732748.000000,-334841525599.000000,1342765739.000000,1342765739.000000,1342765739.000000,-333498759860.000000,-334841525599.000000,-334841525599.000000,,-334841525599.000000,-333498759860.000000,-333498759860.000000,,-333498759860.000000
12M 2020,137116418764.000000,-259204089925.000000,-122087671161.000000,-22661426649.000000,,-22661426649.000000,,-22661426649.000000,-144749097810.000000,-321395165477.000000,-65105015892.000000,334009696.000000,,-333049375.000000,-256291109906.000000,-321395165477.000000,-466144263287.000000,91212185473.000000,91212185473.000000,,,91212185473.000000,-374932077814.000000,655437375.000000,655437375.000000,655437375.000000,-374276640439.000000,-374932077814.000000,-374932077814.000000,,-374932077814.000000,-374276640439.000000,-374276640439.000000,,-374276640439.000000
12M 2021,173845008546.000000,-245397746247.000000,-71552737701.000000,-25560737859.000000,,-25560737859.000000,,-25560737859.000000,-97113475560.000000,-5373286981.000000,-3762972756.000000,9773539.000000,-392569556.000000,-451480147.000000,-776038061.000000,-5373286981.000000,-102486762541.000000,22895356394.000000,22895356394.000000,,,22895356394.000000,-79591406147.000000,1568580197.000000,1568580197.000000,1568580197.000000,-78022825950.000000,-79591406147.000000,-79591406147.000000,,-79591406147.000000,-78022825950.000000,-78022825950.000000,,-78022825950.000000
12M 2022,723804994492.000000,-749586646829.000000,-25781652337.000000,-18832594699.000000,-18832594699.000000,,,-18832594699.000000,-44614247036.000000,-14851911286.000000,-11419671994.000000,24808776.000000,,-7512163783.000000,4055115715.000000,-14851911286.000000,-59466158322.000000,,,,,,-45726829010.000000,1387148525.000000,1387148525.000000,1387148525.000000,-44339680485.000000,-45726829010.000000,-45726829010.000000,,-45726829010.000000,-44339680485.000000,-44339680485.000000,,-44339680485.000000
12M 2023,920006985202.000000,-917986472600.000000,2020512602.000000,-88625178157.000000,-19077535516.000000,,-69547642641.000000,-88625178157.000000,-86604665555.000000,-2876758878.000000,-2908312437.000000,31553559.000000,,,,-2876758878.000000,-89481424433.000000,-52817082731.000000,-52817082731.000000,,,-52817082731.000000,-142298507164.000000,-490144780.000000,-490144780.000000,-490144780.000000,-142788651944.000000,-142298507164.000000,-142298507164.000000,,-142298507164.000000,-142788651944.000000,-142788651944.000000,,-142788651944.000000
