Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Jangka Panjang,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Dana Syirkah Temporer,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,4682109982.000000,6413982184.000000,31114439975.000000,2850000.000000,,2850000.000000,2850000.000000,47665732649.000000,267522082.000000,90146636872.000000,,,,,55623496427.000000,,,55623496427.000000,145770133299.000000,,,105104198027.000000,33186601426.000000,4102541730.000000,,,,,5456201568.000000,2016726819.000000,,4797380586.000000,197463698.000000,361669836.000000,5356514120.000000,54943665460.000000,41946904.000000,105104198027.000000,19792652848.000000,4807071.000000,,19050825595.000000,243821206.000000,446673316.000000,,19741320117.000000,,,,,,46525660.000000,19792652848.000000,124896850875.000000,,5000000000.000000,,15849767519.000000,,,15849767519.000000,23514905.000000,20873282424.000000,145770133299.000000,5000.000000
12M 2014,,,8403901123.000000,14342713300.000000,42489299901.000000,5997891022.000000,5778401522.000000,219489500.000000,5997891022.000000,95397985756.000000,27043061424.000000,193674852526.000000,,4603939.000000,4382202300.000000,5250000000.000000,106781385545.000000,849936480.000000,,117268128264.000000,310942980790.000000,,,226385162077.000000,93776095593.000000,44609631368.000000,,5250000000.000000,,5250000000.000000,17704730770.000000,3056677987.000000,,7039198574.000000,298779932.000000,665616877.000000,8003595383.000000,53984430976.000000,,226385162077.000000,27642002549.000000,,,26278272779.000000,273623748.000000,966683246.000000,,27518579773.000000,,,,,,123422776.000000,27642002549.000000,254027164626.000000,,5000000000.000000,,51805578400.000000,,,51805578400.000000,110237764.000000,56915816164.000000,310942980790.000000,5000.000000
12M 2015,,,598819860845.000000,12335418220.000000,99577209954.000000,388031175.000000,,388031175.000000,388031175.000000,140953701250.000000,103209488982.000000,955283710426.000000,,67991596.000000,23972000000.000000,5251080000.000000,590893109698.000000,,,620184181294.000000,1575467891720.000000,,,191375466412.000000,84254874933.000000,25125437154.000000,,,51583000000.000000,51583000000.000000,14797383992.000000,1547314911.000000,,12701902595.000000,217885244.000000,1147667583.000000,14067455422.000000,,,191375466412.000000,174996484301.000000,,,142451592914.000000,155316021.000000,2037725736.000000,,144644634671.000000,,,,,29910847200.000000,441002430.000000,174996484301.000000,366371950713.000000,,417500000000.000000,711753580235.000000,79673251229.000000,,,79673251229.000000,169109543.000000,1209095941007.000000,1575467891720.000000,4175000000.000000
12M 2016,,,57447397484.000000,20101457360.000000,260507463050.000000,4497198821.000000,,4497198821.000000,4497198821.000000,309151588571.000000,46439968160.000000,698145073446.000000,,71645167.000000,,5251080000.000000,971489883479.000000,,11094135676.000000,987906744322.000000,1686051817768.000000,,,231713245521.000000,103865851922.000000,50033097816.000000,,,7277749443.000000,7277749443.000000,16874541711.000000,6569834181.000000,,39481967250.000000,2288116940.000000,3518151391.000000,45288235581.000000,,1803934867.000000,231713245521.000000,162333811329.000000,,,154315068421.000000,3314023943.000000,3207117567.000000,,160836209931.000000,,,,,,1497601398.000000,162333811329.000000,394047056850.000000,,417500000000.000000,711753580235.000000,170614201862.000000,5000000000.000000,165614201862.000000,170614201862.000000,-7863021179.000000,1292004760918.000000,1686051817768.000000,4175000000.000000
12M 2017,,,117638533565.000000,,314185738486.000000,540974301.000000,,,540974301.000000,470774609279.000000,106138093932.000000,1009277949563.000000,,1561806807.000000,,5251080000.000000,967008843588.000000,,96376688037.000000,1070198418432.000000,2079476367995.000000,,,562566242319.000000,462359288844.000000,21352087413.000000,,,7340619487.000000,7340619487.000000,16819031087.000000,2639155466.000000,,42891558822.000000,4550715518.000000,3002687832.000000,50444962172.000000,,1611097850.000000,562566242319.000000,120738211414.000000,,,112833542350.000000,2573222376.000000,308703815.000000,,115715468541.000000,,,,,,5022742873.000000,120738211414.000000,683304453733.000000,,417500000000.000000,711753580235.000000,276162827743.000000,6000000000.000000,270162827743.000000,276162827743.000000,-9244493716.000000,1396171914262.000000,2079476367995.000000,4175000000.000000
12M 2018,,,87235441950.000000,,373804048275.000000,72520548.000000,,,72520548.000000,518163430224.000000,82376226286.000000,1061651667283.000000,,2031584688.000000,,5251080000.000000,1013295192173.000000,,24760401242.000000,1045338258103.000000,2106989925386.000000,,,624106266559.000000,474845003720.000000,25684608201.000000,,,11016844965.000000,11016844965.000000,40024415694.000000,21153489075.000000,,44406244814.000000,2767111110.000000,300687912.000000,47474043836.000000,,3907861068.000000,624106266559.000000,76630490408.000000,,,71359628634.000000,901462702.000000,,,72261091336.000000,,,,,,4369399072.000000,76630490408.000000,700736756967.000000,,417500000000.000000,711753580235.000000,284649593855.000000,6000000000.000000,278649593855.000000,284649593855.000000,-7650005671.000000,1406253168419.000000,2106989925386.000000,4175000000.000000
12M 2019,,,1035983154.000000,,336382877376.000000,18944956470.000000,,,18944956470.000000,371664967685.000000,28649273590.000000,756678058275.000000,,110481728856.000000,,5251080000.000000,917528954326.000000,,30862265437.000000,1064124028619.000000,1820802086894.000000,,,157910473785.000000,1000000000.000000,32678196928.000000,17887340580.000000,,,17887340580.000000,50011851691.000000,10366706564.000000,,45023676435.000000,942701587.000000,,45966378022.000000,,,157910473785.000000,590137204550.000000,,,585988625940.000000,90295079.000000,,,586078921019.000000,,,,,,4058283531.000000,590137204550.000000,748047678335.000000,,417500000000.000000,711753580235.000000,-50191931745.000000,6000000000.000000,-56191931745.000000,-50191931745.000000,-6307239931.000000,1072754408559.000000,1820802086894.000000,4175000000.000000
12M 2020,,,847574657.000000,,148286465669.000000,19608653230.000000,,,19608653230.000000,226327728600.000000,11357200710.000000,406427622866.000000,,201509047377.000000,,5251080000.000000,855358852746.000000,,,1062118980123.000000,1468546602989.000000,,,87969520353.000000,259792046.000000,21066637847.000000,25600876173.000000,,,25600876173.000000,21874878932.000000,8279726891.000000,,10744791864.000000,142816600.000000,,10887608464.000000,,,87969520353.000000,682099314515.000000,,,677732870997.000000,90295079.000000,,,677823166076.000000,,,,,,4276148439.000000,682099314515.000000,770068834868.000000,,417500000000.000000,711753580235.000000,-425124009559.000000,6000000000.000000,-431124009559.000000,-425124009559.000000,-5651802556.000000,698477768120.000000,1468546602988.000000,4175000000.000000
12M 2021,,,4681073824.000000,,152244329190.000000,57656478226.000000,,,57656478226.000000,138946941306.000000,17784270385.000000,371313092931.000000,,224255791466.000000,,5239830000.000000,787358030923.000000,,,1016853652389.000000,1388166745320.000000,,,62715831299.000000,,28667863150.000000,,,,,11662093358.000000,5923895364.000000,,16461979427.000000,,,16461979427.000000,,,62715831299.000000,704995971853.000000,,,673662445982.000000,116706000.000000,,,673779151982.000000,28706033592.000000,,,28706033592.000000,,2510786279.000000,704995971853.000000,767711803152.000000,,417500000000.000000,711753580235.000000,-504715415708.000000,6000000000.000000,-510715415708.000000,-504715415708.000000,-4083222359.000000,620454942168.000000,1388166745320.000000,4175000000.000000
12M 2022,,,3006442417.000000,,233279905885.000000,20429812708.000000,,,20429812708.000000,94795394426.000000,8622756958.000000,360134312394.000000,,238065208741.000000,,5239830000.000000,751213517877.000000,,125000000.000000,994643556618.000000,1354777869012.000000,,,75542272392.000000,,24717347062.000000,,,,,11408735931.000000,2196928564.000000,,37219260835.000000,,,37219260835.000000,,,75542272392.000000,702993934940.000000,,,675340882752.000000,116706000.000000,,,675457588752.000000,26024038823.000000,,,26024038823.000000,,1512307365.000000,702993934940.000000,778536207332.000000,,417500000000.000000,711879980235.000000,-550442244721.000000,6000000000.000000,-556442244721.000000,-550442244721.000000,-2696073834.000000,576241661680.000000,1354777869012.000000,4175000000.000000
