Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2014,5 B,(58 B),(53 B),-10619529.70
12M 2015,(98 B),(452 B),(549 B),-131.59
12M 2016,(202 B),(375 B),(577 B),-138.14
12M 2017,(157 B),(107 B),(264 B),-63.20
12M 2018,3 B,(6 B),(3 B),-0.70
12M 2019,(134 B),(0 B),(134 B),-32.20
12M 2020,(59 B),(2 B),(61 B),-14.58
12M 2021,(29 B),,(29 B),-6.94
12M 2022,(5 B),(0 B),(5 B),-1.24
12M 2023,11 B,(0 B),11 B,2.62
12M 2024,(11 B),(1 B),(11 B),-2.71
